round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2009-09-15,Atlético Madrid,APOEL FC,Spain,Cyprus,0,0,,,Estadio Vicente Calderón,,0-0
Group stage,2009-09-15,Marseille,Milan,France,Italy,1,2,,,Stade Vélodrome,Milan,1-2
Group stage,2009-09-15,Chelsea,Porto,England,Portugal,1,0,,,Stamford Bridge,Chelsea,1-0
Group stage,2009-09-15,Wolfsburg,CSKA Moscow,Germany,Russia,3,1,,,VfL Wolfsburg Arena,Wolfsburg,3-1
Group stage,2009-09-15,Beşiktaş,Manchester Utd,Turkey,England,0,1,,,BJK İnönü Stadyumu,Manchester Utd,0-1
Group stage,2009-09-15,Zürich,Real Madrid,Switzerland,Spain,2,5,,,Stadion Letzigrund,Real Madrid,2-5
Group stage,2009-09-15,Juventus,Bordeaux,Italy,France,1,1,,,Stadio Olimpico,,1-1
Group stage,2009-09-15,Maccabi Haifa,Bayern Munich,Israel,Germany,0,3,,,Itztadion Ramat Gan,Bayern Munich,0-3
Group stage,2009-09-16,Sevilla,Unirea Urziceni,Spain,Romania,2,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,2-0
Group stage,2009-09-16,Olympiacos,AZ Alkmaar,Greece,Netherlands,1,0,,,Stadio Georgios Karaiskakis,Olympiacos,1-0
Group stage,2009-09-16,Stuttgart,Rangers,Germany,Scotland,1,1,,,VfB Arena,,1-1
Group stage,2009-09-16,Liverpool,Debrecen,England,Hungary,1,0,,,Anfield,Liverpool,1-0
Group stage,2009-09-16,Lyon,Fiorentina,France,Italy,1,0,,,Stade de Gerland,Lyon,1-0
Group stage,2009-09-16,Standard Liège,Arsenal,Belgium,England,2,3,,,Stade Maurice Dufrasne,Arsenal,2-3
Group stage,2009-09-16,Dynamo Kyiv,Rubin Kazan,Ukraine,Russia,3,1,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,3-1
Group stage,2009-09-16,Inter,Barcelona,Italy,Spain,0,0,,,Stadio Giuseppe Meazza,,0-0
Group stage,2009-09-29,Arsenal,Olympiacos,England,Greece,2,0,,,Arsenal Stadium,Arsenal,2-0
Group stage,2009-09-29,Debrecen,Lyon,Hungary,France,0,4,,,Ferenc Puskás,Lyon,0-4
Group stage,2009-09-29,Rangers,Sevilla,Scotland,Spain,1,4,,,Ibrox Stadium,Sevilla,1-4
Group stage,2009-09-29,Barcelona,Dynamo Kyiv,Spain,Ukraine,2,0,,,Camp Nou,Barcelona,2-0
Group stage,2009-09-29,Unirea Urziceni,Stuttgart,Romania,Germany,1,1,,,Stadionul Steaua,,1-1
Group stage,2009-09-29,Fiorentina,Liverpool,Italy,England,2,0,,,Stadio Artemio Franchi,Fiorentina,2-0
Group stage,2009-09-29,AZ Alkmaar,Standard Liège,Netherlands,Belgium,1,1,,,AZ Stadion,,1-1
Group stage,2009-09-29,Rubin Kazan,Inter,Russia,Italy,1,1,,,Centralniy Stadion,,1-1
