round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2013-09-17,Bayern Munich,CSKA Moscow,Germany,Russia,3,0,,,Fußball Arena München,Bayern Munich,3-0
Group stage,2013-09-17,Real Sociedad,Shakhtar,Spain,Ukraine,0,2,,,Anoeta,Shakhtar,0-2
Group stage,2013-09-17,Benfica,Anderlecht,Portugal,Belgium,2,0,,,Estádio do Sport Lisboa e Benfica,Benfica,2-0
Group stage,2013-09-17,FC Copenhagen,Juventus,Denmark,Italy,1,1,,,Telia Parken,,1-1
Group stage,2013-09-17,Galatasaray,Real Madrid,Turkey,Spain,1,6,,,Ali Sami Yen Spor Kompleksi,Real Madrid,1-6
Group stage,2013-09-17,Olympiacos,Paris S-G,Greece,France,1,4,,,Stadio Georgios Karaiskakis,Paris S-G,1-4
Group stage,2013-09-17,Manchester Utd,Leverkusen,England,Germany,4,2,,,Old Trafford,Manchester Utd,4-2
Group stage,2013-09-17,Viktoria Plzeň,Manchester City,Czech Republic,England,0,3,,,Doosan Arena,Manchester City,0-3
Group stage,2013-09-18,Barcelona,Ajax,Spain,Netherlands,4,0,,,Camp Nou,Barcelona,4-0
Group stage,2013-09-18,Chelsea,Basel,England,Switzerland,1,2,,,Stamford Bridge,Basel,1-2
Group stage,2013-09-18,Atlético Madrid,Zenit,Spain,Russia,3,1,,,Estadio Vicente Calderón,Atlético Madrid,3-1
Group stage,2013-09-18,Milan,Celtic,Italy,Scotland,2,0,,,Stadio Giuseppe Meazza,Milan,2-0
Group stage,2013-09-18,Schalke 04,Steaua,Germany,Romania,3,0,,,Arena AufSchalke,Schalke 04,3-0
Group stage,2013-09-18,Marseille,Arsenal,France,England,1,2,,,Stade Vélodrome,Arsenal,1-2
Group stage,2013-09-18,Austria Wien,Porto,Austria,Portugal,0,1,,,Ernst,Porto,0-1
Group stage,2013-09-18,Napoli,Dortmund,Italy,Germany,2,1,,,Stadio San Paolo,Napoli,2-1
Group stage,2013-10-01,Steaua,Chelsea,Romania,England,0,4,,,Arena Națională,Chelsea,0-4
Group stage,2013-10-01,Zenit,Austria Wien,Russia,Austria,0,0,,,Stadion Petrovski,,0-0
Group stage,2013-10-01,Basel,Schalke 04,Switzerland,Germany,0,1,,,St. Jakob,Schalke 04,0-1
Group stage,2013-10-01,Ajax,Milan,Netherlands,Italy,1,1,,,Amsterdam ArenA,,1-1
Group stage,2013-10-01,Dortmund,Marseille,Germany,France,3,0,,,BVB Stadion Dortmund,Dortmund,3-0
Group stage,2013-10-01,Celtic,Barcelona,Scotland,Spain,0,1,,,Celtic Park,Barcelona,0-1
Group stage,2013-10-01,Porto,Atlético Madrid,Portugal,Spain,1,2,,,Estádio do Dragão,Atlético Madrid,1-2
Group stage,2013-10-01,Arsenal,Napoli,England,Italy,2,0,,,Arsenal Stadium,Arsenal,2-0
Group stage,2013-10-02,Real Madrid,FC Copenhagen,Spain,Denmark,4,0,,,Estadio Santiago Bernabéu,Real Madrid,4-0
Group stage,2013-10-02,Manchester City,Bayern Munich,England,Germany,1,3,,,City of Manchester Stadium,Bayern Munich,1-3
Group stage,2013-10-02,Anderlecht,Olympiacos,Belgium,Greece,0,3,,,Constant Vanden Stock Stadium,Olympiacos,0-3
Group stage,2013-10-02,Shakhtar,Manchester Utd,Ukraine,England,1,1,,,Donbass Arena,,1-1
Group stage,2013-10-02,CSKA Moscow,Viktoria Plzeň,Russia,Czech Republic,3,2,,,Stadion Petrovskiy,CSKA Moscow,3-2
Group stage,2013-10-02,Juventus,Galatasaray,Italy,Turkey,2,2,,,Juventus Stadium,,2-2
Group stage,2013-10-02,Leverkusen,Real Sociedad,Germany,Spain,2,1,,,BayArena,Leverkusen,2-1
Group stage,2013-10-02,Paris S-G,Benfica,France,Portugal,3,0,,,Parc des Princes,Paris S-G,3-0
Group stage,2013-10-22,Schalke 04,Chelsea,Germany,England,0,3,,,Arena AufSchalke,Chelsea,0-3
