round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2012-09-18,Paris S-G,Dynamo Kyiv,France,Ukraine,4,1,,,Parc des Princes,Paris S-G,4-1
Group stage,2012-09-18,Dinamo Zagreb,Porto,Croatia,Portugal,0,2,,,Stadion Maksimir,Porto,0-2
Group stage,2012-09-18,Olympiacos,Schalke 04,Greece,Germany,1,2,,,Stadio Georgios Karaiskakis,Schalke 04,1-2
Group stage,2012-09-18,Milan,Anderlecht,Italy,Belgium,0,0,,,Stadio Giuseppe Meazza,,0-0
Group stage,2012-09-18,Málaga,Zenit,Spain,Russia,3,0,,,La Rosaleda,Málaga,3-0
Group stage,2012-09-18,Dortmund,Ajax,Germany,Netherlands,1,0,,,BVB Stadion Dortmund,Dortmund,1-0
Group stage,2012-09-18,Real Madrid,Manchester City,Spain,England,3,2,,,Estadio Santiago Bernabéu,Real Madrid,3-2
Group stage,2012-09-18,Montpellier,Arsenal,France,England,1,2,,,Stade de la Mosson,Arsenal,1-2
Group stage,2012-09-19,Lille,BATE Borisov,France,Belarus,1,3,,,Stadium Lille Métropole,BATE Borisov,1-3
Group stage,2012-09-19,Barcelona,Spartak Moscow,Spain,Russia,3,2,,,Camp Nou,Barcelona,3-2
Group stage,2012-09-19,Chelsea,Juventus,England,Italy,2,2,,,Stamford Bridge,,2-2
Group stage,2012-09-19,Shakhtar,Nordsjælland,Ukraine,Denmark,2,0,,,Donbass Arena,Shakhtar,2-0
Group stage,2012-09-19,Bayern Munich,Valencia,Germany,Spain,2,1,,,Fußball Arena München,Bayern Munich,2-1
Group stage,2012-09-19,Braga,CFR Cluj,Portugal,Romania,0,2,,,Estádio Municipal de Braga,CFR Cluj,0-2
Group stage,2012-09-19,Manchester Utd,Galatasaray,England,Turkey,1,0,,,Old Trafford,Manchester Utd,1-0
Group stage,2012-09-19,Celtic,Benfica,Scotland,Portugal,0,0,,,Celtic Park,,0-0
Group stage,2012-10-02,Benfica,Barcelona,Portugal,Spain,0,2,,,Estádio do Sport Lisboa e Benfica,Barcelona,0-2
Group stage,2012-10-02,CFR Cluj,Manchester Utd,Romania,England,1,2,,,Stadionul Dr. Constantin Rădulescu,Manchester Utd,1-2
Group stage,2012-10-02,BATE Borisov,Bayern Munich,Belarus,Germany,3,1,,,Dinamo Stadion,BATE Borisov,3-1
Group stage,2012-10-02,Juventus,Shakhtar,Italy,Ukraine,1,1,,,Juventus Stadium,,1-1
Group stage,2012-10-02,Galatasaray,Braga,Turkey,Portugal,0,2,,,Ali Sami Yen Spor Kompleksi,Braga,0-2
Group stage,2012-10-02,Spartak Moscow,Celtic,Russia,Scotland,2,3,,,Stadion Luzhniki,Celtic,2-3
Group stage,2012-10-02,Valencia,Lille,Spain,France,2,0,,,Estadi de Mestalla,Valencia,2-0
