round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2003-09-16,Milan,Ajax,Italy,Netherlands,1,0,,,Stadio Giuseppe Meazza,Milan,1-0
Group stage,2003-09-16,Manchester Utd,Panathinaikos,England,Greece,5,0,,,Old Trafford,Manchester Utd,5-0
Group stage,2003-09-16,Sparta Prague,Chelsea,Czech Republic,England,0,1,,,Stadion Letná,Chelsea,0-1
Group stage,2003-09-16,Beşiktaş,Lazio,Turkey,Italy,0,2,,,BJK İnönü Stadyumu,Lazio,0-2
Group stage,2003-09-16,Real Madrid,Marseille,Spain,France,4,2,,,Estadio Santiago Bernabéu,Real Madrid,4-2
Group stage,2003-09-16,Rangers,Stuttgart,Scotland,Germany,2,1,,,Ibrox Stadium,Rangers,2-1
Group stage,2003-09-16,Club Brugge,Celta Vigo,Belgium,Spain,1,1,,,Jan Breydelstadion,,1-1
Group stage,2003-09-16,Partizan,Porto,Serbia,Portugal,1,1,,,Stadion FK Partizan,,1-1
Group stage,2003-09-17,Juventus,Galatasaray,Italy,Turkey,2,1,,,Delle Alpi,Juventus,2-1
Group stage,2003-09-17,Real Sociedad,Olympiacos,Spain,Greece,1,0,,,Anoeta,Real Sociedad,1-0
Group stage,2003-09-17,Arsenal,Inter,England,Italy,0,3,,,Highbury,Inter,0-3
Group stage,2003-09-17,Bayern Munich,Celtic,Germany,Scotland,2,1,,,Olympiastadion,Bayern Munich,2-1
Group stage,2003-09-17,PSV Eindhoven,Monaco,Netherlands,France,1,2,,,PSV Stadion,Monaco,1-2
Group stage,2003-09-17,Lyon,Anderlecht,France,Belgium,1,0,,,Stade de Gerland,Lyon,1-0
Group stage,2003-09-17,AEK Athens,La Coruña,Greece,Spain,1,1,,,Apostolos Nikolaidis,,1-1
Group stage,2003-09-17,Dynamo Kyiv,Loko Moscow,Ukraine,Russia,2,0,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,2-0
Group stage,2003-09-30,Monaco,AEK Athens,France,Greece,4,0,,,Stade Louis II,Monaco,4-0
Group stage,2003-09-30,Olympiacos,Juventus,Greece,Italy,1,2,,,Georgios Kamaras,Juventus,1-2
Group stage,2003-09-30,Galatasaray,Real Sociedad,Turkey,Spain,1,2,,,Atatürk Olimpiyat Stadium,Real Sociedad,1-2
