round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
League phase,2024-09-17,Young Boys,Aston Villa,Switzerland,England,0,3,,,Stadion Wankdorf,Aston Villa,0-3
League phase,2024-09-17,Juventus,PSV Eindhoven,Italy,Netherlands,3,1,,,Allianz Stadium,Juventus,3-1
League phase,2024-09-17,Sporting CP,Lille,Portugal,France,2,0,,,Estádio José Alvalade,Sporting CP,2-0
League phase,2024-09-17,Real Madrid,Stuttgart,Spain,Germany,3,1,,,Estadio Santiago Bernabéu,Real Madrid,3-1
League phase,2024-09-17,Milan,Liverpool,Italy,England,1,3,,,Stadio Giuseppe Meazza,Liverpool,1-3
League phase,2024-09-17,Bayern Munich,Dinamo Zagreb,Germany,Croatia,9,2,,,Allianz Arena,Bayern Munich,9-2
League phase,2024-09-18,Sparta Prague,RB Salzburg,Czech Republic,Austria,3,0,,,epet Arena,Sparta Prague,3-0
League phase,2024-09-18,Bologna,Shakhtar,Italy,Ukraine,0,0,,,Stadio Renato Dall'Ara,,0-0
League phase,2024-09-18,Celtic,Slovan Bratislava,Scotland,Slovakia,5,1,,,Celtic Park,Celtic,5-1
League phase,2024-09-18,Manchester City,Inter,England,Italy,0,0,,,Etihad Stadium,,0-0
League phase,2024-09-18,Club Brugge,Dortmund,Belgium,Germany,0,3,,,Jan Breydelstadion,Dortmund,0-3
League phase,2024-09-18,Paris S-G,Girona,France,Spain,1,0,,,Parc des Princes,Paris S-G,1-0
League phase,2024-09-19,Red Star,Benfica,Serbia,Portugal,1,2,,,Stadion Rajko Mitić,Benfica,1-2
League phase,2024-09-19,Feyenoord,Leverkusen,Netherlands,Germany,0,4,,,Stadion Feijenoord,Leverkusen,0-4
League phase,2024-09-19,Monaco,Barcelona,France,Spain,2,1,,,Stade Louis II,Monaco,2-1
League phase,2024-09-19,Atalanta,Arsenal,Italy,England,0,0,,,Gewiss Stadium,,0-0
League phase,2024-09-19,Brest,Sturm Graz,France,Austria,2,1,,,Stade du Roudourou,Brest,2-1
League phase,2024-09-19,Atlético Madrid,RB Leipzig,Spain,Germany,2,1,,,Riyadh Air Metropolitan Stadium,Atlético Madrid,2-1
League phase,2024-10-01,Stuttgart,Sparta Prague,Germany,Czech Republic,1,1,,,MHPArena,,1-1
League phase,2024-10-01,RB Salzburg,Brest,Austria,France,0,4,,,Red Bull Arena,Brest,0-4
League phase,2024-10-01,Arsenal,Paris S-G,England,France,2,0,,,Emirates Stadium,Arsenal,2-0
League phase,2024-10-01,Barcelona,Young Boys,Spain,Switzerland,5,0,,,Estadi Olímpic Lluís Companys,Barcelona,5-0
League phase,2024-10-01,Dortmund,Celtic,Germany,Scotland,7,1,,,Signal Iduna Park,Dortmund,7-1
League phase,2024-10-01,Inter,Red Star,Italy,Serbia,4,0,,,Stadio Giuseppe Meazza,Inter,4-0
League phase,2024-10-01,Slovan Bratislava,Manchester City,Slovakia,England,0,4,,,Štadión Tehelné pole,Manchester City,0-4
League phase,2024-10-01,PSV Eindhoven,Sporting CP,Netherlands,Portugal,1,1,,,Philips Stadion,,1-1
League phase,2024-10-01,Leverkusen,Milan,Germany,Italy,1,0,,,BayArena,Leverkusen,1-0
League phase,2024-10-02,Girona,Feyenoord,Spain,Netherlands,2,3,,,Estadi Municipal de Montilivi,Feyenoord,2-3
League phase,2024-10-02,Shakhtar,Atalanta,Ukraine,Italy,0,3,,,Veltins-Arena,Atalanta,0-3
League phase,2024-10-02,Liverpool,Bologna,England,Italy,2,0,,,Anfield,Liverpool,2-0
League phase,2024-10-02,Aston Villa,Bayern Munich,England,Germany,1,0,,,Villa Park,Aston Villa,1-0
League phase,2024-10-02,Benfica,Atlético Madrid,Portugal,Spain,4,0,,,Estádio do Sport Lisboa e Benfica,Benfica,4-0
League phase,2024-10-02,Dinamo Zagreb,Monaco,Croatia,France,2,2,,,Stadion Maksimir,,2-2
League phase,2024-10-02,RB Leipzig,Juventus,Germany,Italy,2,3,,,Red Bull Arena,Juventus,2-3
League phase,2024-10-02,Sturm Graz,Club Brugge,Austria,Belgium,0,1,,,Merkur Arena,Club Brugge,0-1
League phase,2024-10-02,Lille,Real Madrid,France,Spain,1,0,,,Decathlon Arena - Stade Pierre-Mauroy,Lille,1-0
League phase,2024-10-22,Monaco,Red Star,France,Serbia,5,1,,,Stade Louis II,Monaco,5-1
League phase,2024-10-22,Milan,Club Brugge,Italy,Belgium,3,1,,,Stadio Giuseppe Meazza,Milan,3-1
League phase,2024-10-22,Arsenal,Shakhtar,England,Ukraine,1,0,,,Emirates Stadium,Arsenal,1-0
League phase,2024-10-22,Aston Villa,Bologna,England,Italy,2,0,,,Villa Park,Aston Villa,2-0
League phase,2024-10-22,Sturm Graz,Sporting CP,Austria,Portugal,0,2,,,Merkur Arena,Sporting CP,0-2
