round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2011-09-13,Genk,Valencia,Belgium,Spain,0,0,,,KRC Genk Arena,,0-0
Group stage,2011-09-13,APOEL FC,Zenit,Cyprus,Russia,2,1,,,GSP Stadium,APOEL FC,2-1
Group stage,2011-09-13,Barcelona,Milan,Spain,Italy,2,2,,,Camp Nou,,2-2
Group stage,2011-09-13,Olympiacos,Marseille,Greece,France,0,1,,,Stadio Georgios Karaiskakis,Marseille,0-1
Group stage,2011-09-13,Chelsea,Leverkusen,England,Germany,2,0,,,Stamford Bridge,Chelsea,2-0
Group stage,2011-09-13,Dortmund,Arsenal,Germany,England,1,1,,,BVB Stadion Dortmund,,1-1
Group stage,2011-09-13,Porto,Shakhtar,Portugal,Ukraine,2,1,,,Estádio do Dragão,Porto,2-1
Group stage,2011-09-13,Viktoria Plzeň,BATE Borisov,Czech Republic,Belarus,1,1,,,Stadion Eden,,1-1
Group stage,2011-09-14,Basel,Oțelul Galați,Switzerland,Romania,2,1,,,St. Jakob,Basel,2-1
Group stage,2011-09-14,Lille,CSKA Moscow,France,Russia,2,2,,,Stadium Lille Métropole,,2-2
Group stage,2011-09-14,Inter,Trabzonspor,Italy,Turkey,0,1,,,Stadio Giuseppe Meazza,Trabzonspor,0-1
Group stage,2011-09-14,Manchester City,Napoli,England,Italy,1,1,,,City of Manchester Stadium,,1-1
Group stage,2011-09-14,Dinamo Zagreb,Real Madrid,Croatia,Spain,0,1,,,Stadion Maksimir,Real Madrid,0-1
Group stage,2011-09-14,Ajax,Lyon,Netherlands,France,0,0,,,Amsterdam ArenA,,0-0
Group stage,2011-09-14,Villarreal,Bayern Munich,Spain,Germany,0,2,,,Estadio El Madrigal,Bayern Munich,0-2
Group stage,2011-09-14,Benfica,Manchester Utd,Portugal,England,1,1,,,Estádio do Sport Lisboa e Benfica,,1-1
Group stage,2011-09-27,Manchester Utd,Basel,England,Switzerland,3,3,,,Old Trafford,,3-3
Group stage,2011-09-27,CSKA Moscow,Inter,Russia,Italy,2,3,,,Stadion Luzhniki,Inter,2-3
Group stage,2011-09-27,Lyon,Dinamo Zagreb,France,Croatia,2,0,,,Stade de Gerland,Lyon,2-0
Group stage,2011-09-27,Oțelul Galați,Benfica,Romania,Portugal,0,1,,,Arena Națională,Benfica,0-1
Group stage,2011-09-27,Trabzonspor,Lille,Turkey,France,1,1,,,Hüseyin Avni Aker Stadyumu,,1-1
Group stage,2011-09-27,Real Madrid,Ajax,Spain,Netherlands,3,0,,,Estadio Santiago Bernabéu,Real Madrid,3-0
Group stage,2011-09-27,Napoli,Villarreal,Italy,Spain,2,0,,,Stadio San Paolo,Napoli,2-0
Group stage,2011-09-27,Bayern Munich,Manchester City,Germany,England,2,0,,,Fußball Arena München,Bayern Munich,2-0
Group stage,2011-09-28,Shakhtar,APOEL FC,Ukraine,Cyprus,1,1,,,Donbass Arena,,1-1
Group stage,2011-09-28,Zenit,Porto,Russia,Portugal,3,1,,,Stadion Petrovski,Zenit,3-1
Group stage,2011-09-28,BATE Borisov,Barcelona,Belarus,Spain,0,5,,,Dinamo Stadion,Barcelona,0-5
Group stage,2011-09-28,Milan,Viktoria Plzeň,Italy,Czech Republic,2,0,,,Stadio Giuseppe Meazza,Milan,2-0
Group stage,2011-09-28,Leverkusen,Genk,Germany,Belgium,2,0,,,BayArena,Leverkusen,2-0
Group stage,2011-09-28,Valencia,Chelsea,Spain,England,1,1,,,Estadi de Mestalla,,1-1
Group stage,2011-09-28,Arsenal,Olympiacos,England,Greece,2,1,,,Arsenal Stadium,Arsenal,2-1
Group stage,2011-09-28,Marseille,Dortmund,France,Germany,3,0,,,Stade Vélodrome,Marseille,3-0
Group stage,2011-10-18,Real Madrid,Lyon,Spain,France,4,0,,,Estadio Santiago Bernabéu,Real Madrid,4-0
Group stage,2011-10-18,Dinamo Zagreb,Ajax,Croatia,Netherlands,0,2,,,Stadion Maksimir,Ajax,0-2
Group stage,2011-10-18,Basel,Benfica,Switzerland,Portugal,0,2,,,St. Jakob,Benfica,0-2
Group stage,2011-10-18,Manchester City,Villarreal,England,Spain,2,1,,,City of Manchester Stadium,Manchester City,2-1
Group stage,2011-10-18,Oțelul Galați,Manchester Utd,Romania,England,0,2,,,Arena Națională,Manchester Utd,0-2
Group stage,2011-10-18,Napoli,Bayern Munich,Italy,Germany,1,1,,,Stadio San Paolo,,1-1
Group stage,2011-10-18,CSKA Moscow,Trabzonspor,Russia,Turkey,3,0,,,Stadion Luzhniki,CSKA Moscow,3-0
Group stage,2011-10-18,Lille,Inter,France,Italy,0,1,,,Stadium Lille Métropole,Inter,0-1
Group stage,2011-10-19,Chelsea,Genk,England,Belgium,5,0,,,Stamford Bridge,Chelsea,5-0
Group stage,2011-10-19,Olympiacos,Dortmund,Greece,Germany,3,1,,,Stadio Georgios Karaiskakis,Olympiacos,3-1
Group stage,2011-10-19,Leverkusen,Valencia,Germany,Spain,2,1,,,BayArena,Leverkusen,2-1
Group stage,2011-10-19,Porto,APOEL FC,Portugal,Cyprus,1,1,,,Estádio do Dragão,,1-1
Group stage,2011-10-19,Shakhtar,Zenit,Ukraine,Russia,2,2,,,Donbass Arena,,2-2
Group stage,2011-10-19,Marseille,Arsenal,France,England,0,1,,,Stade Vélodrome,Arsenal,0-1
Group stage,2011-10-19,Milan,BATE Borisov,Italy,Belarus,2,0,,,Stadio Giuseppe Meazza,Milan,2-0
Group stage,2011-10-19,Barcelona,Viktoria Plzeň,Spain,Czech Republic,2,0,,,Camp Nou,Barcelona,2-0
Group stage,2011-11-01,Viktoria Plzeň,Barcelona,Czech Republic,Spain,0,4,,,Eden Stadium,Barcelona,0-4
Group stage,2011-11-01,Arsenal,Marseille,England,France,0,0,,,Arsenal Stadium,,0-0
Group stage,2011-11-01,APOEL FC,Porto,Cyprus,Portugal,2,1,,,GSP Stadium,APOEL FC,2-1
Group stage,2011-11-01,Valencia,Leverkusen,Spain,Germany,3,1,,,Estadi de Mestalla,Valencia,3-1
Group stage,2011-11-01,Genk,Chelsea,Belgium,England,1,1,,,KRC Genk Arena,,1-1
Group stage,2011-11-01,Dortmund,Olympiacos,Germany,Greece,1,0,,,BVB Stadion Dortmund,Dortmund,1-0
Group stage,2011-11-01,Zenit,Shakhtar,Russia,Ukraine,1,0,,,Stadion Petrovski,Zenit,1-0
Group stage,2011-11-01,BATE Borisov,Milan,Belarus,Italy,1,1,,,Dinamo Stadion,,1-1
Group stage,2011-11-02,Bayern Munich,Napoli,Germany,Italy,3,2,,,Fußball Arena München,Bayern Munich,3-2
Group stage,2011-11-02,Ajax,Dinamo Zagreb,Netherlands,Croatia,4,0,,,Amsterdam ArenA,Ajax,4-0
Group stage,2011-11-02,Lyon,Real Madrid,France,Spain,0,2,,,Stade de Gerland,Real Madrid,0-2
Group stage,2011-11-02,Benfica,Basel,Portugal,Switzerland,1,1,,,Estádio do Sport Lisboa e Benfica,,1-1
Group stage,2011-11-02,Inter,Lille,Italy,France,2,1,,,Stadio Giuseppe Meazza,Inter,2-1
Group stage,2011-11-02,Villarreal,Manchester City,Spain,England,0,3,,,Estadio El Madrigal,Manchester City,0-3
Group stage,2011-11-02,Trabzonspor,CSKA Moscow,Turkey,Russia,0,0,,,Hüseyin Avni Aker Stadyumu,,0-0
