round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2007-09-18,Chelsea,Rosenborg,England,Norway,1,1,,,Stamford Bridge,,1-1
Group stage,2007-09-18,Milan,Benfica,Italy,Portugal,2,1,,,Stadio Giuseppe Meazza,Milan,2-1
Group stage,2007-09-18,Real Madrid,Werder Bremen,Spain,Germany,2,1,,,Estadio Santiago Bernabéu,Real Madrid,2-1
Group stage,2007-09-18,Marseille,Beşiktaş,France,Turkey,2,0,,,Stade Vélodrome,Marseille,2-0
Group stage,2007-09-18,Olympiacos,Lazio,Greece,Italy,1,1,,,Stadio Georgios Karaiskakis,,1-1
Group stage,2007-09-18,Schalke 04,Valencia,Germany,Spain,0,1,,,Arena AufSchalke,Valencia,0-1
Group stage,2007-09-18,Porto,Liverpool,Portugal,England,1,1,,,Estádio do Dragão,,1-1
Group stage,2007-09-18,Shakhtar,Celtic,Ukraine,Scotland,2,0,,,RSC Olympiyskiy Stadium,Shakhtar,2-0
Group stage,2007-09-19,Arsenal,Sevilla,England,Spain,3,0,,,Arsenal Stadium,Arsenal,3-0
Group stage,2007-09-19,Barcelona,Lyon,Spain,France,3,0,,,Camp Nou,Barcelona,3-0
Group stage,2007-09-19,PSV Eindhoven,CSKA Moscow,Netherlands,Russia,2,1,,,PSV Stadion,PSV Eindhoven,2-1
Group stage,2007-09-19,Sporting CP,Manchester Utd,Portugal,England,0,1,,,José Alvalade,Manchester Utd,0-1
Group stage,2007-09-19,Roma,Dynamo Kyiv,Italy,Ukraine,2,0,,,Stadio Olimpico,Roma,2-0
Group stage,2007-09-19,Fenerbahçe,Inter,Turkey,Italy,1,0,,,Şükrü Saracoğlu,Fenerbahçe,1-0
Group stage,2007-09-19,Rangers,Stuttgart,Scotland,Germany,2,1,,,Ibrox Stadium,Rangers,2-1
Group stage,2007-09-19,Slavia Prague,Steaua,Czech Republic,Romania,2,1,,,Evžena Rošického,Slavia Prague,2-1
Group stage,2007-10-02,Sevilla,Slavia Prague,Spain,Czech Republic,4,2,,,Estadio Ramón Sánchez Pizjuán,Sevilla,4-2
Group stage,2007-10-02,Stuttgart,Barcelona,Germany,Spain,0,2,,,VfB Arena,Barcelona,0-2
Group stage,2007-10-02,Inter,PSV Eindhoven,Italy,Netherlands,2,0,,,Stadio Giuseppe Meazza,Inter,2-0
Group stage,2007-10-02,CSKA Moscow,Fenerbahçe,Russia,Turkey,2,2,,,Stadion Lokomotiv,,2-2
Group stage,2007-10-02,Steaua,Arsenal,Romania,England,0,1,,,Stadionul Steaua,Arsenal,0-1
Group stage,2007-10-02,Dynamo Kyiv,Sporting CP,Ukraine,Portugal,1,2,,,Stadion Dynamo im. Valeriy Lobanovskiy,Sporting CP,1-2
Group stage,2007-10-02,Lyon,Rangers,France,Scotland,0,3,,,Stade de Gerland,Rangers,0-3
Group stage,2007-10-02,Manchester Utd,Roma,England,Italy,1,0,,,Old Trafford,Manchester Utd,1-0
Group stage,2007-10-03,Rosenborg,Schalke 04,Norway,Germany,0,2,,,Lerkendal Stadion,Schalke 04,0-2
Group stage,2007-10-03,Lazio,Real Madrid,Italy,Spain,2,2,,,Stadio Olimpico,,2-2
Group stage,2007-10-03,Celtic,Milan,Scotland,Italy,2,1,,,Celtic Park,Celtic,2-1
Group stage,2007-10-03,Benfica,Shakhtar,Portugal,Ukraine,0,1,,,Estádio do Sport Lisboa e Benfica,Shakhtar,0-1
Group stage,2007-10-03,Beşiktaş,Porto,Turkey,Portugal,0,1,,,BJK İnönü Stadyumu,Porto,0-1
Group stage,2007-10-03,Valencia,Chelsea,Spain,England,1,2,,,Estadi de Mestalla,Chelsea,1-2
Group stage,2007-10-03,Liverpool,Marseille,England,France,0,1,,,Anfield,Marseille,0-1
Group stage,2007-10-03,Werder Bremen,Olympiacos,Germany,Greece,1,3,,,Weserstadion,Olympiacos,1-3
Group stage,2007-10-23,Rangers,Barcelona,Scotland,Spain,0,0,,,Ibrox Stadium,,0-0
Group stage,2007-10-23,Roma,Sporting CP,Italy,Portugal,2,1,,,Stadio Olimpico,Roma,2-1
Group stage,2007-10-23,CSKA Moscow,Inter,Russia,Italy,1,2,,,Stadion Lokomotiv,Inter,1-2
Group stage,2007-10-23,Dynamo Kyiv,Manchester Utd,Ukraine,England,2,4,,,Stadion Dynamo im. Valeriy Lobanovskiy,Manchester Utd,2-4
Group stage,2007-10-23,Stuttgart,Lyon,Germany,France,0,2,,,VfB Arena,Lyon,0-2
Group stage,2007-10-23,Arsenal,Slavia Prague,England,Czech Republic,7,0,,,Arsenal Stadium,Arsenal,7-0
Group stage,2007-10-23,PSV Eindhoven,Fenerbahçe,Netherlands,Turkey,0,0,,,PSV Stadion,,0-0
Group stage,2007-10-23,Sevilla,Steaua,Spain,Romania,2,1,,,Estadio Ramón Sánchez Pizjuán,Sevilla,2-1
Group stage,2007-10-24,Werder Bremen,Lazio,Germany,Italy,2,1,,,Weserstadion,Werder Bremen,2-1
Group stage,2007-10-24,Benfica,Celtic,Portugal,Scotland,1,0,,,Estádio do Sport Lisboa e Benfica,Benfica,1-0
Group stage,2007-10-24,Beşiktaş,Liverpool,Turkey,England,2,1,,,BJK İnönü Stadyumu,Beşiktaş,2-1
Group stage,2007-10-24,Milan,Shakhtar,Italy,Ukraine,4,1,,,Stadio Giuseppe Meazza,Milan,4-1
Group stage,2007-10-24,Rosenborg,Valencia,Norway,Spain,2,0,,,Lerkendal Stadion,Rosenborg,2-0
Group stage,2007-10-24,Marseille,Porto,France,Portugal,1,1,,,Stade Vélodrome,,1-1
Group stage,2007-10-24,Chelsea,Schalke 04,England,Germany,2,0,,,Stamford Bridge,Chelsea,2-0
Group stage,2007-10-24,Real Madrid,Olympiacos,Spain,Greece,4,2,,,Estadio Santiago Bernabéu,Real Madrid,4-2
Group stage,2007-11-06,Shakhtar,Milan,Ukraine,Italy,0,3,,,RSC Olympiyskiy Stadium,Milan,0-3
Group stage,2007-11-06,Liverpool,Beşiktaş,England,Turkey,8,0,,,Anfield,Liverpool,8-0
Group stage,2007-11-06,Celtic,Benfica,Scotland,Portugal,1,0,,,Celtic Park,Celtic,1-0
Group stage,2007-11-06,Valencia,Rosenborg,Spain,Norway,0,2,,,Estadi de Mestalla,Rosenborg,0-2
Group stage,2007-11-06,Porto,Marseille,Portugal,France,2,1,,,Estádio do Dragão,Porto,2-1
Group stage,2007-11-06,Lazio,Werder Bremen,Italy,Germany,2,1,,,Stadio Olimpico,Lazio,2-1
Group stage,2007-11-06,Schalke 04,Chelsea,Germany,England,0,0,,,Arena AufSchalke,,0-0
Group stage,2007-11-06,Olympiacos,Real Madrid,Greece,Spain,0,0,,,Stadio Georgios Karaiskakis,,0-0
Group stage,2007-11-07,Barcelona,Rangers,Spain,Scotland,2,0,,,Camp Nou,Barcelona,2-0
Group stage,2007-11-07,Fenerbahçe,PSV Eindhoven,Turkey,Netherlands,2,0,,,Şükrü Saracoğlu,Fenerbahçe,2-0
Group stage,2007-11-07,Slavia Prague,Arsenal,Czech Republic,England,0,0,,,Evžena Rošického,,0-0
Group stage,2007-11-07,Lyon,Stuttgart,France,Germany,4,2,,,Stade de Gerland,Lyon,4-2
Group stage,2007-11-07,Steaua,Sevilla,Romania,Spain,0,2,,,Stadionul Steaua,Sevilla,0-2
Group stage,2007-11-07,Inter,CSKA Moscow,Italy,Russia,4,2,,,Stadio Giuseppe Meazza,Inter,4-2
Group stage,2007-11-07,Sporting CP,Roma,Portugal,Italy,2,2,,,José Alvalade,,2-2
Group stage,2007-11-07,Manchester Utd,Dynamo Kyiv,England,Ukraine,4,0,,,Old Trafford,Manchester Utd,4-0
Group stage,2007-11-27,Sevilla,Arsenal,Spain,England,3,1,,,Estadio Ramón Sánchez Pizjuán,Sevilla,3-1
Group stage,2007-11-27,Steaua,Slavia Prague,Romania,Czech Republic,1,1,,,Stadionul Steaua,,1-1
Group stage,2007-11-27,Dynamo Kyiv,Roma,Ukraine,Italy,1,4,,,Stadion Dynamo im. Valeriy Lobanovskiy,Roma,1-4
Group stage,2007-11-27,Lyon,Barcelona,France,Spain,2,2,,,Stade de Gerland,,2-2
Group stage,2007-11-27,Manchester Utd,Sporting CP,England,Portugal,2,1,,,Old Trafford,Manchester Utd,2-1
Group stage,2007-11-27,Stuttgart,Rangers,Germany,Scotland,3,2,,,VfB Arena,Stuttgart,3-2
Group stage,2007-11-27,CSKA Moscow,PSV Eindhoven,Russia,Netherlands,0,1,,,Stadion Lokomotiv,PSV Eindhoven,0-1
Group stage,2007-11-27,Inter,Fenerbahçe,Italy,Turkey,3,0,,,Stadio Giuseppe Meazza,Inter,3-0
Group stage,2007-11-28,Celtic,Shakhtar,Scotland,Ukraine,2,1,,,Celtic Park,Celtic,2-1
Group stage,2007-11-28,Werder Bremen,Real Madrid,Germany,Spain,3,2,,,Weserstadion,Werder Bremen,3-2
Group stage,2007-11-28,Rosenborg,Chelsea,Norway,England,0,4,,,Lerkendal Stadion,Chelsea,0-4
