round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2020-10-20,Dynamo Kyiv,Juventus,Ukraine,Italy,0,2,,,NSK Olimpijs'kyj,Juventus,0-2
Group stage,2020-10-20,Zenit,Club Brugge,Russia,Belgium,1,2,,,Gazprom Arena,Club Brugge,1-2
Group stage,2020-10-20,Chelsea,Sevilla,England,Spain,0,0,,,Stamford Bridge,,0-0
Group stage,2020-10-20,RB Leipzig,Başakşehir,Germany,Turkey,2,0,,,Red Bull Arena,RB Leipzig,2-0
Group stage,2020-10-20,Barcelona,Ferencváros,Spain,Hungary,5,1,,,Camp Nou,Barcelona,5-1
Group stage,2020-10-20,Lazio,Dortmund,Italy,Germany,3,1,,,Stadio Olimpico,Lazio,3-1
Group stage,2020-10-20,Paris S-G,Manchester Utd,France,England,1,2,,,Parc des Princes,Manchester Utd,1-2
Group stage,2020-10-20,Rennes,Krasnodar,France,Russia,1,1,,,Roazhon Park,,1-1
Group stage,2020-10-21,RB Salzburg,Loko Moscow,Austria,Russia,2,2,,,Red Bull Arena,,2-2
Group stage,2020-10-21,Real Madrid,Shakhtar,Spain,Ukraine,2,3,,,Estadio Alfredo Di Stéfano,Shakhtar,2-3
Group stage,2020-10-21,Manchester City,Porto,England,Portugal,3,1,,,Etihad Stadium,Manchester City,3-1
Group stage,2020-10-21,Inter,Gladbach,Italy,Germany,2,2,,,Stadio Giuseppe Meazza,,2-2
Group stage,2020-10-21,Bayern Munich,Atlético Madrid,Germany,Spain,4,0,,,Allianz Arena,Bayern Munich,4-0
Group stage,2020-10-21,Ajax,Liverpool,Netherlands,England,0,1,,,Johan Cruyff ArenA,Liverpool,0-1
Group stage,2020-10-21,Midtjylland,Atalanta,Denmark,Italy,0,4,,,MCH Arena,Atalanta,0-4
Group stage,2020-10-21,Olympiacos,Marseille,Greece,France,1,0,,,Stadio Georgios Karaiskáki,Olympiacos,1-0
Group stage,2020-10-27,Shakhtar,Inter,Ukraine,Italy,0,0,,,Oblasny SportKomplex Metalist,,0-0
Group stage,2020-10-27,Porto,Olympiacos,Portugal,Greece,2,0,,,Estádio Do Dragão,Porto,2-0
Group stage,2020-10-27,Liverpool,Midtjylland,England,Denmark,2,0,,,Anfield,Liverpool,2-0
Group stage,2020-10-27,Loko Moscow,Bayern Munich,Russia,Germany,1,2,,,RZD Arena,Bayern Munich,1-2
Group stage,2020-10-27,Atlético Madrid,RB Salzburg,Spain,Austria,3,2,,,Estadio Wanda Metropolitano,Atlético Madrid,3-2
Group stage,2020-10-27,Atalanta,Ajax,Italy,Netherlands,2,2,,,Stadio Atleti Azzurri d'Italia,,2-2
Group stage,2020-10-27,Marseille,Manchester City,France,England,0,3,,,Orange Vélodrome,Manchester City,0-3
Group stage,2020-10-27,Gladbach,Real Madrid,Germany,Spain,2,2,,,Stadion im Borussia-Park,,2-2
Group stage,2020-10-28,Manchester Utd,RB Leipzig,England,Germany,5,0,,,Old Trafford,Manchester Utd,5-0
Group stage,2020-10-28,Krasnodar,Chelsea,Russia,England,0,4,,,Krasnodar Stadium,Chelsea,0-4
Group stage,2020-10-28,Başakşehir,Paris S-G,Turkey,France,0,2,,,Başakşehir Fatih Terim Stadium,Paris S-G,0-2
Group stage,2020-10-28,Juventus,Barcelona,Italy,Spain,0,2,,,Allianz Stadium,Barcelona,0-2
Group stage,2020-10-28,Club Brugge,Lazio,Belgium,Italy,1,1,,,Jan Breydelstadion,,1-1
Group stage,2020-10-28,Ferencváros,Dynamo Kyiv,Hungary,Ukraine,2,2,,,Groupama Arena,,2-2
Group stage,2020-10-28,Dortmund,Zenit,Germany,Russia,2,0,,,Signal Iduna Park,Dortmund,2-0
Group stage,2020-10-28,Sevilla,Rennes,Spain,France,1,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,1-0
Group stage,2020-11-03,Shakhtar,Gladbach,Ukraine,Germany,0,6,,,Oblasny SportKomplex Metalist,Gladbach,0-6
Group stage,2020-11-03,Porto,Marseille,Portugal,France,3,0,,,Estádio Do Dragão,Porto,3-0
Group stage,2020-11-03,Manchester City,Olympiacos,England,Greece,3,0,,,Etihad Stadium,Manchester City,3-0
Group stage,2020-11-03,Loko Moscow,Atlético Madrid,Russia,Spain,1,1,,,RZD Arena,,1-1
Group stage,2020-11-03,Midtjylland,Ajax,Denmark,Netherlands,1,2,,,MCH Arena,Ajax,1-2
Group stage,2020-11-03,RB Salzburg,Bayern Munich,Austria,Germany,2,6,,,Red Bull Arena,Bayern Munich,2-6
Group stage,2020-11-03,Atalanta,Liverpool,Italy,England,0,5,,,Stadio Atleti Azzurri d'Italia,Liverpool,0-5
Group stage,2020-11-03,Real Madrid,Inter,Spain,Italy,3,2,,,Estadio Alfredo Di Stéfano,Real Madrid,3-2
Group stage,2020-11-04,Chelsea,Rennes,England,France,3,0,,,Stamford Bridge,Chelsea,3-0
Group stage,2020-11-04,Başakşehir,Manchester Utd,Turkey,England,2,1,,,Başakşehir Fatih Terim Stadium,Başakşehir,2-1
Group stage,2020-11-04,Zenit,Lazio,Russia,Italy,1,1,,,Gazprom Arena,,1-1
Group stage,2020-11-04,Ferencváros,Juventus,Hungary,Italy,1,4,,,Puskás Aréna,Juventus,1-4
Group stage,2020-11-04,Club Brugge,Dortmund,Belgium,Germany,0,3,,,Jan Breydelstadion,Dortmund,0-3
Group stage,2020-11-04,Barcelona,Dynamo Kyiv,Spain,Ukraine,2,1,,,Camp Nou,Barcelona,2-1
Group stage,2020-11-04,Sevilla,Krasnodar,Spain,Russia,3,2,,,Estadio Ramón Sánchez Pizjuán,Sevilla,3-2
Group stage,2020-11-04,RB Leipzig,Paris S-G,Germany,France,2,1,,,Red Bull Arena,RB Leipzig,2-1
Group stage,2020-11-24,Rennes,Chelsea,France,England,1,2,,,Roazhon Park,Chelsea,1-2
Group stage,2020-11-24,Manchester Utd,Başakşehir,England,Turkey,4,1,,,Old Trafford,Manchester Utd,4-1
Group stage,2020-11-24,Krasnodar,Sevilla,Russia,Spain,1,2,,,Krasnodar Stadium,Sevilla,1-2
Group stage,2020-11-24,Dortmund,Club Brugge,Germany,Belgium,3,0,,,Signal Iduna Park,Dortmund,3-0
Group stage,2020-11-24,Juventus,Ferencváros,Italy,Hungary,2,1,,,Allianz Stadium,Juventus,2-1
Group stage,2020-11-24,Paris S-G,RB Leipzig,France,Germany,1,0,,,Parc des Princes,Paris S-G,1-0
