round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2015-09-15,Manchester City,Juventus,England,Italy,1,2,,,Etihad Stadium,Juventus,1-2
Group stage,2015-09-15,Benfica,FC Astana,Portugal,Kazakhstan,2,0,,,Estádio do Sport Lisboa e Benfica,Benfica,2-0
Group stage,2015-09-15,PSV Eindhoven,Manchester Utd,Netherlands,England,2,1,,,Philips Stadion,PSV Eindhoven,2-1
Group stage,2015-09-15,Sevilla,Gladbach,Spain,Germany,3,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,3-0
Group stage,2015-09-15,Real Madrid,Shakhtar,Spain,Ukraine,4,0,,,Estadio Santiago Bernabéu,Real Madrid,4-0
Group stage,2015-09-15,Wolfsburg,CSKA Moscow,Germany,Russia,1,0,,,Volkswagen Arena,Wolfsburg,1-0
Group stage,2015-09-15,Paris S-G,Malmö,France,Sweden,2,0,,,Parc des Princes,Paris S-G,2-0
Group stage,2015-09-15,Galatasaray,Atlético Madrid,Turkey,Spain,0,2,,,Türk Telekom Arena,Atlético Madrid,0-2
Group stage,2015-09-16,Chelsea,Maccabi Tel Aviv,England,Israel,4,0,,,Stamford Bridge,Chelsea,4-0
Group stage,2015-09-16,Gent,Lyon,Belgium,France,1,1,,,GHELAMCO-arena,,1-1
Group stage,2015-09-16,Leverkusen,BATE Borisov,Germany,Belarus,4,1,,,BayArena,Leverkusen,4-1
Group stage,2015-09-16,Dinamo Zagreb,Arsenal,Croatia,England,2,1,,,Stadion Maksimir,Dinamo Zagreb,2-1
Group stage,2015-09-16,Roma,Barcelona,Italy,Spain,1,1,,,Stadio Olimpico,,1-1
Group stage,2015-09-16,Valencia,Zenit,Spain,Russia,2,3,,,Estadio de Mestalla,Zenit,2-3
Group stage,2015-09-16,Dynamo Kyiv,Porto,Ukraine,Portugal,2,2,,,NSK Olimpijs'kyj,,2-2
Group stage,2015-09-16,Olympiacos,Bayern Munich,Greece,Germany,0,3,,,Stadio Georgios Karaiskáki,Bayern Munich,0-3
Group stage,2015-09-29,Arsenal,Olympiacos,England,Greece,2,3,,,Emirates Stadium,Olympiacos,2-3
Group stage,2015-09-29,Porto,Chelsea,Portugal,England,2,1,,,Estádio Do Dragão,Porto,2-1
Group stage,2015-09-29,Bayern Munich,Dinamo Zagreb,Germany,Croatia,5,0,,,Allianz Arena,Bayern Munich,5-0
Group stage,2015-09-29,Barcelona,Leverkusen,Spain,Germany,2,1,,,Camp Nou,Barcelona,2-1
Group stage,2015-09-29,Lyon,Valencia,France,Spain,0,1,,,Stade de Gerland,Valencia,0-1
Group stage,2015-09-29,BATE Borisov,Roma,Belarus,Italy,3,2,,,Borisov Arena,BATE Borisov,3-2
Group stage,2015-09-29,Zenit,Gent,Russia,Belgium,2,1,,,Stadion Petrovskij,Zenit,2-1
Group stage,2015-09-29,Maccabi Tel Aviv,Dynamo Kyiv,Israel,Ukraine,0,2,,,Sammy Ofer Stadium,Dynamo Kyiv,0-2
Group stage,2015-09-30,Manchester Utd,Wolfsburg,England,Germany,2,1,,,Old Trafford,Manchester Utd,2-1
Group stage,2015-09-30,Gladbach,Manchester City,Germany,England,1,2,,,Stadion im Borussia-Park,Manchester City,1-2
Group stage,2015-09-30,Malmö,Real Madrid,Sweden,Spain,0,2,,,Swedbank Stadion,Real Madrid,0-2
Group stage,2015-09-30,Juventus,Sevilla,Italy,Spain,2,0,,,Allianz Stadium,Juventus,2-0
Group stage,2015-09-30,Atlético Madrid,Benfica,Spain,Portugal,1,2,,,Estadio Vicente Calderón,Benfica,1-2
Group stage,2015-09-30,Shakhtar,Paris S-G,Ukraine,France,0,3,,,L'viv Arena,Paris S-G,0-3
Group stage,2015-09-30,CSKA Moscow,PSV Eindhoven,Russia,Netherlands,3,2,,,Arena Khimki,CSKA Moscow,3-2
Group stage,2015-09-30,FC Astana,Galatasaray,Kazakhstan,Turkey,2,2,,,Astana Arena,,2-2
Group stage,2015-10-20,Porto,Maccabi Tel Aviv,Portugal,Israel,2,0,,,Estádio Do Dragão,Porto,2-0
Group stage,2015-10-20,Arsenal,Bayern Munich,England,Germany,2,0,,,Emirates Stadium,Arsenal,2-0
Group stage,2015-10-20,Leverkusen,Roma,Germany,Italy,4,4,,,BayArena,,4-4
Group stage,2015-10-20,Valencia,Gent,Spain,Belgium,2,1,,,Estadio de Mestalla,Valencia,2-1
Group stage,2015-10-20,Dinamo Zagreb,Olympiacos,Croatia,Greece,0,1,,,Stadion Maksimir,Olympiacos,0-1
Group stage,2015-10-20,BATE Borisov,Barcelona,Belarus,Spain,0,2,,,Borisov Arena,Barcelona,0-2
Group stage,2015-10-20,Dynamo Kyiv,Chelsea,Ukraine,England,0,0,,,NSK Olimpijs'kyj,,0-0
Group stage,2015-10-20,Zenit,Lyon,Russia,France,3,1,,,Stadion Petrovskij,Zenit,3-1
Group stage,2015-10-21,Manchester City,Sevilla,England,Spain,2,1,,,Etihad Stadium,Manchester City,2-1
Group stage,2015-10-21,Malmö,Shakhtar,Sweden,Ukraine,1,0,,,Swedbank Stadion,Malmö,1-0
Group stage,2015-10-21,Wolfsburg,PSV Eindhoven,Germany,Netherlands,2,0,,,Volkswagen Arena,Wolfsburg,2-0
Group stage,2015-10-21,Atlético Madrid,FC Astana,Spain,Kazakhstan,4,0,,,Estadio Vicente Calderón,Atlético Madrid,4-0
Group stage,2015-10-21,Paris S-G,Real Madrid,France,Spain,0,0,,,Parc des Princes,,0-0
Group stage,2015-10-21,Juventus,Gladbach,Italy,Germany,0,0,,,Allianz Stadium,,0-0
Group stage,2015-10-21,Galatasaray,Benfica,Turkey,Portugal,2,1,,,Türk Telekom Arena,Galatasaray,2-1
Group stage,2015-10-21,CSKA Moscow,Manchester Utd,Russia,England,1,1,,,Arena Khimki,,1-1
Group stage,2015-11-03,Manchester Utd,CSKA Moscow,England,Russia,1,0,,,Old Trafford,Manchester Utd,1-0
Group stage,2015-11-03,Benfica,Galatasaray,Portugal,Turkey,2,1,,,Estádio do Sport Lisboa e Benfica,Benfica,2-1
Group stage,2015-11-03,Gladbach,Juventus,Germany,Italy,1,1,,,Stadion im Borussia-Park,,1-1
Group stage,2015-11-03,Sevilla,Manchester City,Spain,England,1,3,,,Estadio Ramón Sánchez Pizjuán,Manchester City,1-3
Group stage,2015-11-03,Real Madrid,Paris S-G,Spain,France,1,0,,,Estadio Santiago Bernabéu,Real Madrid,1-0
Group stage,2015-11-03,PSV Eindhoven,Wolfsburg,Netherlands,Germany,2,0,,,Philips Stadion,PSV Eindhoven,2-0
Group stage,2015-11-03,FC Astana,Atlético Madrid,Kazakhstan,Spain,0,0,,,Astana Arena,,0-0
Group stage,2015-11-03,Shakhtar,Malmö,Ukraine,Sweden,4,0,,,L'viv Arena,Shakhtar,4-0
Group stage,2015-11-04,Chelsea,Dynamo Kyiv,England,Ukraine,2,1,,,Stamford Bridge,Chelsea,2-1
Group stage,2015-11-04,Bayern Munich,Arsenal,Germany,England,5,1,,,Allianz Arena,Bayern Munich,5-1
Group stage,2015-11-04,Gent,Valencia,Belgium,Spain,1,0,,,GHELAMCO-arena,Gent,1-0
Group stage,2015-11-04,Barcelona,BATE Borisov,Spain,Belarus,3,0,,,Camp Nou,Barcelona,3-0
Group stage,2015-11-04,Roma,Leverkusen,Italy,Germany,3,2,,,Stadio Olimpico,Roma,3-2
Group stage,2015-11-04,Lyon,Zenit,France,Russia,0,2,,,Stade de Gerland,Zenit,0-2
Group stage,2015-11-04,Olympiacos,Dinamo Zagreb,Greece,Croatia,2,1,,,Stadio Georgios Karaiskáki,Olympiacos,2-1
Group stage,2015-11-04,Maccabi Tel Aviv,Porto,Israel,Portugal,1,3,,,Sammy Ofer Stadium,Porto,1-3
Group stage,2015-11-24,Arsenal,Dinamo Zagreb,England,Croatia,3,0,,,Emirates Stadium,Arsenal,3-0
Group stage,2015-11-24,Porto,Dynamo Kyiv,Portugal,Ukraine,0,2,,,Estádio Do Dragão,Dynamo Kyiv,0-2
Group stage,2015-11-24,BATE Borisov,Leverkusen,Belarus,Germany,1,1,,,Borisov Arena,,1-1
Group stage,2015-11-24,Zenit,Valencia,Russia,Spain,2,0,,,Stadion Petrovskij,Zenit,2-0
Group stage,2015-11-24,Bayern Munich,Olympiacos,Germany,Greece,4,0,,,Allianz Arena,Bayern Munich,4-0
Group stage,2015-11-24,Barcelona,Roma,Spain,Italy,6,1,,,Camp Nou,Barcelona,6-1
