round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2006-09-12,Roma,Shakhtar,Italy,Ukraine,4,0,,,Stadio Olimpico,Roma,4-0
Group stage,2006-09-12,Olympiacos,Valencia,Greece,Spain,2,4,,,Stadio Georgios Karaiskakis,Valencia,2-4
Group stage,2006-09-12,Bayern Munich,Spartak Moscow,Germany,Russia,4,0,,,Fußball Arena München,Bayern Munich,4-0
Group stage,2006-09-12,Sporting CP,Inter,Portugal,Italy,1,0,,,José Alvalade,Sporting CP,1-0
Group stage,2006-09-12,PSV Eindhoven,Liverpool,Netherlands,England,0,0,,,PSV Stadion,,0-0
Group stage,2006-09-12,Chelsea,Werder Bremen,England,Germany,2,0,,,Stamford Bridge,Chelsea,2-0
Group stage,2006-09-12,Barcelona,Levski Sofia,Spain,Bulgaria,5,0,,,Camp Nou,Barcelona,5-0
Group stage,2006-09-12,Galatasaray,Bordeaux,Turkey,France,0,0,,,Atatürk Olimpiyat Stadium,,0-0
Group stage,2006-09-13,Porto,CSKA Moscow,Portugal,Russia,0,0,,,Estádio do Dragão,,0-0
Group stage,2006-09-13,Milan,AEK Athens,Italy,Greece,3,0,,,Stadio Giuseppe Meazza,Milan,3-0
Group stage,2006-09-13,Manchester Utd,Celtic,England,Scotland,3,2,,,Old Trafford,Manchester Utd,3-2
Group stage,2006-09-13,Lyon,Real Madrid,France,Spain,2,0,,,Stade de Gerland,Lyon,2-0
Group stage,2006-09-13,Dynamo Kyiv,Steaua,Ukraine,Romania,1,4,,,NSK Olimpiyskyi,Steaua,1-4
Group stage,2006-09-13,Hamburger SV,Arsenal,Germany,England,1,2,,,Hamburg Arena,Arsenal,1-2
Group stage,2006-09-13,Anderlecht,Lille,Belgium,France,1,1,,,Constant Vanden Stock Stadium,,1-1
Group stage,2006-09-13,FC Copenhagen,Benfica,Denmark,Portugal,0,0,,,FC København Stadium,,0-0
Group stage,2006-09-26,Celtic,FC Copenhagen,Scotland,Denmark,1,0,,,Celtic Park,Celtic,1-0
Group stage,2006-09-26,CSKA Moscow,Hamburger SV,Russia,Germany,1,0,,,Stadion Lokomotiv,CSKA Moscow,1-0
Group stage,2006-09-26,AEK Athens,Anderlecht,Greece,Belgium,1,1,,,OAKA Spiros Louis,,1-1
Group stage,2006-09-26,Real Madrid,Dynamo Kyiv,Spain,Ukraine,5,1,,,Estadio Santiago Bernabéu,Real Madrid,5-1
Group stage,2006-09-26,Steaua,Lyon,Romania,France,0,3,,,Stadionul Steaua,Lyon,0-3
Group stage,2006-09-26,Benfica,Manchester Utd,Portugal,England,0,1,,,Estádio do Sport Lisboa e Benfica,Manchester Utd,0-1
Group stage,2006-09-26,Lille,Milan,France,Italy,0,0,,,Stade Félix-Bollaert,,0-0
Group stage,2006-09-26,Arsenal,Porto,England,Portugal,2,0,,,Arsenal Stadium,Arsenal,2-0
Group stage,2006-09-27,Bordeaux,PSV Eindhoven,France,Netherlands,0,1,,,Stade Chaban-Delmas,PSV Eindhoven,0-1
Group stage,2006-09-27,Liverpool,Galatasaray,England,Turkey,3,2,,,Anfield,Liverpool,3-2
Group stage,2006-09-27,Valencia,Roma,Spain,Italy,2,1,,,Estadi de Mestalla,Valencia,2-1
Group stage,2006-09-27,Shakhtar,Olympiacos,Ukraine,Greece,2,2,,,RSC Olympiyskiy Stadium,,2-2
Group stage,2006-09-27,Spartak Moscow,Sporting CP,Russia,Portugal,1,1,,,Stadion Luzhniki,,1-1
Group stage,2006-09-27,Inter,Bayern Munich,Italy,Germany,0,2,,,Stadio Giuseppe Meazza,Bayern Munich,0-2
Group stage,2006-09-27,Levski Sofia,Chelsea,Bulgaria,England,1,3,,,Natsionalen Stadion Vasil Levski,Chelsea,1-3
Group stage,2006-09-27,Werder Bremen,Barcelona,Germany,Spain,1,1,,,Weserstadion,,1-1
Group stage,2006-10-17,Manchester Utd,FC Copenhagen,England,Denmark,3,0,,,Old Trafford,Manchester Utd,3-0
Group stage,2006-10-17,Lille,AEK Athens,France,Greece,3,1,,,Stade Félix-Bollaert,Lille,3-1
Group stage,2006-10-17,CSKA Moscow,Arsenal,Russia,England,1,0,,,Stadion Lokomotiv,CSKA Moscow,1-0
Group stage,2006-10-17,Anderlecht,Milan,Belgium,Italy,0,1,,,Constant Vanden Stock Stadium,Milan,0-1
Group stage,2006-10-17,Steaua,Real Madrid,Romania,Spain,1,4,,,Stadionul Steaua,Real Madrid,1-4
Group stage,2006-10-17,Celtic,Benfica,Scotland,Portugal,3,0,,,Celtic Park,Celtic,3-0
Group stage,2006-10-17,Porto,Hamburger SV,Portugal,Germany,4,1,,,Estádio do Dragão,Porto,4-1
Group stage,2006-10-17,Dynamo Kyiv,Lyon,Ukraine,France,0,3,,,NSK Olimpiyskyi,Lyon,0-3
Group stage,2006-10-18,Valencia,Shakhtar,Spain,Ukraine,2,0,,,Estadi de Mestalla,Valencia,2-0
Group stage,2006-10-18,Sporting CP,Bayern Munich,Portugal,Germany,0,1,,,José Alvalade,Bayern Munich,0-1
Group stage,2006-10-18,Inter,Spartak Moscow,Italy,Russia,2,1,,,Stadio Giuseppe Meazza,Inter,2-1
Group stage,2006-10-18,Olympiacos,Roma,Greece,Italy,0,1,,,Stadio Georgios Karaiskakis,Roma,0-1
Group stage,2006-10-18,Werder Bremen,Levski Sofia,Germany,Bulgaria,2,0,,,Weserstadion,Werder Bremen,2-0
Group stage,2006-10-18,Chelsea,Barcelona,England,Spain,1,0,,,Stamford Bridge,Chelsea,1-0
Group stage,2006-10-18,Bordeaux,Liverpool,France,England,0,1,,,Stade Chaban-Delmas,Liverpool,0-1
Group stage,2006-10-18,Galatasaray,PSV Eindhoven,Turkey,Netherlands,1,2,,,Atatürk Olimpiyat Stadium,PSV Eindhoven,1-2
Group stage,2006-10-31,Spartak Moscow,Inter,Russia,Italy,0,1,,,Stadion Luzhniki,Inter,0-1
Group stage,2006-10-31,Liverpool,Bordeaux,England,France,3,0,,,Anfield,Liverpool,3-0
Group stage,2006-10-31,Bayern Munich,Sporting CP,Germany,Portugal,0,0,,,Fußball Arena München,,0-0
Group stage,2006-10-31,Shakhtar,Valencia,Ukraine,Spain,2,2,,,RSC Olympiyskiy Stadium,,2-2
Group stage,2006-10-31,Barcelona,Chelsea,Spain,England,2,2,,,Camp Nou,,2-2
Group stage,2006-10-31,Roma,Olympiacos,Italy,Greece,1,1,,,Stadio Olimpico,,1-1
Group stage,2006-10-31,Levski Sofia,Werder Bremen,Bulgaria,Germany,0,3,,,Natsionalen Stadion Vasil Levski,Werder Bremen,0-3
Group stage,2006-10-31,PSV Eindhoven,Galatasaray,Netherlands,Turkey,2,0,,,PSV Stadion,PSV Eindhoven,2-0
Group stage,2006-11-01,Lyon,Dynamo Kyiv,France,Ukraine,1,0,,,Stade de Gerland,Lyon,1-0
Group stage,2006-11-01,AEK Athens,Lille,Greece,France,1,0,,,OAKA Spiros Louis,AEK Athens,1-0
Group stage,2006-11-01,Benfica,Celtic,Portugal,Scotland,3,0,,,Estádio do Sport Lisboa e Benfica,Benfica,3-0
Group stage,2006-11-01,Milan,Anderlecht,Italy,Belgium,4,1,,,Stadio Giuseppe Meazza,Milan,4-1
Group stage,2006-11-01,Real Madrid,Steaua,Spain,Romania,1,0,,,Estadio Santiago Bernabéu,Real Madrid,1-0
Group stage,2006-11-01,FC Copenhagen,Manchester Utd,Denmark,England,1,0,,,FC København Stadium,FC Copenhagen,1-0
Group stage,2006-11-01,Hamburger SV,Porto,Germany,Portugal,1,3,,,Hamburg Arena,Porto,1-3
Group stage,2006-11-01,Arsenal,CSKA Moscow,England,Russia,0,0,,,Arsenal Stadium,,0-0
Group stage,2006-11-21,Benfica,FC Copenhagen,Portugal,Denmark,3,1,,,Estádio do Sport Lisboa e Benfica,Benfica,3-1
Group stage,2006-11-21,CSKA Moscow,Porto,Russia,Portugal,0,2,,,Stadion Lokomotiv,Porto,0-2
Group stage,2006-11-21,Steaua,Dynamo Kyiv,Romania,Ukraine,1,1,,,Stadionul Steaua,,1-1
Group stage,2006-11-21,Lille,Anderlecht,France,Belgium,2,2,,,Stade Félix-Bollaert,,2-2
Group stage,2006-11-21,Real Madrid,Lyon,Spain,France,2,2,,,Estadio Santiago Bernabéu,,2-2
Group stage,2006-11-21,AEK Athens,Milan,Greece,Italy,1,0,,,OAKA Spiros Louis,AEK Athens,1-0
Group stage,2006-11-21,Arsenal,Hamburger SV,England,Germany,3,1,,,Arsenal Stadium,Arsenal,3-1
Group stage,2006-11-21,Celtic,Manchester Utd,Scotland,England,1,0,,,Celtic Park,Celtic,1-0
Group stage,2006-11-22,Levski Sofia,Barcelona,Bulgaria,Spain,0,2,,,Natsionalen Stadion Vasil Levski,Barcelona,0-2
Group stage,2006-11-22,Valencia,Olympiacos,Spain,Greece,2,0,,,Estadi de Mestalla,Valencia,2-0
Group stage,2006-11-22,Bordeaux,Galatasaray,France,Turkey,3,1,,,Stade Chaban-Delmas,Bordeaux,3-1
Group stage,2006-11-22,Werder Bremen,Chelsea,Germany,England,1,0,,,Weserstadion,Werder Bremen,1-0
Group stage,2006-11-22,Spartak Moscow,Bayern Munich,Russia,Germany,2,2,,,Stadion Luzhniki,,2-2
Group stage,2006-11-22,Liverpool,PSV Eindhoven,England,Netherlands,2,0,,,Anfield,Liverpool,2-0
Group stage,2006-11-22,Shakhtar,Roma,Ukraine,Italy,1,0,,,RSC Olympiyskiy Stadium,Shakhtar,1-0
Group stage,2006-11-22,Inter,Sporting CP,Italy,Portugal,1,0,,,Stadio Giuseppe Meazza,Inter,1-0
Group stage,2006-12-05,Galatasaray,Liverpool,Turkey,England,3,2,,,Atatürk Olimpiyat Stadium,Galatasaray,3-2
Group stage,2006-12-05,PSV Eindhoven,Bordeaux,Netherlands,France,1,3,,,PSV Stadion,Bordeaux,1-3
Group stage,2006-12-05,Olympiacos,Shakhtar,Greece,Ukraine,1,1,,,Stadio Georgios Karaiskakis,,1-1
Group stage,2006-12-05,Barcelona,Werder Bremen,Spain,Germany,2,0,,,Camp Nou,Barcelona,2-0
Group stage,2006-12-05,Bayern Munich,Inter,Germany,Italy,1,1,,,Fußball Arena München,,1-1
Group stage,2006-12-05,Sporting CP,Spartak Moscow,Portugal,Russia,1,3,,,José Alvalade,Spartak Moscow,1-3
Group stage,2006-12-05,Roma,Valencia,Italy,Spain,1,0,,,Stadio Olimpico,Roma,1-0
Group stage,2006-12-05,Chelsea,Levski Sofia,England,Bulgaria,2,0,,,Stamford Bridge,Chelsea,2-0
Group stage,2006-12-06,Porto,Arsenal,Portugal,England,0,0,,,Estádio do Dragão,,0-0
Group stage,2006-12-06,Anderlecht,AEK Athens,Belgium,Greece,2,2,,,Constant Vanden Stock Stadium,,2-2
Group stage,2006-12-06,Hamburger SV,CSKA Moscow,Germany,Russia,3,2,,,Hamburg Arena,Hamburger SV,3-2
Group stage,2006-12-06,Dynamo Kyiv,Real Madrid,Ukraine,Spain,2,2,,,NSK Olimpiyskyi,,2-2
Group stage,2006-12-06,Milan,Lille,Italy,France,0,2,,,Stadio Giuseppe Meazza,Lille,0-2
