round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2008-09-16,PSV Eindhoven,Atlético Madrid,Netherlands,Spain,0,3,,,PSV Stadion,Atlético Madrid,0-3
Group stage,2008-09-16,Werder Bremen,Anorthosis,Germany,Cyprus,0,0,,,Weserstadion,,0-0
Group stage,2008-09-16,Marseille,Liverpool,France,England,1,2,,,Stade Vélodrome,Liverpool,1-2
Group stage,2008-09-16,Chelsea,Bordeaux,England,France,4,0,,,Stamford Bridge,Chelsea,4-0
Group stage,2008-09-16,Barcelona,Sporting CP,Spain,Portugal,3,1,,,Camp Nou,Barcelona,3-1
Group stage,2008-09-16,Roma,CFR Cluj,Italy,Romania,1,2,,,Stadio Olimpico,CFR Cluj,1-2
Group stage,2008-09-16,Panathinaikos,Inter,Greece,Italy,0,2,,,OAKA Spiros Louis,Inter,0-2
Group stage,2008-09-16,Basel,Shakhtar,Switzerland,Ukraine,1,2,,,St. Jakob,Shakhtar,1-2
Group stage,2008-09-17,Manchester Utd,Villarreal,England,Spain,0,0,,,Old Trafford,,0-0
Group stage,2008-09-17,Dynamo Kyiv,Arsenal,Ukraine,England,1,1,,,Stadion Dynamo im. Valeriy Lobanovskiy,,1-1
Group stage,2008-09-17,Real Madrid,BATE Borisov,Spain,Belarus,2,0,,,Estadio Santiago Bernabéu,Real Madrid,2-0
Group stage,2008-09-17,Lyon,Fiorentina,France,Italy,2,2,,,Stade de Gerland,,2-2
Group stage,2008-09-17,Celtic,Aalborg,Scotland,Denmark,0,0,,,Celtic Park,,0-0
Group stage,2008-09-17,Steaua,Bayern Munich,Romania,Germany,0,1,,,Stadionul Steaua,Bayern Munich,0-1
Group stage,2008-09-17,Porto,Fenerbahçe,Portugal,Turkey,3,1,,,Estádio do Dragão,Porto,3-1
Group stage,2008-09-17,Juventus,Zenit,Italy,Russia,1,0,,,Stadio Olimpico,Juventus,1-0
Group stage,2008-09-30,Fenerbahçe,Dynamo Kyiv,Turkey,Ukraine,0,0,,,Şükrü Saracoğlu,,0-0
Group stage,2008-09-30,Bayern Munich,Lyon,Germany,France,1,1,,,Fußball Arena München,,1-1
Group stage,2008-09-30,Arsenal,Porto,England,Portugal,4,0,,,Arsenal Stadium,Arsenal,4-0
Group stage,2008-09-30,Zenit,Real Madrid,Russia,Spain,1,2,,,Stadion Petrovski,Real Madrid,1-2
Group stage,2008-09-30,BATE Borisov,Juventus,Belarus,Italy,2,2,,,Dinamo Stadion,,2-2
Group stage,2008-09-30,Fiorentina,Steaua,Italy,Romania,0,0,,,Stadio Artemio Franchi,,0-0
Group stage,2008-09-30,Aalborg,Manchester Utd,Denmark,England,0,3,,,Aalborg Stadion,Manchester Utd,0-3
Group stage,2008-09-30,Villarreal,Celtic,Spain,Scotland,1,0,,,Estadio El Madrigal,Villarreal,1-0
Group stage,2008-10-01,Shakhtar,Barcelona,Ukraine,Spain,1,2,,,RSC Olympiyskiy Stadium,Barcelona,1-2
Group stage,2008-10-01,Anorthosis,Panathinaikos,Cyprus,Greece,3,1,,,GSP Stadium,Anorthosis,3-1
Group stage,2008-10-01,Atlético Madrid,Marseille,Spain,France,2,1,,,Estadio Vicente Calderón,Atlético Madrid,2-1
Group stage,2008-10-01,Liverpool,PSV Eindhoven,England,Netherlands,3,1,,,Anfield,Liverpool,3-1
Group stage,2008-10-01,Sporting CP,Basel,Portugal,Switzerland,2,0,,,José Alvalade,Sporting CP,2-0
Group stage,2008-10-01,CFR Cluj,Chelsea,Romania,England,0,0,,,Stadionul Dr. Constantin Rădulescu,,0-0
Group stage,2008-10-01,Bordeaux,Roma,France,Italy,1,3,,,Stade Chaban-Delmas,Roma,1-3
Group stage,2008-10-01,Inter,Werder Bremen,Italy,Germany,1,1,,,Stadio Giuseppe Meazza,,1-1
Group stage,2008-10-21,Porto,Dynamo Kyiv,Portugal,Ukraine,0,1,,,Estádio do Dragão,Dynamo Kyiv,0-1
Group stage,2008-10-21,Fenerbahçe,Arsenal,Turkey,England,2,5,,,Şükrü Saracoğlu,Arsenal,2-5
Group stage,2008-10-21,Zenit,BATE Borisov,Russia,Belarus,1,1,,,Stadion Petrovski,,1-1
Group stage,2008-10-21,Villarreal,Aalborg,Spain,Denmark,6,3,,,Estadio El Madrigal,Villarreal,6-3
Group stage,2008-10-21,Manchester Utd,Celtic,England,Scotland,3,0,,,Old Trafford,Manchester Utd,3-0
Group stage,2008-10-21,Bayern Munich,Fiorentina,Germany,Italy,3,0,,,Fußball Arena München,Bayern Munich,3-0
Group stage,2008-10-21,Steaua,Lyon,Romania,France,3,5,,,Stadionul Steaua,Lyon,3-5
Group stage,2008-10-21,Juventus,Real Madrid,Italy,Spain,2,1,,,Stadio Olimpico,Juventus,2-1
Group stage,2008-10-22,Chelsea,Roma,England,Italy,1,0,,,Stamford Bridge,Chelsea,1-0
Group stage,2008-10-22,Basel,Barcelona,Switzerland,Spain,0,5,,,St. Jakob,Barcelona,0-5
