round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,1996-09-11,Juventus,Manchester Utd,Italy,England,1,0,,,Delle Alpi,Juventus,1-0
Group stage,1996-09-11,Atlético Madrid,Steaua,Spain,Romania,4,0,,,Estadio Vicente Calderón,Atlético Madrid,4-0
Group stage,1996-09-11,Dortmund,Widzew Łódź,Germany,Poland,2,1,,,BVB Stadion Dortmund,Dortmund,2-1
Group stage,1996-09-11,Rapid Wien,Fenerbahçe,Austria,Turkey,1,1,,,Ernst-Happel-Stadion,,1-1
Group stage,1996-09-11,Grasshopper,Rangers,Switzerland,Scotland,3,0,,,Hardturm,Grasshopper,3-0
Group stage,1996-09-11,Milan,Porto,Italy,Portugal,2,3,,,Stadio Giuseppe Meazza,Porto,2-3
Group stage,1996-09-11,Göteborg,Rosenborg,Sweden,Norway,2,3,,,Ullevi,Rosenborg,2-3
Group stage,1996-09-11,Auxerre,Ajax,France,Netherlands,0,1,,,Stade Abbé-Deschamps,Ajax,0-1
Group stage,1996-09-25,Ajax,Grasshopper,Netherlands,Switzerland,0,1,,,Amsterdam ArenA,Grasshopper,0-1
Group stage,1996-09-25,Rosenborg,Milan,Norway,Italy,1,4,,,Lerkendal Stadion,Milan,1-4
Group stage,1996-09-25,Rangers,Auxerre,Scotland,France,1,2,,,Ibrox Stadium,Auxerre,1-2
Group stage,1996-09-25,Manchester Utd,Rapid Wien,England,Austria,2,0,,,Old Trafford,Manchester Utd,2-0
Group stage,1996-09-25,Steaua,Dortmund,Romania,Germany,0,3,,,Stadionul Steaua,Dortmund,0-3
Group stage,1996-09-25,Widzew Łódź,Atlético Madrid,Poland,Spain,1,4,,,Widzewa,Atlético Madrid,1-4
Group stage,1996-09-25,Porto,Göteborg,Portugal,Sweden,2,1,,,Estádio das Antas,Porto,2-1
Group stage,1996-09-25,Fenerbahçe,Juventus,Turkey,Italy,0,1,,,Şükrü Saracoğlu,Juventus,0-1
Group stage,1996-10-16,Ajax,Rangers,Netherlands,Scotland,4,1,,,Amsterdam ArenA,Ajax,4-1
Group stage,1996-10-16,Rosenborg,Porto,Norway,Portugal,0,1,,,Lerkendal Stadion,Porto,0-1
Group stage,1996-10-16,Rapid Wien,Juventus,Austria,Italy,1,1,,,Ernst-Happel-Stadion,,1-1
