round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2021-09-14,Young Boys,Manchester Utd,Switzerland,England,2,1,,,Wankdorfstadion,Young Boys,2-1
Group stage,2021-09-14,Sevilla,RB Salzburg,Spain,Austria,1,1,,,Estadio Ramón Sánchez Pizjuán,,1-1
Group stage,2021-09-14,Chelsea,Zenit,England,Russia,1,0,,,Stamford Bridge,Chelsea,1-0
Group stage,2021-09-14,Villarreal,Atalanta,Spain,Italy,2,2,,,Estadio de la Cerámica,,2-2
Group stage,2021-09-14,Lille,Wolfsburg,France,Germany,0,0,,,Stade Pierre-Mauroy,,0-0
Group stage,2021-09-14,Barcelona,Bayern Munich,Spain,Germany,0,3,,,Camp Nou,Bayern Munich,0-3
Group stage,2021-09-14,Malmö,Juventus,Sweden,Italy,0,3,,,Eleda Stadion,Juventus,0-3
Group stage,2021-09-14,Dynamo Kyiv,Benfica,Ukraine,Portugal,0,0,,,NSK Olimpijs'kyj,,0-0
Group stage,2021-09-15,Beşiktaş,Dortmund,Turkey,Germany,1,2,,,Vodafone Arena,Dortmund,1-2
Group stage,2021-09-15,Sheriff Tiraspol,Shakhtar,Moldova,Ukraine,2,0,,,Bolshaya Sportivnaya Arena,Sheriff Tiraspol,2-0
Group stage,2021-09-15,Liverpool,Milan,England,Italy,3,2,,,Anfield,Liverpool,3-2
Group stage,2021-09-15,Sporting CP,Ajax,Portugal,Netherlands,1,5,,,Estádio José Alvalade,Ajax,1-5
Group stage,2021-09-15,Manchester City,RB Leipzig,England,Germany,6,3,,,Etihad Stadium,Manchester City,6-3
Group stage,2021-09-15,Inter,Real Madrid,Italy,Spain,0,1,,,Stadio Giuseppe Meazza,Real Madrid,0-1
Group stage,2021-09-15,Club Brugge,Paris S-G,Belgium,France,1,1,,,Jan Breydelstadion,,1-1
Group stage,2021-09-15,Atlético Madrid,Porto,Spain,Portugal,0,0,,,Estadio Wanda Metropolitano,,0-0
Group stage,2021-09-28,Ajax,Beşiktaş,Netherlands,Turkey,2,0,,,Johan Cruyff ArenA,Ajax,2-0
Group stage,2021-09-28,Shakhtar,Inter,Ukraine,Italy,0,0,,,NSK Olimpijs'kyj,,0-0
Group stage,2021-09-28,Porto,Liverpool,Portugal,England,1,5,,,Estádio Do Dragão,Liverpool,1-5
Group stage,2021-09-28,Dortmund,Sporting CP,Germany,Portugal,1,0,,,Signal Iduna Park,Dortmund,1-0
Group stage,2021-09-28,RB Leipzig,Club Brugge,Germany,Belgium,1,2,,,Red Bull Arena,Club Brugge,1-2
Group stage,2021-09-28,Real Madrid,Sheriff Tiraspol,Spain,Moldova,1,2,,,Estadio Santiago Bernabéu,Sheriff Tiraspol,1-2
Group stage,2021-09-28,Paris S-G,Manchester City,France,England,2,0,,,Parc des Princes,Paris S-G,2-0
Group stage,2021-09-28,Milan,Atlético Madrid,Italy,Spain,1,2,,,Stadio Giuseppe Meazza,Atlético Madrid,1-2
Group stage,2021-09-29,Atalanta,Young Boys,Italy,Switzerland,1,0,,,Stadio Atleti Azzurri d'Italia,Atalanta,1-0
Group stage,2021-09-29,Zenit,Malmö,Russia,Sweden,4,0,,,Gazprom Arena,Zenit,4-0
Group stage,2021-09-29,Benfica,Barcelona,Portugal,Spain,3,0,,,Estádio do Sport Lisboa e Benfica,Benfica,3-0
Group stage,2021-09-29,Manchester Utd,Villarreal,England,Spain,2,1,,,Old Trafford,Manchester Utd,2-1
Group stage,2021-09-29,Bayern Munich,Dynamo Kyiv,Germany,Ukraine,5,0,,,Allianz Arena,Bayern Munich,5-0
Group stage,2021-09-29,RB Salzburg,Lille,Austria,France,2,1,,,Red Bull Arena,RB Salzburg,2-1
Group stage,2021-09-29,Juventus,Chelsea,Italy,England,1,0,,,Allianz Stadium,Juventus,1-0
Group stage,2021-09-29,Wolfsburg,Sevilla,Germany,Spain,1,1,,,Volkswagen Arena,,1-1
Group stage,2021-10-19,Club Brugge,Manchester City,Belgium,England,1,5,,,Jan Breydelstadion,Manchester City,1-5
Group stage,2021-10-19,Beşiktaş,Sporting CP,Turkey,Portugal,1,4,,,Vodafone Arena,Sporting CP,1-4
Group stage,2021-10-19,Porto,Milan,Portugal,Italy,1,0,,,Estádio Do Dragão,Porto,1-0
Group stage,2021-10-19,Inter,Sheriff Tiraspol,Italy,Moldova,3,1,,,Stadio Giuseppe Meazza,Inter,3-1
Group stage,2021-10-19,Paris S-G,RB Leipzig,France,Germany,3,2,,,Parc des Princes,Paris S-G,3-2
Group stage,2021-10-19,Ajax,Dortmund,Netherlands,Germany,4,0,,,Johan Cruyff ArenA,Ajax,4-0
Group stage,2021-10-19,Atlético Madrid,Liverpool,Spain,England,2,3,,,Estadio Wanda Metropolitano,Liverpool,2-3
Group stage,2021-10-19,Shakhtar,Real Madrid,Ukraine,Spain,0,5,,,Oblasny SportKomplex Metalist,Real Madrid,0-5
Group stage,2021-10-20,Barcelona,Dynamo Kyiv,Spain,Ukraine,1,0,,,Camp Nou,Barcelona,1-0
Group stage,2021-10-20,RB Salzburg,Wolfsburg,Austria,Germany,3,1,,,Red Bull Arena,RB Salzburg,3-1
Group stage,2021-10-20,Manchester Utd,Atalanta,England,Italy,3,2,,,Old Trafford,Manchester Utd,3-2
Group stage,2021-10-20,Benfica,Bayern Munich,Portugal,Germany,0,4,,,Estádio do Sport Lisboa e Benfica,Bayern Munich,0-4
Group stage,2021-10-20,Chelsea,Malmö,England,Sweden,4,0,,,Stamford Bridge,Chelsea,4-0
Group stage,2021-10-20,Young Boys,Villarreal,Switzerland,Spain,1,4,,,Wankdorfstadion,Villarreal,1-4
Group stage,2021-10-20,Lille,Sevilla,France,Spain,0,0,,,Stade Pierre-Mauroy,,0-0
Group stage,2021-10-20,Zenit,Juventus,Russia,Italy,0,1,,,Gazprom Arena,Juventus,0-1
Group stage,2021-11-02,Wolfsburg,RB Salzburg,Germany,Austria,2,1,,,Volkswagen Arena,Wolfsburg,2-1
Group stage,2021-11-02,Malmö,Chelsea,Sweden,England,0,1,,,Eleda Stadion,Chelsea,0-1
