round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Quarter-finals,2011-04-05,Inter,Schalke 04,Italy,Germany,2,5,,,Stadio Giuseppe Meazza,Schalke 04,2-5
Quarter-finals,2011-04-05,Real Madrid,Tottenham,Spain,England,4,0,,,Estadio Santiago Bernabéu,Real Madrid,4-0
Quarter-finals,2011-04-06,Chelsea,Manchester Utd,England,England,0,1,,,Stamford Bridge,Manchester Utd,0-1
Quarter-finals,2011-04-06,Barcelona,Shakhtar,Spain,Ukraine,5,1,,,Camp Nou,Barcelona,5-1
Quarter-finals,2011-04-12,Shakhtar,Barcelona,Ukraine,Spain,0,1,,,Donbass Arena,Barcelona,0-1
Quarter-finals,2011-04-12,Manchester Utd,Chelsea,England,England,2,1,,,Old Trafford,Manchester Utd,2-1
Quarter-finals,2011-04-13,Tottenham,Real Madrid,England,Spain,0,1,,,White Hart Lane,Real Madrid,0-1
Quarter-finals,2011-04-13,Schalke 04,Inter,Germany,Italy,2,1,,,Arena AufSchalke,Schalke 04,2-1
Semi-finals,2011-04-26,Schalke 04,Manchester Utd,Germany,England,0,2,,,Arena AufSchalke,Manchester Utd,0-2
Semi-finals,2011-04-27,Real Madrid,Barcelona,Spain,Spain,0,2,,,Estadio Santiago Bernabéu,Barcelona,0-2
Semi-finals,2011-05-03,Barcelona,Real Madrid,Spain,Spain,1,1,,,Camp Nou,,1-1
Semi-finals,2011-05-04,Manchester Utd,Schalke 04,England,Germany,4,1,,,Old Trafford,Manchester Utd,4-1
Final,2011-05-28,Barcelona,Manchester Utd,Spain,England,3,1,,,Wembley Stadium (Neutral Site),Barcelona,3-1
