round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2023-09-19,Young Boys,RB Leipzig,Switzerland,Germany,1,3,,,Stadion Wankdorf,RB Leipzig,1-3
Group stage,2023-09-19,Milan,Newcastle Utd,Italy,England,0,0,,,Stadio Giuseppe Meazza,,0-0
Group stage,2023-09-19,Manchester City,Red Star,England,Serbia,3,1,,,Etihad Stadium,Manchester City,3-1
Group stage,2023-09-19,Barcelona,Antwerp,Spain,Belgium,5,0,,,Estadi Olímpic Lluís Companys,Barcelona,5-0
Group stage,2023-09-19,Paris S-G,Dortmund,France,Germany,2,0,,,Parc des Princes,Paris S-G,2-0
Group stage,2023-09-19,Lazio,Atlético Madrid,Italy,Spain,1,1,,,Stadio Olimpico,,1-1
Group stage,2023-09-19,Feyenoord,Celtic,Netherlands,Scotland,2,0,,,Stadion Feijenoord,Feyenoord,2-0
Group stage,2023-09-19,Shakhtar,Porto,Ukraine,Portugal,1,3,,,Volksparkstadion,Porto,1-3
Group stage,2023-09-20,Real Madrid,Union Berlin,Spain,Germany,1,0,,,Estadio Santiago Bernabéu,Real Madrid,1-0
Group stage,2023-09-20,Galatasaray,FC Copenhagen,Turkey,Denmark,2,2,,,RAMS Park,,2-2
Group stage,2023-09-20,Benfica,RB Salzburg,Portugal,Austria,0,2,,,Estádio do Sport Lisboa e Benfica,RB Salzburg,0-2
Group stage,2023-09-20,Braga,Napoli,Portugal,Italy,1,2,,,Estádio Municipal de Braga,Napoli,1-2
Group stage,2023-09-20,Arsenal,PSV Eindhoven,England,Netherlands,4,0,,,Emirates Stadium,Arsenal,4-0
Group stage,2023-09-20,Real Sociedad,Inter,Spain,Italy,1,1,,,Reale Arena,,1-1
Group stage,2023-09-20,Sevilla,Lens,Spain,France,1,1,,,Estadio Ramón Sánchez Pizjuán,,1-1
Group stage,2023-09-20,Bayern Munich,Manchester Utd,Germany,England,4,3,,,Trainingsgelände Allianz Arena,Bayern Munich,4-3
Group stage,2023-10-03,RB Salzburg,Real Sociedad,Austria,Spain,0,2,,,Red Bull Arena,Real Sociedad,0-2
Group stage,2023-10-03,Union Berlin,Braga,Germany,Portugal,2,3,,,Olympiastadion Berlin,Braga,2-3
Group stage,2023-10-03,Manchester Utd,Galatasaray,England,Turkey,2,3,,,Old Trafford,Galatasaray,2-3
Group stage,2023-10-03,FC Copenhagen,Bayern Munich,Denmark,Germany,1,2,,,Parken,Bayern Munich,1-2
Group stage,2023-10-03,PSV Eindhoven,Sevilla,Netherlands,Spain,2,2,,,Philips Stadion,,2-2
Group stage,2023-10-03,Inter,Benfica,Italy,Portugal,1,0,,,Stadio Giuseppe Meazza,Inter,1-0
Group stage,2023-10-03,Napoli,Real Madrid,Italy,Spain,2,3,,,Stadio Diego Armando Maradona,Real Madrid,2-3
Group stage,2023-10-03,Lens,Arsenal,France,England,2,1,,,Stade Bollaert-Delelis,Lens,2-1
Group stage,2023-10-04,Atlético Madrid,Feyenoord,Spain,Netherlands,3,2,,,Estadio Cívitas Metropolitano,Atlético Madrid,3-2
Group stage,2023-10-04,Antwerp,Shakhtar,Belgium,Ukraine,2,3,,,Bosuilstadion,Shakhtar,2-3
Group stage,2023-10-04,Porto,Barcelona,Portugal,Spain,0,1,,,Estádio Do Dragão,Barcelona,0-1
Group stage,2023-10-04,Newcastle Utd,Paris S-G,England,France,4,1,,,St James' Park,Newcastle Utd,4-1
Group stage,2023-10-04,Celtic,Lazio,Scotland,Italy,1,2,,,Celtic Park,Lazio,1-2
Group stage,2023-10-04,Dortmund,Milan,Germany,Italy,0,0,,,Signal Iduna Park,,0-0
Group stage,2023-10-04,Red Star,Young Boys,Serbia,Switzerland,2,2,,,Stadion Rajko Mitić,,2-2
Group stage,2023-10-04,RB Leipzig,Manchester City,Germany,England,1,3,,,Red Bull Arena,Manchester City,1-3
Group stage,2023-10-24,Inter,RB Salzburg,Italy,Austria,2,1,,,Stadio Giuseppe Meazza,Inter,2-1
Group stage,2023-10-24,Galatasaray,Bayern Munich,Turkey,Germany,1,3,,,RAMS Park,Bayern Munich,1-3
Group stage,2023-10-24,Braga,Real Madrid,Portugal,Spain,1,2,,,Estádio Municipal de Braga,Real Madrid,1-2
Group stage,2023-10-24,Manchester Utd,FC Copenhagen,England,Denmark,1,0,,,Old Trafford,Manchester Utd,1-0
Group stage,2023-10-24,Benfica,Real Sociedad,Portugal,Spain,0,1,,,Estádio do Sport Lisboa e Benfica,Real Sociedad,0-1
Group stage,2023-10-24,Lens,PSV Eindhoven,France,Netherlands,1,1,,,Stade Bollaert-Delelis,,1-1
Group stage,2023-10-24,Union Berlin,Napoli,Germany,Italy,0,1,,,Olympiastadion Berlin,Napoli,0-1
Group stage,2023-10-24,Sevilla,Arsenal,Spain,England,1,2,,,Estadio Ramón Sánchez Pizjuán,Arsenal,1-2
Group stage,2023-10-25,Feyenoord,Lazio,Netherlands,Italy,3,1,,,Stadion Feijenoord,Feyenoord,3-1
Group stage,2023-10-25,Barcelona,Shakhtar,Spain,Ukraine,2,1,,,Estadi Olímpic Lluís Companys,Barcelona,2-1
Group stage,2023-10-25,Celtic,Atlético Madrid,Scotland,Spain,2,2,,,Celtic Park,,2-2
Group stage,2023-10-25,Newcastle Utd,Dortmund,England,Germany,0,1,,,St James' Park,Dortmund,0-1
Group stage,2023-10-25,Antwerp,Porto,Belgium,Portugal,1,4,,,Bosuilstadion,Porto,1-4
Group stage,2023-10-25,Young Boys,Manchester City,Switzerland,England,1,3,,,Stadion Wankdorf,Manchester City,1-3
Group stage,2023-10-25,RB Leipzig,Red Star,Germany,Serbia,3,1,,,Red Bull Arena,RB Leipzig,3-1
Group stage,2023-10-25,Paris S-G,Milan,France,Italy,3,0,,,Parc des Princes,Paris S-G,3-0
Group stage,2023-11-07,Dortmund,Newcastle Utd,Germany,England,2,0,,,Signal Iduna Park,Dortmund,2-0
Group stage,2023-11-07,Shakhtar,Barcelona,Ukraine,Spain,1,0,,,Volksparkstadion,Shakhtar,1-0
Group stage,2023-11-07,Porto,Antwerp,Portugal,Belgium,2,0,,,Estádio Do Dragão,Porto,2-0
Group stage,2023-11-07,Manchester City,Young Boys,England,Switzerland,3,0,,,Etihad Stadium,Manchester City,3-0
Group stage,2023-11-07,Red Star,RB Leipzig,Serbia,Germany,1,2,,,Stadion Rajko Mitić,RB Leipzig,1-2
Group stage,2023-11-07,Lazio,Feyenoord,Italy,Netherlands,1,0,,,Stadio Olimpico,Lazio,1-0
Group stage,2023-11-07,Atlético Madrid,Celtic,Spain,Scotland,6,0,,,Estadio Cívitas Metropolitano,Atlético Madrid,6-0
Group stage,2023-11-07,Milan,Paris S-G,Italy,France,2,1,,,Stadio Giuseppe Meazza,Milan,2-1
Group stage,2023-11-08,Napoli,Union Berlin,Italy,Germany,1,1,,,Stadio Diego Armando Maradona,,1-1
Group stage,2023-11-08,Real Sociedad,Benfica,Spain,Portugal,3,1,,,Reale Arena,Real Sociedad,3-1
Group stage,2023-11-08,Arsenal,Sevilla,England,Spain,2,0,,,Arsenal Stadium,Arsenal,2-0
Group stage,2023-11-08,Bayern Munich,Galatasaray,Germany,Turkey,2,1,,,Allianz Arena,Bayern Munich,2-1
Group stage,2023-11-08,Real Madrid,Braga,Spain,Portugal,3,0,,,Estadio Santiago Bernabéu,Real Madrid,3-0
Group stage,2023-11-08,FC Copenhagen,Manchester Utd,Denmark,England,4,3,,,Parken,FC Copenhagen,4-3
Group stage,2023-11-08,RB Salzburg,Inter,Austria,Italy,0,1,,,Red Bull Arena,Inter,0-1
Group stage,2023-11-08,PSV Eindhoven,Lens,Netherlands,France,1,0,,,Philips Stadion,PSV Eindhoven,1-0
Group stage,2023-11-28,Lazio,Celtic,Italy,Scotland,2,0,,,Stadio Olimpico,Lazio,2-0
Group stage,2023-11-28,Shakhtar,Antwerp,Ukraine,Belgium,1,0,,,Volksparkstadion (1953),Shakhtar,1-0
Group stage,2023-11-28,Manchester City,RB Leipzig,England,Germany,3,2,,,Etihad Stadium,Manchester City,3-2
Group stage,2023-11-28,Young Boys,Red Star,Switzerland,Serbia,2,0,,,Stadion Wankdorf,Young Boys,2-0
Group stage,2023-11-28,Paris S-G,Newcastle Utd,France,England,1,1,,,Parc des Princes,,1-1
Group stage,2023-11-28,Barcelona,Porto,Spain,Portugal,2,1,,,Estadi Olímpic Lluís Companys,Barcelona,2-1
Group stage,2023-11-28,Milan,Dortmund,Italy,Germany,1,3,,,Stadio Giuseppe Meazza,Dortmund,1-3
Group stage,2023-11-28,Feyenoord,Atlético Madrid,Netherlands,Spain,1,3,,,Stadion Feijenoord,Atlético Madrid,1-3
Group stage,2023-11-29,Sevilla,PSV Eindhoven,Spain,Netherlands,2,3,,,Estadio Ramón Sánchez Pizjuán,PSV Eindhoven,2-3
Group stage,2023-11-29,Benfica,Inter,Portugal,Italy,3,3,,,Estádio do Sport Lisboa e Benfica,,3-3
Group stage,2023-11-29,Arsenal,Lens,England,France,6,0,,,Emirates Stadium,Arsenal,6-0
Group stage,2023-11-29,Braga,Union Berlin,Portugal,Germany,1,1,,,Estádio Municipal de Braga,,1-1
Group stage,2023-11-29,Galatasaray,Manchester Utd,Turkey,England,3,3,,,RAMS Park,,3-3
Group stage,2023-11-29,Real Madrid,Napoli,Spain,Italy,4,2,,,Estadio Santiago Bernabéu,Real Madrid,4-2
Group stage,2023-11-29,Bayern Munich,FC Copenhagen,Germany,Denmark,0,0,,,Allianz Arena,,0-0
Group stage,2023-11-29,Real Sociedad,RB Salzburg,Spain,Austria,0,0,,,Reale Arena,,0-0
Group stage,2023-12-12,Lens,Sevilla,France,Spain,2,1,,,Stade Bollaert-Delelis,Lens,2-1
Group stage,2023-12-12,PSV Eindhoven,Arsenal,Netherlands,England,1,1,,,Philips Stadion,,1-1
Group stage,2023-12-12,Manchester Utd,Bayern Munich,England,Germany,0,1,,,Old Trafford,Bayern Munich,0-1
Group stage,2023-12-12,RB Salzburg,Benfica,Austria,Portugal,1,3,,,Red Bull Arena,Benfica,1-3
Group stage,2023-12-12,Union Berlin,Real Madrid,Germany,Spain,2,3,,,Olympiastadion Berlin,Real Madrid,2-3
Group stage,2023-12-12,Napoli,Braga,Italy,Portugal,2,0,,,Stadio Diego Armando Maradona,Napoli,2-0
Group stage,2023-12-12,FC Copenhagen,Galatasaray,Denmark,Turkey,1,0,,,Fælledparken Kunst,FC Copenhagen,1-0
Group stage,2023-12-12,Inter,Real Sociedad,Italy,Spain,0,0,,,Stadio Giuseppe Meazza,,0-0
Group stage,2023-12-13,Red Star,Manchester City,Serbia,England,2,3,,,Stadion Rajko Mitić,Manchester City,2-3
Group stage,2023-12-13,RB Leipzig,Young Boys,Germany,Switzerland,2,1,,,Red Bull Arena,RB Leipzig,2-1
Group stage,2023-12-13,Porto,Shakhtar,Portugal,Ukraine,5,3,,,Estádio Do Dragão,Porto,5-3
Group stage,2023-12-13,Celtic,Feyenoord,Scotland,Netherlands,2,1,,,Celtic Park,Celtic,2-1
Group stage,2023-12-13,Newcastle Utd,Milan,England,Italy,1,2,,,St James' Park,Milan,1-2
Group stage,2023-12-13,Antwerp,Barcelona,Belgium,Spain,3,2,,,Bosuilstadion,Antwerp,3-2
