round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
First round,1991-09-17,Kaiserslautern,Etar,Germany,Bulgaria,2,0,,,Fritz-Walter,Kaiserslautern,2-0
First round,1991-09-17,Red Star,Portadown FC,Serbia,Northern Ireland,4,0,,,Stadion Rajko Mitić,Red Star,4-0
First round,1991-09-18,Union Luxembourg,Marseille,Luxembourg,France,0,5,,,Stade Josy Barthel,Marseille,0-5
First round,1991-09-18,Brøndby,Zagłębie Lubin,Denmark,Poland,3,0,,,Brøndby,Brøndby,3-0
First round,1991-09-18,Barcelona,Hansa Rostock,Spain,Germany,3,0,,,Camp Nou,Barcelona,3-0
First round,1991-09-18,Anderlecht,Grasshopper,Belgium,Switzerland,1,1,,,Constant Vanden Stock Stadium,,1-1
First round,1991-09-18,Ħamrun Spartans FC,Benfica,Malta,Portugal,0,6,,,National Stadium,Benfica,0-6
First round,1991-09-18,HJK Helsinki,Dynamo Kyiv,Finland,Ukraine,0,1,,,Helsingin Olympiastadion,Dynamo Kyiv,0-1
First round,1991-09-18,Fram,Panathinaikos,Iceland,Greece,2,2,,,Laugardalsvöllur,,2-2
First round,1991-09-18,Sparta Prague,Rangers,Czech Republic,Scotland,1,0,,,Generali Arena,Sparta Prague,1-0
First round,1991-09-18,Göteborg,Flamurtari Vlorë,Sweden,Albania,0,0,,,Ullevi,,0-0
First round,1991-09-18,Arsenal,Austria Wien,England,Austria,6,1,,,Highbury,Arsenal,6-1
First round,1991-09-18,Honvéd,Dundalk FC,Hungary,Republic of Ireland,1,1,,,József Bozsik,,1-1
First round,1991-09-18,FC U Craiova,Apollon Limassol,Romania,Cyprus,2,0,,,Ion Oblemenco,FC U Craiova,2-0
First round,1991-09-18,Sampdoria,Rosenborg,Italy,Norway,5,0,,,Stadio Luigi Ferraris,Sampdoria,5-0
