round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2021-09-14,Young Boys,Manchester Utd,Switzerland,England,2,1,,,Wankdorfstadion,Young Boys,2-1,46.9631042,7.4648638,"Wankdorfstadion, Switzerland"
Group stage,2021-09-14,Sevilla,RB Salzburg,Spain,Austria,1,1,,,Estadio Ramón Sánchez Pizjuán,,1-1,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2021-09-14,Chelsea,Zenit,England,Russia,1,0,,,Stamford Bridge,Chelsea,1-0,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2021-09-14,Villarreal,Atalanta,Spain,Italy,2,2,,,Estadio de la Cerámica,,2-2,39.9442083,-0.1034046,"Estadio de la Cerámica, Spain"
Group stage,2021-09-14,Lille,Wolfsburg,France,Germany,0,0,,,Stade Pierre-Mauroy,,0-0,50.6119044,3.130508,"Stade Pierre-Mauroy, France"
Group stage,2021-09-14,Barcelona,Bayern Munich,Spain,Germany,0,3,,,Camp Nou,Bayern Munich,0-3,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2021-09-14,Malmö,Juventus,Sweden,Italy,0,3,,,Eleda Stadion,Juventus,0-3,55.5837345,12.987735,"Eleda Stadion, Sweden"
Group stage,2021-09-14,Dynamo Kyiv,Benfica,Ukraine,Portugal,0,0,,,NSK Olimpijs'kyj,,0-0,49.4871968,31.2718321,Ukraine
Group stage,2021-09-15,Beşiktaş,Dortmund,Turkey,Germany,1,2,,,Vodafone Arena,Dortmund,1-2,39.294076,35.2316631,Turkey
Group stage,2021-09-15,Sheriff Tiraspol,Shakhtar,Moldova,Ukraine,2,0,,,Bolshaya Sportivnaya Arena,Sheriff Tiraspol,2-0,47.2879608,28.5670941,Moldova
Group stage,2021-09-15,Liverpool,Milan,England,Italy,3,2,,,Anfield,Liverpool,3-2,53.4309164,-2.9609314,"Anfield, England"
Group stage,2021-09-15,Sporting CP,Ajax,Portugal,Netherlands,1,5,,,Estádio José Alvalade,Ajax,1-5,38.7612164,-9.1607831,"Estádio José Alvalade, Portugal"
Group stage,2021-09-15,Manchester City,RB Leipzig,England,Germany,6,3,,,Etihad Stadium,Manchester City,6-3,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2021-09-15,Inter,Real Madrid,Italy,Spain,0,1,,,Stadio Giuseppe Meazza,Real Madrid,0-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2021-09-15,Club Brugge,Paris S-G,Belgium,France,1,1,,,Jan Breydelstadion,,1-1,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2021-09-15,Atlético Madrid,Porto,Spain,Portugal,0,0,,,Estadio Wanda Metropolitano,,0-0,39.3260685,-4.8379791,Spain
Group stage,2021-09-28,Ajax,Beşiktaş,Netherlands,Turkey,2,0,,,Johan Cruyff ArenA,Ajax,2-0,52.2434979,5.6343227,Netherlands
Group stage,2021-09-28,Shakhtar,Inter,Ukraine,Italy,0,0,,,NSK Olimpijs'kyj,,0-0,49.4871968,31.2718321,Ukraine
Group stage,2021-09-28,Porto,Liverpool,Portugal,England,1,5,,,Estádio Do Dragão,Liverpool,1-5,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2021-09-28,Dortmund,Sporting CP,Germany,Portugal,1,0,,,Signal Iduna Park,Dortmund,1-0,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2021-09-28,RB Leipzig,Club Brugge,Germany,Belgium,1,2,,,Red Bull Arena,Club Brugge,1-2,51.3457079,12.3482361,"Red Bull Arena, Germany"
Group stage,2021-09-28,Real Madrid,Sheriff Tiraspol,Spain,Moldova,1,2,,,Estadio Santiago Bernabéu,Sheriff Tiraspol,1-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2021-09-28,Paris S-G,Manchester City,France,England,2,0,,,Parc des Princes,Paris S-G,2-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2021-09-28,Milan,Atlético Madrid,Italy,Spain,1,2,,,Stadio Giuseppe Meazza,Atlético Madrid,1-2,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2021-09-29,Atalanta,Young Boys,Italy,Switzerland,1,0,,,Stadio Atleti Azzurri d'Italia,Atalanta,1-0,45.6226887,13.7926383,"Stadio Atleti Azzurri d'Italia, Italy"
Group stage,2021-09-29,Zenit,Malmö,Russia,Sweden,4,0,,,Gazprom Arena,Zenit,4-0,59.9723766,30.2210608,"Gazprom Arena, Russia"
Group stage,2021-09-29,Benfica,Barcelona,Portugal,Spain,3,0,,,Estádio do Sport Lisboa e Benfica,Benfica,3-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2021-09-29,Manchester Utd,Villarreal,England,Spain,2,1,,,Old Trafford,Manchester Utd,2-1,53.4631095,-2.2913865,"Old Trafford, England"
Group stage,2021-09-29,Bayern Munich,Dynamo Kyiv,Germany,Ukraine,5,0,,,Allianz Arena,Bayern Munich,5-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2021-09-29,RB Salzburg,Lille,Austria,France,2,1,,,Red Bull Arena,RB Salzburg,2-1,47.8163956,12.9982439,"Red Bull Arena, Austria"
