round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2014-09-16,Liverpool,Ludogorets,England,Bulgaria,2,1,,,Anfield,Liverpool,2-1,53.4309164,-2.9609314,"Anfield, England"
Group stage,2014-09-16,Benfica,Zenit,Portugal,Russia,0,2,,,Estádio do Sport Lisboa e Benfica,Zenit,0-2,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2014-09-16,Monaco,Leverkusen,France,Germany,1,0,,,Stade Louis II,Monaco,1-0,46.603354,1.8883335,France
Group stage,2014-09-16,Dortmund,Arsenal,Germany,England,2,0,,,Signal Iduna Park,Dortmund,2-0,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2014-09-16,Real Madrid,Basel,Spain,Switzerland,5,1,,,Estadio Santiago Bernabéu,Real Madrid,5-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2014-09-16,Juventus,Malmö,Italy,Sweden,2,0,,,Allianz Stadium,Juventus,2-0,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2014-09-16,Olympiacos,Atlético Madrid,Greece,Spain,3,2,,,Stadio Georgios Karaiskáki,Olympiacos,3-2,38.9953683,21.9877132,Greece
Group stage,2014-09-16,Galatasaray,Anderlecht,Turkey,Belgium,1,1,,,Türk Telekom Arena,,1-1,39.294076,35.2316631,Turkey
Group stage,2014-09-17,Chelsea,Schalke 04,England,Germany,1,1,,,Stamford Bridge,,1-1,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2014-09-17,Porto,BATE Borisov,Portugal,Belarus,6,0,,,Estádio Do Dragão,Porto,6-0,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2014-09-17,Athletic Club,Shakhtar,Spain,Ukraine,0,0,,,San Mamés,,0-0,43.264204,-2.9493915,"San Mamés, Spain"
Group stage,2014-09-17,Barcelona,APOEL FC,Spain,Cyprus,1,0,,,Camp Nou,Barcelona,1-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2014-09-17,Bayern Munich,Manchester City,Germany,England,1,0,,,Allianz Arena,Bayern Munich,1-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2014-09-17,Roma,CSKA Moscow,Italy,Russia,5,1,,,Stadio Olimpico,Roma,5-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Group stage,2014-09-17,NK Maribor,Sporting CP,Slovenia,Portugal,1,1,,,Ljudski vrt,,1-1,46.427748,15.8758298,"Ljudski vrt, Slovenia"
Group stage,2014-09-17,Ajax,Paris S-G,Netherlands,France,1,1,,,Johan Cruyff ArenA,,1-1,52.2434979,5.6343227,Netherlands
Group stage,2014-09-30,Manchester City,Roma,England,Italy,1,1,,,Etihad Stadium,,1-1,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2014-09-30,Sporting CP,Chelsea,Portugal,England,0,1,,,Estádio José Alvalade,Chelsea,0-1,38.7612164,-9.1607831,"Estádio José Alvalade, Portugal"
Group stage,2014-09-30,CSKA Moscow,Bayern Munich,Russia,Germany,0,1,,,RZD Arena,Bayern Munich,0-1,55.8035807,37.7412162,"RZD Arena, Russia"
Group stage,2014-09-30,Paris S-G,Barcelona,France,Spain,3,2,,,Parc des Princes,Paris S-G,3-2,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2014-09-30,Schalke 04,NK Maribor,Germany,Slovenia,1,1,,,Veltins-Arena,,1-1,51.5545938,7.0676001,"Veltins-Arena, Germany"
Group stage,2014-09-30,APOEL FC,Ajax,Cyprus,Netherlands,1,1,,,Neo GSP,,1-1,34.9174159,32.8899027,Cyprus
Group stage,2014-09-30,Shakhtar,Porto,Ukraine,Portugal,2,2,,,L'viv Arena,,2-2,49.4871968,31.2718321,Ukraine
Group stage,2014-09-30,BATE Borisov,Athletic Club,Belarus,Spain,2,1,,,Borisov Arena,BATE Borisov,2-1,54.1928313,28.4767187,"Borisov Arena, Belarus"
Group stage,2014-10-01,Arsenal,Galatasaray,England,Turkey,4,1,,,Emirates Stadium,Arsenal,4-1,51.5550404,-0.1083997,"Emirates Stadium, England"
Group stage,2014-10-01,Zenit,Monaco,Russia,France,0,0,,,Stadion Petrovskij,,0-0,59.9519439,30.286251,"Stadion Petrovskij, Russia"
Group stage,2014-10-01,Basel,Liverpool,Switzerland,England,1,0,,,St. Jakob-Park,Basel,1-0,47.5416464,7.6201249,"St. Jakob-Park, Switzerland"
Group stage,2014-10-01,Anderlecht,Dortmund,Belgium,Germany,0,3,,,Lotto Park,Dortmund,0-3,50.8340203,4.2978547,"Lotto Park, Belgium"
Group stage,2014-10-01,Leverkusen,Benfica,Germany,Portugal,3,1,,,BayArena,Leverkusen,3-1,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2014-10-01,Malmö,Olympiacos,Sweden,Greece,2,0,,,Swedbank Stadion,Malmö,2-0,55.5837345,12.987735,"Swedbank Stadion, Sweden"
Group stage,2014-10-01,Atlético Madrid,Juventus,Spain,Italy,1,0,,,Estadio Vicente Calderón,Atlético Madrid,1-0,39.3260685,-4.8379791,Spain
Group stage,2014-10-01,Ludogorets,Real Madrid,Bulgaria,Spain,1,2,,,Stadion Vasil Levski,Real Madrid,1-2,42.6875707,23.3352431,"Stadion Vasil Levski, Bulgaria"
