round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
First round,1991-09-17,Kaiserslautern,Etar,Germany,Bulgaria,2,0,,,Fritz-Walter,Kaiserslautern,2-0,49.4948288,7.9240823,"Fritz-Walter, Germany"
First round,1991-09-17,Red Star,Portadown FC,Serbia,Northern Ireland,4,0,,,Stadion Rajko Mitić,Red Star,4-0,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
First round,1991-09-18,Union Luxembourg,Marseille,Luxembourg,France,0,5,,,Stade Josy Barthel,Marseille,0-5,49.6155569,6.1097568,"Stade Josy Barthel, Luxembourg"
First round,1991-09-18,Brøndby,Zagłębie Lubin,Denmark,Poland,3,0,,,Brøndby,Brøndby,3-0,55.644111,12.4217135,"Brøndby, Denmark"
First round,1991-09-18,Barcelona,Hansa Rostock,Spain,Germany,3,0,,,Camp Nou,Barcelona,3-0,41.3808046,2.1158872,"Camp Nou, Spain"
First round,1991-09-18,Anderlecht,Grasshopper,Belgium,Switzerland,1,1,,,Constant Vanden Stock Stadium,,1-1,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
First round,1991-09-18,Ħamrun Spartans FC,Benfica,Malta,Portugal,0,6,,,National Stadium,Benfica,0-6,35.8948336,14.4152373,"National Stadium, Malta"
First round,1991-09-18,HJK Helsinki,Dynamo Kyiv,Finland,Ukraine,0,1,,,Helsingin Olympiastadion,Dynamo Kyiv,0-1,60.187003,24.9272463,"Helsingin Olympiastadion, Finland"
First round,1991-09-18,Fram,Panathinaikos,Iceland,Greece,2,2,,,Laugardalsvöllur,,2-2,64.1435011,-21.8790523,"Laugardalsvöllur, Iceland"
First round,1991-09-18,Sparta Prague,Rangers,Czech Republic,Scotland,1,0,,,Generali Arena,Sparta Prague,1-0,50.0997126,14.4158918,"Generali Arena, Czech Republic"
First round,1991-09-18,Göteborg,Flamurtari Vlorë,Sweden,Albania,0,0,,,Ullevi,,0-0,57.7059197,11.9873276,"Ullevi, Sweden"
First round,1991-09-18,Arsenal,Austria Wien,England,Austria,6,1,,,Highbury,Arsenal,6-1,51.5457996,-0.1027127,"Highbury, England"
First round,1991-09-18,Honvéd,Dundalk FC,Hungary,Republic of Ireland,1,1,,,József Bozsik,,1-1,46.8236262,17.805596,"József Bozsik, Hungary"
First round,1991-09-18,FC U Craiova,Apollon Limassol,Romania,Cyprus,2,0,,,Ion Oblemenco,FC U Craiova,2-0,44.3126903,23.7853306,"Ion Oblemenco, Romania"
First round,1991-09-18,Sampdoria,Rosenborg,Italy,Norway,5,0,,,Stadio Luigi Ferraris,Sampdoria,5-0,44.4164753,8.9525341,"Stadio Luigi Ferraris, Italy"
First round,1991-09-18,Beşiktaş,PSV,Turkey,Netherlands,1,1,,,BJK İnönü Stadyumu,,1-1,39.294076,35.2316631,Turkey
First round,1991-10-02,Dundalk FC,Honvéd,Republic of Ireland,Hungary,0,2,,,Oriel Park,Honvéd,0-2,54.2431148,-6.9838183,"Oriel Park, Republic of Ireland"
First round,1991-10-02,Zagłębie Lubin,Brøndby,Poland,Denmark,2,1,,,Zaglebia,Zagłębie Lubin,2-1,50.326283,19.1885956,"Zaglebia, Poland"
First round,1991-10-02,Grasshopper,Anderlecht,Switzerland,Belgium,0,3,,,Wankdorf,Anderlecht,0-3,46.9653354,7.4721334,"Wankdorf, Switzerland"
First round,1991-10-02,Portadown FC,Red Star,Northern Ireland,Serbia,0,4,,,Shamrock Park,Red Star,0-4,54.4132086,-6.457832,"Shamrock Park, Northern Ireland"
