round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Preliminary round,1993-08-18,HJK Helsinki,FC Norma Tallinn,Finland,Estonia,1,1,,,Helsingin Olympiastadion,,1-1,60.187003,24.9272463,"Helsingin Olympiastadion, Finland"
Preliminary round,1993-08-18,B68 Toftir,Croatia Zagreb,Faroe Islands,Croatia,0,5,,,Svangaskard Stadion,Croatia Zagreb,0-5,62.1988704,-6.8178451,Faroe Islands
Preliminary round,1993-08-18,Skonto FC,Olimpija,Latvia,Slovenia,0,1,,,Daugava,Olimpija,0-1,56.5114385,25.8423406,"Daugava, Latvia"
Preliminary round,1993-08-18,FC Dinamo Tbilisi,Linfield FC,Georgia,Northern Ireland,2,1,,,Boris Paichadze Erovnuli Stadioni,FC Dinamo Tbilisi,2-1,41.7230285,44.7897943,"Boris Paichadze Erovnuli Stadioni, Georgia"
Preliminary round,1993-08-18,FC Zimbru Chișinău,Beitar Jerusalem,Moldova,Israel,1,1,,,Republika,,1-1,47.3645576,29.200225,"Republika, Moldova"
Preliminary round,1993-08-18,AC Omonia,Aarau,Cyprus,Switzerland,2,1,,,Makarion,AC Omonia,2-1,34.9174159,32.8899027,Cyprus
Preliminary round,1993-08-18,FC Avenir Beggen,Rosenborg,Luxembourg,Norway,0,2,,,Henri Dunant,Rosenborg,0-2,49.6464322,6.1353509,"Henri Dunant, Luxembourg"
Preliminary round,1993-08-18,Cwmbrân Town AFC,Cork City,Wales,Republic of Ireland,3,2,,,Cwmbran,Cwmbrân Town AFC,3-2,51.6536438,-3.0208217,"Cwmbran, Wales"
Preliminary round,1993-08-18,FK Ekranas,Floriana FC,Lithuania,Malta,0,1,,,Aukštaitija,Floriana FC,0-1,55.3496901,26.0523113,"Aukštaitija, Lithuania"
Preliminary round,1993-08-22,Partizani Tirana,ÍA,Albania,Iceland,0,0,,,Stadiumi Kombëtar Qemal Stafa,,0-0,41.000028,19.9999619,Albania
Preliminary round,1993-09-01,Croatia Zagreb,B68 Toftir,Croatia,Faroe Islands,6,0,,,Stadion Maksimir,Croatia Zagreb,6-0,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Preliminary round,1993-09-01,Cork City,Cwmbrân Town AFC,Republic of Ireland,Wales,2,1,,,Turner's Cross,Cork City,2-1,51.8871087,-8.4659935,"Turner's Cross, Republic of Ireland"
Preliminary round,1993-09-01,Olimpija,Skonto FC,Slovenia,Latvia,0,1,10.0,11.0,Bežigrad,Skonto FC,0-1,46.068061,14.5098859,"Bežigrad, Slovenia"
Preliminary round,1993-09-01,Linfield FC,FC Dinamo Tbilisi,Northern Ireland,Georgia,1,1,,,Windsor Park,,1-1,54.5826531,-5.9553063,"Windsor Park, Northern Ireland"
Preliminary round,1993-09-01,Floriana FC,FK Ekranas,Malta,Lithuania,1,0,,,National Stadium,Floriana FC,1-0,35.8948336,14.4152373,"National Stadium, Malta"
Preliminary round,1993-09-01,ÍA,Partizani Tirana,Iceland,Albania,3,0,,,Akranesvöllur,ÍA,3-0,64.3174696,-22.0597287,"Akranesvöllur, Iceland"
Preliminary round,1993-09-01,Aarau,AC Omonia,Switzerland,Cyprus,2,0,,,Brügglifeld,Aarau,2-0,47.3833371,8.0598089,"Brügglifeld, Switzerland"
Preliminary round,1993-09-01,FC Norma Tallinn,HJK Helsinki,Estonia,Finland,0,1,,,Rannavärava,HJK Helsinki,0-1,58.4629678,23.2337421,"Rannavärava, Estonia"
