round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,1998-09-16,Panathinaikos,Dynamo Kyiv,Greece,Ukraine,2,1,,,OAKA Spiros Louis,Panathinaikos,2-1,38.9953683,21.9877132,Greece
Group stage,1998-09-16,Lens,Arsenal,France,England,1,1,,,Stade Félix-Bollaert,,1-1,50.43281,2.8149878,"Stade Félix-Bollaert, France"
Group stage,1998-09-16,Manchester Utd,Barcelona,England,Spain,3,3,,,Old Trafford,,3-3,53.4631095,-2.2913865,"Old Trafford, England"
Group stage,1998-09-16,Kaiserslautern,Benfica,Germany,Portugal,1,0,,,Fritz-Walter,Kaiserslautern,1-0,49.4948288,7.9240823,"Fritz-Walter, Germany"
Group stage,1998-09-16,Porto,Olympiacos,Portugal,Greece,2,2,,,Estádio das Antas,,2-2,41.1618235,-8.5837492,"Estádio das Antas, Portugal"
Group stage,1998-09-16,Athletic Club,Rosenborg,Spain,Norway,1,1,,,Estadio de San Mamés,,1-1,39.3260685,-4.8379791,Spain
Group stage,1998-09-16,Brøndby,Bayern Munich,Denmark,Germany,2,1,,,FC København Stadium,Brøndby,2-1,55.670249,10.3333283,Denmark
Group stage,1998-09-16,Croatia Zagreb,Ajax,Croatia,Netherlands,0,0,,,Stadion Maksimir,,0-0,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,1998-09-16,Sturm Graz,Spartak Moscow,Austria,Russia,0,2,,,Stadion Graz Liebenau,Spartak Moscow,0-2,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
Group stage,1998-09-16,Real Madrid,Inter,Spain,Italy,2,0,,,Estadio Ramón Sánchez Pizjuán,Real Madrid,2-0,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,1998-09-16,PSV,HJK Helsinki,Netherlands,Finland,2,1,,,PSV Stadion,PSV,2-1,51.4412669,5.468626,"PSV Stadion, Netherlands"
Group stage,1998-09-16,Juventus,Galatasaray,Italy,Turkey,2,2,,,Delle Alpi,,2-2,46.2617049,10.59038,"Delle Alpi, Italy"
Group stage,1998-09-30,Bayern Munich,Manchester Utd,Germany,England,2,2,,,Olympiastadion,,2-2,52.5145846,13.2398144,"Olympiastadion, Germany"
Group stage,1998-09-30,HJK Helsinki,Kaiserslautern,Finland,Germany,0,0,,,Helsingin Olympiastadion,,0-0,60.187003,24.9272463,"Helsingin Olympiastadion, Finland"
Group stage,1998-09-30,Barcelona,Brøndby,Spain,Denmark,2,0,,,Camp Nou,Barcelona,2-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,1998-09-30,Olympiacos,Croatia Zagreb,Greece,Croatia,2,0,,,OAKA Spiros Louis,Olympiacos,2-0,38.9953683,21.9877132,Greece
