round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2009-09-15,Atlético Madrid,APOEL FC,Spain,Cyprus,0,0,,,Estadio Vicente Calderón,,0-0,39.3260685,-4.8379791,Spain
Group stage,2009-09-15,Marseille,Milan,France,Italy,1,2,,,Stade Vélodrome,Milan,1-2,43.269835,5.3959117,"Stade Vélodrome, France"
Group stage,2009-09-15,Chelsea,Porto,England,Portugal,1,0,,,Stamford Bridge,Chelsea,1-0,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2009-09-15,Wolfsburg,CSKA Moscow,Germany,Russia,3,1,,,VfL Wolfsburg Arena,Wolfsburg,3-1,51.1638175,10.4478313,Germany
Group stage,2009-09-15,Beşiktaş,Manchester Utd,Turkey,England,0,1,,,BJK İnönü Stadyumu,Manchester Utd,0-1,39.294076,35.2316631,Turkey
Group stage,2009-09-15,Zürich,Real Madrid,Switzerland,Spain,2,5,,,Stadion Letzigrund,Real Madrid,2-5,47.3828206,8.5037387,"Stadion Letzigrund, Switzerland"
Group stage,2009-09-15,Juventus,Bordeaux,Italy,France,1,1,,,Stadio Olimpico,,1-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Group stage,2009-09-15,Maccabi Haifa,Bayern Munich,Israel,Germany,0,3,,,Itztadion Ramat Gan,Bayern Munich,0-3,30.8124247,34.8594762,Israel
Group stage,2009-09-16,Sevilla,Unirea Urziceni,Spain,Romania,2,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,2-0,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2009-09-16,Olympiacos,AZ Alkmaar,Greece,Netherlands,1,0,,,Stadio Georgios Karaiskakis,Olympiacos,1-0,37.9464689,23.6644117,"Stadio Georgios Karaiskakis, Greece"
Group stage,2009-09-16,Stuttgart,Rangers,Germany,Scotland,1,1,,,VfB Arena,,1-1,51.1638175,10.4478313,Germany
Group stage,2009-09-16,Liverpool,Debrecen,England,Hungary,1,0,,,Anfield,Liverpool,1-0,53.4309164,-2.9609314,"Anfield, England"
Group stage,2009-09-16,Lyon,Fiorentina,France,Italy,1,0,,,Stade de Gerland,Lyon,1-0,45.7237762,4.8322542,"Stade de Gerland, France"
Group stage,2009-09-16,Standard Liège,Arsenal,Belgium,England,2,3,,,Stade Maurice Dufrasne,Arsenal,2-3,50.6098727,5.5435116,"Stade Maurice Dufrasne, Belgium"
Group stage,2009-09-16,Dynamo Kyiv,Rubin Kazan,Ukraine,Russia,3,1,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,3-1,49.4871968,31.2718321,Ukraine
Group stage,2009-09-16,Inter,Barcelona,Italy,Spain,0,0,,,Stadio Giuseppe Meazza,,0-0,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2009-09-29,Arsenal,Olympiacos,England,Greece,2,0,,,Arsenal Stadium,Arsenal,2-0,52.5310214,-1.2649062,England
