round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2016-09-13,Benfica,Beşiktaş,Portugal,Turkey,1,1,,,Estádio do Sport Lisboa e Benfica,,1-1,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2016-09-13,Basel,Ludogorets,Switzerland,Bulgaria,1,1,,,St. Jakob-Park,,1-1,47.5416464,7.6201249,"St. Jakob-Park, Switzerland"
Group stage,2016-09-13,Paris S-G,Arsenal,France,England,1,1,,,Parc des Princes,,1-1,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2016-09-13,Bayern Munich,Rostov,Germany,Russia,5,0,,,Allianz Arena,Bayern Munich,5-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2016-09-13,Barcelona,Celtic,Spain,Scotland,7,0,,,Camp Nou,Barcelona,7-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2016-09-13,PSV Eindhoven,Atlético Madrid,Netherlands,Spain,0,1,,,Philips Stadion,Atlético Madrid,0-1,51.4417077,5.4674257,"Philips Stadion, Netherlands"
Group stage,2016-09-13,Dynamo Kyiv,Napoli,Ukraine,Italy,1,2,,,NSK Olimpijs'kyj,Napoli,1-2,49.4871968,31.2718321,Ukraine
Group stage,2016-09-14,Tottenham,Monaco,England,France,1,2,,,Wembley Stadium,Monaco,1-2,51.5560695,-0.2796034,"Wembley Stadium, England"
Group stage,2016-09-14,Porto,FC Copenhagen,Portugal,Denmark,1,1,,,Estádio Do Dragão,,1-1,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2016-09-14,Manchester City,Gladbach,England,Germany,4,0,,,Etihad Stadium,Manchester City,4-0,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2016-09-14,Real Madrid,Sporting CP,Spain,Portugal,2,1,,,Estadio Santiago Bernabéu,Real Madrid,2-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2016-09-14,Juventus,Sevilla,Italy,Spain,0,0,,,Allianz Stadium,,0-0,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2016-09-14,Lyon,Dinamo Zagreb,France,Croatia,3,0,,,Groupama Stadium,Lyon,3-0,45.7653624,4.9820543,"Groupama Stadium, France"
Group stage,2016-09-14,Leverkusen,CSKA Moscow,Germany,Russia,2,2,,,BayArena,,2-2,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2016-09-14,Legia Warsaw,Dortmund,Poland,Germany,0,6,,,Stadion Miejski Legii Warszawa im. Marsz...,Dortmund,0-6,52.215933,19.134422,Poland
Group stage,2016-09-14,Club Brugge,Leicester City,Belgium,England,0,3,,,Jan Breydelstadion,Leicester City,0-3,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2016-09-27,Sporting CP,Legia Warsaw,Portugal,Poland,2,0,,,Estádio José Alvalade,Sporting CP,2-0,38.7612164,-9.1607831,"Estádio José Alvalade, Portugal"
Group stage,2016-09-27,Leicester City,Porto,England,Portugal,1,0,,,King Power Stadium,Leicester City,1-0,52.620397,-1.1423352,"King Power Stadium, England"
Group stage,2016-09-27,Sevilla,Lyon,Spain,France,1,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,1-0,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2016-09-27,Dortmund,Real Madrid,Germany,Spain,2,2,,,Signal Iduna Park,,2-2,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2016-09-27,Dinamo Zagreb,Juventus,Croatia,Italy,0,4,,,Stadion Maksimir,Juventus,0-4,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2016-09-27,Monaco,Leverkusen,France,Germany,1,1,,,Stade Louis II,,1-1,46.603354,1.8883335,France
Group stage,2016-09-27,FC Copenhagen,Club Brugge,Denmark,Belgium,4,0,,,Telia Parken,FC Copenhagen,4-0,55.670249,10.3333283,Denmark
Group stage,2016-09-27,CSKA Moscow,Tottenham,Russia,England,0,1,,,VEB Arena,Tottenham,0-1,55.7913992,37.5166535,"VEB Arena, Russia"
Group stage,2016-09-28,Arsenal,Basel,England,Switzerland,2,0,,,Emirates Stadium,Arsenal,2-0,51.5550404,-0.1083997,"Emirates Stadium, England"
Group stage,2016-09-28,Celtic,Manchester City,Scotland,England,3,3,,,Celtic Park,,3-3,55.8501815,-4.2068227,"Celtic Park, Scotland"
Group stage,2016-09-28,Atlético Madrid,Bayern Munich,Spain,Germany,1,0,,,Estadio Vicente Calderón,Atlético Madrid,1-0,39.3260685,-4.8379791,Spain
Group stage,2016-09-28,Napoli,Benfica,Italy,Portugal,4,2,,,Stadio San Paolo,Napoli,4-2,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Group stage,2016-09-28,Gladbach,Barcelona,Germany,Spain,1,2,,,Stadion im Borussia-Park,Barcelona,1-2,51.174625,6.3854094,"Stadion im Borussia-Park, Germany"
Group stage,2016-09-28,Beşiktaş,Dynamo Kyiv,Turkey,Ukraine,1,1,,,Vodafone Arena,,1-1,39.294076,35.2316631,Turkey
Group stage,2016-09-28,Rostov,PSV Eindhoven,Russia,Netherlands,2,2,,,Stadion Olimp 2,,2-2,47.2432076,39.7608284,"Stadion Olimp 2, Russia"
Group stage,2016-09-28,Ludogorets,Paris S-G,Bulgaria,France,1,3,,,Stadion Vasil Levski,Paris S-G,1-3,42.6875707,23.3352431,"Stadion Vasil Levski, Bulgaria"
Group stage,2016-10-18,Leicester City,FC Copenhagen,England,Denmark,1,0,,,King Power Stadium,Leicester City,1-0,52.620397,-1.1423352,"King Power Stadium, England"
Group stage,2016-10-18,Sporting CP,Dortmund,Portugal,Germany,1,2,,,Estádio José Alvalade,Dortmund,1-2,38.7612164,-9.1607831,"Estádio José Alvalade, Portugal"
Group stage,2016-10-18,Lyon,Juventus,France,Italy,0,1,,,Groupama Stadium,Juventus,0-1,45.7653624,4.9820543,"Groupama Stadium, France"
Group stage,2016-10-18,Leverkusen,Tottenham,Germany,England,0,0,,,BayArena,,0-0,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2016-10-18,Club Brugge,Porto,Belgium,Portugal,1,2,,,Jan Breydelstadion,Porto,1-2,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2016-10-18,Real Madrid,Legia Warsaw,Spain,Poland,5,1,,,Estadio Santiago Bernabéu,Real Madrid,5-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2016-10-18,Dinamo Zagreb,Sevilla,Croatia,Spain,0,1,,,Stadion Maksimir,Sevilla,0-1,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2016-10-18,CSKA Moscow,Monaco,Russia,France,1,1,,,VEB Arena,,1-1,55.7913992,37.5166535,"VEB Arena, Russia"
Group stage,2016-10-19,Arsenal,Ludogorets,England,Bulgaria,6,0,,,Emirates Stadium,Arsenal,6-0,51.5550404,-0.1083997,"Emirates Stadium, England"
Group stage,2016-10-19,Celtic,Gladbach,Scotland,Germany,0,2,,,Celtic Park,Gladbach,0-2,55.8501815,-4.2068227,"Celtic Park, Scotland"
Group stage,2016-10-19,Bayern Munich,PSV Eindhoven,Germany,Netherlands,4,1,,,Allianz Arena,Bayern Munich,4-1,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2016-10-19,Napoli,Beşiktaş,Italy,Turkey,2,3,,,Stadio San Paolo,Beşiktaş,2-3,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Group stage,2016-10-19,Barcelona,Manchester City,Spain,England,4,0,,,Camp Nou,Barcelona,4-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2016-10-19,Paris S-G,Basel,France,Switzerland,3,0,,,Parc des Princes,Paris S-G,3-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2016-10-19,Dynamo Kyiv,Benfica,Ukraine,Portugal,0,2,,,NSK Olimpijs'kyj,Benfica,0-2,49.4871968,31.2718321,Ukraine
Group stage,2016-10-19,Rostov,Atlético Madrid,Russia,Spain,0,1,,,Stadion Olimp 2,Atlético Madrid,0-1,47.2432076,39.7608284,"Stadion Olimp 2, Russia"
Group stage,2016-11-01,Benfica,Dynamo Kyiv,Portugal,Ukraine,1,0,,,Estádio do Sport Lisboa e Benfica,Benfica,1-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2016-11-01,Manchester City,Barcelona,England,Spain,3,1,,,Etihad Stadium,Manchester City,3-1,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2016-11-01,Gladbach,Celtic,Germany,Scotland,1,1,,,Stadion im Borussia-Park,,1-1,51.174625,6.3854094,"Stadion im Borussia-Park, Germany"
Group stage,2016-11-01,Basel,Paris S-G,Switzerland,France,1,2,,,St. Jakob-Park,Paris S-G,1-2,47.5416464,7.6201249,"St. Jakob-Park, Switzerland"
Group stage,2016-11-01,Beşiktaş,Napoli,Turkey,Italy,1,1,,,Vodafone Arena,,1-1,39.294076,35.2316631,Turkey
Group stage,2016-11-01,Atlético Madrid,Rostov,Spain,Russia,2,1,,,Estadio Vicente Calderón,Atlético Madrid,2-1,39.3260685,-4.8379791,Spain
Group stage,2016-11-01,PSV Eindhoven,Bayern Munich,Netherlands,Germany,1,2,,,Philips Stadion,Bayern Munich,1-2,51.4417077,5.4674257,"Philips Stadion, Netherlands"
Group stage,2016-11-01,Ludogorets,Arsenal,Bulgaria,England,2,3,,,Stadion Vasil Levski,Arsenal,2-3,42.6875707,23.3352431,"Stadion Vasil Levski, Bulgaria"
Group stage,2016-11-02,Tottenham,Leverkusen,England,Germany,0,1,,,Wembley Stadium,Leverkusen,0-1,51.5560695,-0.2796034,"Wembley Stadium, England"
Group stage,2016-11-02,Porto,Club Brugge,Portugal,Belgium,1,0,,,Estádio Do Dragão,Porto,1-0,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2016-11-02,Juventus,Lyon,Italy,France,1,1,,,Allianz Stadium,,1-1,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2016-11-02,Legia Warsaw,Real Madrid,Poland,Spain,3,3,,,Stadion Miejski Legii Warszawa im. Marsz...,,3-3,52.215933,19.134422,Poland
Group stage,2016-11-02,Sevilla,Dinamo Zagreb,Spain,Croatia,4,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,4-0,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2016-11-02,FC Copenhagen,Leicester City,Denmark,England,0,0,,,Telia Parken,,0-0,55.670249,10.3333283,Denmark
Group stage,2016-11-02,Monaco,CSKA Moscow,France,Russia,3,0,,,Stade Louis II,Monaco,3-0,46.603354,1.8883335,France
Group stage,2016-11-02,Dortmund,Sporting CP,Germany,Portugal,1,0,,,Signal Iduna Park,Dortmund,1-0,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2016-11-22,Sporting CP,Real Madrid,Portugal,Spain,1,2,,,Estádio José Alvalade,Real Madrid,1-2,38.7612164,-9.1607831,"Estádio José Alvalade, Portugal"
Group stage,2016-11-22,Leicester City,Club Brugge,England,Belgium,2,1,,,King Power Stadium,Leicester City,2-1,52.620397,-1.1423352,"King Power Stadium, England"
Group stage,2016-11-22,CSKA Moscow,Leverkusen,Russia,Germany,1,1,,,VEB Arena,,1-1,55.7913992,37.5166535,"VEB Arena, Russia"
Group stage,2016-11-22,Dinamo Zagreb,Lyon,Croatia,France,0,1,,,Stadion Maksimir,Lyon,0-1,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2016-11-22,FC Copenhagen,Porto,Denmark,Portugal,0,0,,,Telia Parken,,0-0,55.670249,10.3333283,Denmark
Group stage,2016-11-22,Sevilla,Juventus,Spain,Italy,1,3,,,Estadio Ramón Sánchez Pizjuán,Juventus,1-3,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2016-11-22,Dortmund,Legia Warsaw,Germany,Poland,8,4,,,Signal Iduna Park,Dortmund,8-4,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2016-11-22,Monaco,Tottenham,France,England,2,1,,,Stade Louis II,Monaco,2-1,46.603354,1.8883335,France
Group stage,2016-11-23,Arsenal,Paris S-G,England,France,2,2,,,Emirates Stadium,,2-2,51.5550404,-0.1083997,"Emirates Stadium, England"
Group stage,2016-11-23,Celtic,Barcelona,Scotland,Spain,0,2,,,Celtic Park,Barcelona,0-2,55.8501815,-4.2068227,"Celtic Park, Scotland"
Group stage,2016-11-23,Rostov,Bayern Munich,Russia,Germany,3,2,,,Stadion Olimp 2,Rostov,3-2,47.2432076,39.7608284,"Stadion Olimp 2, Russia"
Group stage,2016-11-23,Napoli,Dynamo Kyiv,Italy,Ukraine,0,0,,,Stadio San Paolo,,0-0,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Group stage,2016-11-23,Gladbach,Manchester City,Germany,England,1,1,,,Stadion im Borussia-Park,,1-1,51.174625,6.3854094,"Stadion im Borussia-Park, Germany"
Group stage,2016-11-23,Atlético Madrid,PSV Eindhoven,Spain,Netherlands,2,0,,,Estadio Vicente Calderón,Atlético Madrid,2-0,39.3260685,-4.8379791,Spain
Group stage,2016-11-23,Beşiktaş,Benfica,Turkey,Portugal,3,3,,,Vodafone Arena,,3-3,39.294076,35.2316631,Turkey
Group stage,2016-11-23,Ludogorets,Basel,Bulgaria,Switzerland,0,0,,,Stadion Vasil Levski,,0-0,42.6875707,23.3352431,"Stadion Vasil Levski, Bulgaria"
Group stage,2016-12-06,Manchester City,Celtic,England,Scotland,1,1,,,Etihad Stadium,,1-1,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2016-12-06,Benfica,Napoli,Portugal,Italy,1,2,,,Estádio do Sport Lisboa e Benfica,Napoli,1-2,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2016-12-06,Basel,Arsenal,Switzerland,England,1,4,,,St. Jakob-Park,Arsenal,1-4,47.5416464,7.6201249,"St. Jakob-Park, Switzerland"
Group stage,2016-12-06,PSV Eindhoven,Rostov,Netherlands,Russia,0,0,,,Philips Stadion,,0-0,51.4417077,5.4674257,"Philips Stadion, Netherlands"
Group stage,2016-12-06,Barcelona,Gladbach,Spain,Germany,4,0,,,Camp Nou,Barcelona,4-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2016-12-06,Bayern Munich,Atlético Madrid,Germany,Spain,1,0,,,Allianz Arena,Bayern Munich,1-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2016-12-06,Paris S-G,Ludogorets,France,Bulgaria,2,2,,,Parc des Princes,,2-2,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2016-12-06,Dynamo Kyiv,Beşiktaş,Ukraine,Turkey,6,0,,,NSK Olimpijs'kyj,Dynamo Kyiv,6-0,49.4871968,31.2718321,Ukraine
Group stage,2016-12-07,Tottenham,CSKA Moscow,England,Russia,3,1,,,Wembley Stadium,Tottenham,3-1,51.5560695,-0.2796034,"Wembley Stadium, England"
Group stage,2016-12-07,Porto,Leicester City,Portugal,England,5,0,,,Estádio Do Dragão,Porto,5-0,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2016-12-07,Lyon,Sevilla,France,Spain,0,0,,,Groupama Stadium,,0-0,45.7653624,4.9820543,"Groupama Stadium, France"
Group stage,2016-12-07,Juventus,Dinamo Zagreb,Italy,Croatia,2,0,,,Allianz Stadium,Juventus,2-0,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2016-12-07,Club Brugge,FC Copenhagen,Belgium,Denmark,0,2,,,Jan Breydelstadion,FC Copenhagen,0-2,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2016-12-07,Legia Warsaw,Sporting CP,Poland,Portugal,1,0,,,Stadion Miejski Legii Warszawa im. Marsz...,Legia Warsaw,1-0,52.215933,19.134422,Poland
Group stage,2016-12-07,Leverkusen,Monaco,Germany,France,3,0,,,BayArena,Leverkusen,3-0,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2016-12-07,Real Madrid,Dortmund,Spain,Germany,2,2,,,Estadio Santiago Bernabéu,,2-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Round of 16,2017-02-14,Benfica,Dortmund,Portugal,Germany,1,0,,,Estádio do Sport Lisboa e Benfica,Benfica,1-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Round of 16,2017-02-14,Paris S-G,Barcelona,France,Spain,4,0,,,Parc des Princes,Paris S-G,4-0,48.8413634,2.2530693,"Parc des Princes, France"
Round of 16,2017-02-15,Bayern Munich,Arsenal,Germany,England,5,1,,,Allianz Arena,Bayern Munich,5-1,48.2187901,11.6236227,"Allianz Arena, Germany"
Round of 16,2017-02-15,Real Madrid,Napoli,Spain,Italy,3,1,,,Estadio Santiago Bernabéu,Real Madrid,3-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Round of 16,2017-02-21,Manchester City,Monaco,England,France,5,3,,,Etihad Stadium,Manchester City,5-3,53.4831448,-2.2005273,"Etihad Stadium, England"
Round of 16,2017-02-21,Leverkusen,Atlético Madrid,Germany,Spain,2,4,,,BayArena,Atlético Madrid,2-4,51.0381439,7.0030964,"BayArena, Germany"
Round of 16,2017-02-22,Porto,Juventus,Portugal,Italy,0,2,,,Estádio Do Dragão,Juventus,0-2,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
