round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
League phase,2024-09-17,Young Boys,Aston Villa,Switzerland,England,0,3,,,Stadion Wankdorf,Aston Villa,0-3,46.9631042,7.4648638,"Stadion Wankdorf, Switzerland"
League phase,2024-09-17,Juventus,PSV Eindhoven,Italy,Netherlands,3,1,,,Allianz Stadium,Juventus,3-1,45.1095759,7.6421338,"Allianz Stadium, Italy"
League phase,2024-09-17,Sporting CP,Lille,Portugal,France,2,0,,,Estádio José Alvalade,Sporting CP,2-0,38.7612164,-9.1607831,"Estádio José Alvalade, Portugal"
League phase,2024-09-17,Real Madrid,Stuttgart,Spain,Germany,3,1,,,Estadio Santiago Bernabéu,Real Madrid,3-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
League phase,2024-09-17,Milan,Liverpool,Italy,England,1,3,,,Stadio Giuseppe Meazza,Liverpool,1-3,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
League phase,2024-09-17,Bayern Munich,Dinamo Zagreb,Germany,Croatia,9,2,,,Allianz Arena,Bayern Munich,9-2,48.2187901,11.6236227,"Allianz Arena, Germany"
League phase,2024-09-18,Sparta Prague,RB Salzburg,Czech Republic,Austria,3,0,,,epet Arena,Sparta Prague,3-0,50.0997126,14.4158918,"epet Arena, Czech Republic"
League phase,2024-09-18,Bologna,Shakhtar,Italy,Ukraine,0,0,,,Stadio Renato Dall'Ara,,0-0,44.492317,11.3099971,"Stadio Renato Dall'Ara, Italy"
League phase,2024-09-18,Celtic,Slovan Bratislava,Scotland,Slovakia,5,1,,,Celtic Park,Celtic,5-1,55.8501815,-4.2068227,"Celtic Park, Scotland"
League phase,2024-09-18,Manchester City,Inter,England,Italy,0,0,,,Etihad Stadium,,0-0,53.4831448,-2.2005273,"Etihad Stadium, England"
League phase,2024-09-18,Club Brugge,Dortmund,Belgium,Germany,0,3,,,Jan Breydelstadion,Dortmund,0-3,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
League phase,2024-09-18,Paris S-G,Girona,France,Spain,1,0,,,Parc des Princes,Paris S-G,1-0,48.8413634,2.2530693,"Parc des Princes, France"
League phase,2024-09-19,Red Star,Benfica,Serbia,Portugal,1,2,,,Stadion Rajko Mitić,Benfica,1-2,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
League phase,2024-09-19,Feyenoord,Leverkusen,Netherlands,Germany,0,4,,,Stadion Feijenoord,Leverkusen,0-4,51.8938646,4.5232281,"Stadion Feijenoord, Netherlands"
League phase,2024-09-19,Monaco,Barcelona,France,Spain,2,1,,,Stade Louis II,Monaco,2-1,46.603354,1.8883335,France
League phase,2024-09-19,Atalanta,Arsenal,Italy,England,0,0,,,Gewiss Stadium,,0-0,42.6384261,12.674297,Italy
League phase,2024-09-19,Brest,Sturm Graz,France,Austria,2,1,,,Stade du Roudourou,Brest,2-1,48.5660196,-3.1644589,"Stade du Roudourou, France"
League phase,2024-09-19,Atlético Madrid,RB Leipzig,Spain,Germany,2,1,,,Riyadh Air Metropolitan Stadium,Atlético Madrid,2-1,39.3260685,-4.8379791,Spain
League phase,2024-10-01,Stuttgart,Sparta Prague,Germany,Czech Republic,1,1,,,MHPArena,,1-1,48.8911701,9.1824202,"MHPArena, Germany"
League phase,2024-10-01,RB Salzburg,Brest,Austria,France,0,4,,,Red Bull Arena,Brest,0-4,47.8163956,12.9982439,"Red Bull Arena, Austria"
League phase,2024-10-01,Arsenal,Paris S-G,England,France,2,0,,,Emirates Stadium,Arsenal,2-0,51.5550404,-0.1083997,"Emirates Stadium, England"
League phase,2024-10-01,Barcelona,Young Boys,Spain,Switzerland,5,0,,,Estadi Olímpic Lluís Companys,Barcelona,5-0,41.36472,2.1556451,"Estadi Olímpic Lluís Companys, Spain"
League phase,2024-10-01,Dortmund,Celtic,Germany,Scotland,7,1,,,Signal Iduna Park,Dortmund,7-1,51.4924922,7.4518549,"Signal Iduna Park, Germany"
League phase,2024-10-01,Inter,Red Star,Italy,Serbia,4,0,,,Stadio Giuseppe Meazza,Inter,4-0,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
League phase,2024-10-01,Slovan Bratislava,Manchester City,Slovakia,England,0,4,,,Štadión Tehelné pole,Manchester City,0-4,48.1634912,17.1367945,"Štadión Tehelné pole, Slovakia"
League phase,2024-10-01,PSV Eindhoven,Sporting CP,Netherlands,Portugal,1,1,,,Philips Stadion,,1-1,51.4417077,5.4674257,"Philips Stadion, Netherlands"
League phase,2024-10-01,Leverkusen,Milan,Germany,Italy,1,0,,,BayArena,Leverkusen,1-0,51.0381439,7.0030964,"BayArena, Germany"
League phase,2024-10-02,Girona,Feyenoord,Spain,Netherlands,2,3,,,Estadi Municipal de Montilivi,Feyenoord,2-3,41.9612296,2.8289964,"Estadi Municipal de Montilivi, Spain"
League phase,2024-10-02,Shakhtar,Atalanta,Ukraine,Italy,0,3,,,Veltins-Arena,Atalanta,0-3,49.4871968,31.2718321,Ukraine
League phase,2024-10-02,Liverpool,Bologna,England,Italy,2,0,,,Anfield,Liverpool,2-0,53.4309164,-2.9609314,"Anfield, England"
League phase,2024-10-02,Aston Villa,Bayern Munich,England,Germany,1,0,,,Villa Park,Aston Villa,1-0,52.5091264,-1.8850354,"Villa Park, England"
League phase,2024-10-02,Benfica,Atlético Madrid,Portugal,Spain,4,0,,,Estádio do Sport Lisboa e Benfica,Benfica,4-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
League phase,2024-10-02,Dinamo Zagreb,Monaco,Croatia,France,2,2,,,Stadion Maksimir,,2-2,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
League phase,2024-10-02,RB Leipzig,Juventus,Germany,Italy,2,3,,,Red Bull Arena,Juventus,2-3,51.3457079,12.3482361,"Red Bull Arena, Germany"
League phase,2024-10-02,Sturm Graz,Club Brugge,Austria,Belgium,0,1,,,Merkur Arena,Club Brugge,0-1,47.0463666,15.454008,"Merkur Arena, Austria"
League phase,2024-10-02,Lille,Real Madrid,France,Spain,1,0,,,Decathlon Arena - Stade Pierre-Mauroy,Lille,1-0,50.6119044,3.130508,"Decathlon Arena - Stade Pierre-Mauroy, France"
League phase,2024-10-22,Monaco,Red Star,France,Serbia,5,1,,,Stade Louis II,Monaco,5-1,46.603354,1.8883335,France
League phase,2024-10-22,Milan,Club Brugge,Italy,Belgium,3,1,,,Stadio Giuseppe Meazza,Milan,3-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
League phase,2024-10-22,Arsenal,Shakhtar,England,Ukraine,1,0,,,Emirates Stadium,Arsenal,1-0,51.5550404,-0.1083997,"Emirates Stadium, England"
League phase,2024-10-22,Aston Villa,Bologna,England,Italy,2,0,,,Villa Park,Aston Villa,2-0,52.5091264,-1.8850354,"Villa Park, England"
League phase,2024-10-22,Sturm Graz,Sporting CP,Austria,Portugal,0,2,,,Merkur Arena,Sporting CP,0-2,47.0463666,15.454008,"Merkur Arena, Austria"
