round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2019-09-17,Lyon,Zenit,France,Russia,1,1,,,Groupama Stadium,,1-1,45.7653624,4.9820543,"Groupama Stadium, France"
Group stage,2019-09-17,Inter,Slavia Prague,Italy,Czech Republic,1,1,,,Stadio Giuseppe Meazza,,1-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2019-09-17,Benfica,RB Leipzig,Portugal,Germany,1,2,,,Estádio do Sport Lisboa e Benfica,RB Leipzig,1-2,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2019-09-17,Chelsea,Valencia,England,Spain,0,1,,,Stamford Bridge,Valencia,0-1,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2019-09-17,RB Salzburg,Genk,Austria,Belgium,6,2,,,Red Bull Arena,RB Salzburg,6-2,47.8163956,12.9982439,"Red Bull Arena, Austria"
Group stage,2019-09-17,Ajax,Lille,Netherlands,France,3,0,,,Johan Cruyff ArenA,Ajax,3-0,52.2434979,5.6343227,Netherlands
Group stage,2019-09-17,Napoli,Liverpool,Italy,England,2,0,,,Stadio San Paolo,Napoli,2-0,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Group stage,2019-09-17,Dortmund,Barcelona,Germany,Spain,0,0,,,Signal Iduna Park,,0-0,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2019-09-18,Club Brugge,Galatasaray,Belgium,Turkey,0,0,,,Jan Breydelstadion,,0-0,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2019-09-18,Olympiacos,Tottenham,Greece,England,2,2,,,Stadio Georgios Karaiskáki,,2-2,38.9953683,21.9877132,Greece
Group stage,2019-09-18,Paris S-G,Real Madrid,France,Spain,3,0,,,Parc des Princes,Paris S-G,3-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2019-09-18,Dinamo Zagreb,Atalanta,Croatia,Italy,4,0,,,Stadion Maksimir,Dinamo Zagreb,4-0,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2019-09-18,Leverkusen,Loko Moscow,Germany,Russia,1,2,,,BayArena,Loko Moscow,1-2,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2019-09-18,Atlético Madrid,Juventus,Spain,Italy,2,2,,,Estadio Wanda Metropolitano,,2-2,39.3260685,-4.8379791,Spain
Group stage,2019-09-18,Bayern Munich,Red Star,Germany,Serbia,3,0,,,Allianz Arena,Bayern Munich,3-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2019-09-18,Shakhtar,Manchester City,Ukraine,England,0,3,,,Oblasny SportKomplex Metalist,Manchester City,0-3,49.4871968,31.2718321,Ukraine
Group stage,2019-10-01,Atalanta,Shakhtar,Italy,Ukraine,1,2,,,Stadio Giuseppe Meazza,Shakhtar,1-2,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2019-10-01,Real Madrid,Club Brugge,Spain,Belgium,2,2,,,Estadio Santiago Bernabéu,,2-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2019-10-01,Tottenham,Bayern Munich,England,Germany,2,7,,,Tottenham Hotspur Stadium,Bayern Munich,2-7,51.604157,-0.0662604,"Tottenham Hotspur Stadium, England"
Group stage,2019-10-01,Manchester City,Dinamo Zagreb,England,Croatia,2,0,,,Etihad Stadium,Manchester City,2-0,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2019-10-01,Red Star,Olympiacos,Serbia,Greece,3,1,,,Stadion Rajko Mitić,Red Star,3-1,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
Group stage,2019-10-01,Juventus,Leverkusen,Italy,Germany,3,0,,,Allianz Stadium,Juventus,3-0,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2019-10-01,Loko Moscow,Atlético Madrid,Russia,Spain,0,2,,,RZD Arena,Atlético Madrid,0-2,55.8035807,37.7412162,"RZD Arena, Russia"
Group stage,2019-10-01,Galatasaray,Paris S-G,Turkey,France,0,1,,,Türk Telekom Arena,Paris S-G,0-1,39.294076,35.2316631,Turkey
Group stage,2019-10-02,Genk,Napoli,Belgium,Italy,0,0,,,Luminus Arena,,0-0,50.6402809,4.6667145,Belgium
Group stage,2019-10-02,Slavia Prague,Dortmund,Czech Republic,Germany,0,2,,,Sinobo Stadium,Dortmund,0-2,50.0675695,14.4715052,"Sinobo Stadium, Czech Republic"
Group stage,2019-10-02,Liverpool,RB Salzburg,England,Austria,4,3,,,Anfield,Liverpool,4-3,53.4309164,-2.9609314,"Anfield, England"
Group stage,2019-10-02,Valencia,Ajax,Spain,Netherlands,0,3,,,Estadio de Mestalla,Ajax,0-3,39.3260685,-4.8379791,Spain
Group stage,2019-10-02,Barcelona,Inter,Spain,Italy,2,1,,,Camp Nou,Barcelona,2-1,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2019-10-02,RB Leipzig,Lyon,Germany,France,0,2,,,Red Bull Arena,Lyon,0-2,51.3457079,12.3482361,"Red Bull Arena, Germany"
Group stage,2019-10-02,Lille,Chelsea,France,England,1,2,,,Stade Pierre-Mauroy,Chelsea,1-2,50.6119044,3.130508,"Stade Pierre-Mauroy, France"
Group stage,2019-10-02,Zenit,Benfica,Russia,Portugal,3,1,,,Gazprom Arena,Zenit,3-1,59.9723766,30.2210608,"Gazprom Arena, Russia"
Group stage,2019-10-22,Atlético Madrid,Leverkusen,Spain,Germany,1,0,,,Estadio Wanda Metropolitano,Atlético Madrid,1-0,39.3260685,-4.8379791,Spain
Group stage,2019-10-22,Shakhtar,Dinamo Zagreb,Ukraine,Croatia,2,2,,,Oblasny SportKomplex Metalist,,2-2,49.4871968,31.2718321,Ukraine
Group stage,2019-10-22,Manchester City,Atalanta,England,Italy,5,1,,,Etihad Stadium,Manchester City,5-1,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2019-10-22,Tottenham,Red Star,England,Serbia,5,0,,,Tottenham Hotspur Stadium,Tottenham,5-0,51.604157,-0.0662604,"Tottenham Hotspur Stadium, England"
Group stage,2019-10-22,Juventus,Loko Moscow,Italy,Russia,2,1,,,Allianz Stadium,Juventus,2-1,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2019-10-22,Club Brugge,Paris S-G,Belgium,France,0,5,,,Jan Breydelstadion,Paris S-G,0-5,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2019-10-22,Olympiacos,Bayern Munich,Greece,Germany,2,3,,,Stadio Georgios Karaiskáki,Bayern Munich,2-3,38.9953683,21.9877132,Greece
Group stage,2019-10-22,Galatasaray,Real Madrid,Turkey,Spain,0,1,,,Türk Telekom Arena,Real Madrid,0-1,39.294076,35.2316631,Turkey
Group stage,2019-10-23,RB Leipzig,Zenit,Germany,Russia,2,1,,,Red Bull Arena,RB Leipzig,2-1,51.3457079,12.3482361,"Red Bull Arena, Germany"
Group stage,2019-10-23,Ajax,Chelsea,Netherlands,England,0,1,,,Johan Cruyff ArenA,Chelsea,0-1,52.2434979,5.6343227,Netherlands
Group stage,2019-10-23,Benfica,Lyon,Portugal,France,2,1,,,Estádio do Sport Lisboa e Benfica,Benfica,2-1,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2019-10-23,Lille,Valencia,France,Spain,1,1,,,Stade Pierre-Mauroy,,1-1,50.6119044,3.130508,"Stade Pierre-Mauroy, France"
Group stage,2019-10-23,Genk,Liverpool,Belgium,England,1,4,,,Luminus Arena,Liverpool,1-4,50.6402809,4.6667145,Belgium
Group stage,2019-10-23,RB Salzburg,Napoli,Austria,Italy,2,3,,,Red Bull Arena,Napoli,2-3,47.8163956,12.9982439,"Red Bull Arena, Austria"
Group stage,2019-10-23,Slavia Prague,Barcelona,Czech Republic,Spain,1,2,,,Sinobo Stadium,Barcelona,1-2,50.0675695,14.4715052,"Sinobo Stadium, Czech Republic"
Group stage,2019-10-23,Inter,Dortmund,Italy,Germany,2,0,,,Stadio Giuseppe Meazza,Inter,2-0,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2019-11-05,Barcelona,Slavia Prague,Spain,Czech Republic,0,0,,,Camp Nou,,0-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2019-11-05,Liverpool,Genk,England,Belgium,2,1,,,Anfield,Liverpool,2-1,53.4309164,-2.9609314,"Anfield, England"
Group stage,2019-11-05,Chelsea,Ajax,England,Netherlands,4,4,,,Stamford Bridge,,4-4,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2019-11-05,Zenit,RB Leipzig,Russia,Germany,0,2,,,Gazprom Arena,RB Leipzig,0-2,59.9723766,30.2210608,"Gazprom Arena, Russia"
Group stage,2019-11-05,Valencia,Lille,Spain,France,4,1,,,Estadio de Mestalla,Valencia,4-1,39.3260685,-4.8379791,Spain
Group stage,2019-11-05,Dortmund,Inter,Germany,Italy,3,2,,,Signal Iduna Park,Dortmund,3-2,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2019-11-05,Napoli,RB Salzburg,Italy,Austria,1,1,,,Stadio San Paolo,,1-1,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Group stage,2019-11-05,Lyon,Benfica,France,Portugal,3,1,,,Groupama Stadium,Lyon,3-1,45.7653624,4.9820543,"Groupama Stadium, France"
Group stage,2019-11-06,Bayern Munich,Olympiacos,Germany,Greece,2,0,,,Allianz Arena,Bayern Munich,2-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2019-11-06,Loko Moscow,Juventus,Russia,Italy,1,2,,,RZD Arena,Juventus,1-2,55.8035807,37.7412162,"RZD Arena, Russia"
Group stage,2019-11-06,Red Star,Tottenham,Serbia,England,0,4,,,Stadion Rajko Mitić,Tottenham,0-4,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
Group stage,2019-11-06,Real Madrid,Galatasaray,Spain,Turkey,6,0,,,Estadio Santiago Bernabéu,Real Madrid,6-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2019-11-06,Leverkusen,Atlético Madrid,Germany,Spain,2,1,,,BayArena,Leverkusen,2-1,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2019-11-06,Paris S-G,Club Brugge,France,Belgium,1,0,,,Parc des Princes,Paris S-G,1-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2019-11-06,Dinamo Zagreb,Shakhtar,Croatia,Ukraine,3,3,,,Stadion Maksimir,,3-3,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2019-11-06,Atalanta,Manchester City,Italy,England,1,1,,,Stadio Giuseppe Meazza,,1-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2019-11-26,Tottenham,Olympiacos,England,Greece,4,2,,,Tottenham Hotspur Stadium,Tottenham,4-2,51.604157,-0.0662604,"Tottenham Hotspur Stadium, England"
Group stage,2019-11-26,Manchester City,Shakhtar,England,Ukraine,1,1,,,Etihad Stadium,,1-1,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2019-11-26,Loko Moscow,Leverkusen,Russia,Germany,0,2,,,RZD Arena,Leverkusen,0-2,55.8035807,37.7412162,"RZD Arena, Russia"
Group stage,2019-11-26,Galatasaray,Club Brugge,Turkey,Belgium,1,1,,,Türk Telekom Arena,,1-1,39.294076,35.2316631,Turkey
Group stage,2019-11-26,Red Star,Bayern Munich,Serbia,Germany,0,6,,,Stadion Rajko Mitić,Bayern Munich,0-6,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
Group stage,2019-11-26,Juventus,Atlético Madrid,Italy,Spain,1,0,,,Allianz Stadium,Juventus,1-0,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2019-11-26,Atalanta,Dinamo Zagreb,Italy,Croatia,2,0,,,Stadio Giuseppe Meazza,Atalanta,2-0,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2019-11-26,Real Madrid,Paris S-G,Spain,France,2,2,,,Estadio Santiago Bernabéu,,2-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2019-11-27,Valencia,Chelsea,Spain,England,2,2,,,Estadio de Mestalla,,2-2,39.3260685,-4.8379791,Spain
Group stage,2019-11-27,Liverpool,Napoli,England,Italy,1,1,,,Anfield,,1-1,53.4309164,-2.9609314,"Anfield, England"
Group stage,2019-11-27,Zenit,Lyon,Russia,France,2,0,,,Gazprom Arena,Zenit,2-0,59.9723766,30.2210608,"Gazprom Arena, Russia"
Group stage,2019-11-27,Slavia Prague,Inter,Czech Republic,Italy,1,3,,,Sinobo Stadium,Inter,1-3,50.0675695,14.4715052,"Sinobo Stadium, Czech Republic"
Group stage,2019-11-27,Barcelona,Dortmund,Spain,Germany,3,1,,,Camp Nou,Barcelona,3-1,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2019-11-27,Genk,RB Salzburg,Belgium,Austria,1,4,,,Luminus Arena,RB Salzburg,1-4,50.6402809,4.6667145,Belgium
Group stage,2019-11-27,RB Leipzig,Benfica,Germany,Portugal,2,2,,,Red Bull Arena,,2-2,51.3457079,12.3482361,"Red Bull Arena, Germany"
Group stage,2019-11-27,Lille,Ajax,France,Netherlands,0,2,,,Stade Pierre-Mauroy,Ajax,0-2,50.6119044,3.130508,"Stade Pierre-Mauroy, France"
Group stage,2019-12-10,Napoli,Genk,Italy,Belgium,4,0,,,Stadio San Paolo,Napoli,4-0,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Group stage,2019-12-10,RB Salzburg,Liverpool,Austria,England,0,2,,,Red Bull Arena,Liverpool,0-2,47.8163956,12.9982439,"Red Bull Arena, Austria"
Group stage,2019-12-10,Benfica,Zenit,Portugal,Russia,3,0,,,Estádio do Sport Lisboa e Benfica,Benfica,3-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2019-12-10,Chelsea,Lille,England,France,2,1,,,Stamford Bridge,Chelsea,2-1,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2019-12-10,Inter,Barcelona,Italy,Spain,1,2,,,Stadio Giuseppe Meazza,Barcelona,1-2,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2019-12-10,Lyon,RB Leipzig,France,Germany,2,2,,,Groupama Stadium,,2-2,45.7653624,4.9820543,"Groupama Stadium, France"
Group stage,2019-12-10,Dortmund,Slavia Prague,Germany,Czech Republic,2,1,,,Signal Iduna Park,Dortmund,2-1,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2019-12-10,Ajax,Valencia,Netherlands,Spain,0,1,,,Johan Cruyff ArenA,Valencia,0-1,52.2434979,5.6343227,Netherlands
Group stage,2019-12-11,Dinamo Zagreb,Manchester City,Croatia,England,1,4,,,Stadion Maksimir,Manchester City,1-4,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2019-12-11,Shakhtar,Atalanta,Ukraine,Italy,0,3,,,Oblasny SportKomplex Metalist,Atalanta,0-3,49.4871968,31.2718321,Ukraine
Group stage,2019-12-11,Leverkusen,Juventus,Germany,Italy,0,2,,,BayArena,Juventus,0-2,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2019-12-11,Atlético Madrid,Loko Moscow,Spain,Russia,2,0,,,Estadio Wanda Metropolitano,Atlético Madrid,2-0,39.3260685,-4.8379791,Spain
Group stage,2019-12-11,Bayern Munich,Tottenham,Germany,England,3,1,,,Allianz Arena,Bayern Munich,3-1,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2019-12-11,Paris S-G,Galatasaray,France,Turkey,5,0,,,Parc des Princes,Paris S-G,5-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2019-12-11,Club Brugge,Real Madrid,Belgium,Spain,1,3,,,Jan Breydelstadion,Real Madrid,1-3,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2019-12-11,Olympiacos,Red Star,Greece,Serbia,1,0,,,Stadio Georgios Karaiskáki,Olympiacos,1-0,38.9953683,21.9877132,Greece
Round of 16,2020-02-18,Atlético Madrid,Liverpool,Spain,England,1,0,,,Estadio Wanda Metropolitano,Atlético Madrid,1-0,39.3260685,-4.8379791,Spain
Round of 16,2020-02-18,Dortmund,Paris S-G,Germany,France,2,1,,,Signal Iduna Park,Dortmund,2-1,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Round of 16,2020-02-19,Tottenham,RB Leipzig,England,Germany,0,1,,,Tottenham Hotspur Stadium,RB Leipzig,0-1,51.604157,-0.0662604,"Tottenham Hotspur Stadium, England"
Round of 16,2020-02-19,Atalanta,Valencia,Italy,Spain,4,1,,,Stadio Giuseppe Meazza,Atalanta,4-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Round of 16,2020-02-25,Chelsea,Bayern Munich,England,Germany,0,3,,,Stamford Bridge,Bayern Munich,0-3,51.4816869,-0.1910336,"Stamford Bridge, England"
Round of 16,2020-02-25,Napoli,Barcelona,Italy,Spain,1,1,,,Stadio San Paolo,,1-1,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Round of 16,2020-02-26,Lyon,Juventus,France,Italy,1,0,,,Groupama Stadium,Lyon,1-0,45.7653624,4.9820543,"Groupama Stadium, France"
Round of 16,2020-02-26,Real Madrid,Manchester City,Spain,England,1,2,,,Estadio Santiago Bernabéu,Manchester City,1-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Round of 16,2020-03-10,RB Leipzig,Tottenham,Germany,England,3,0,,,Red Bull Arena,RB Leipzig,3-0,51.3457079,12.3482361,"Red Bull Arena, Germany"
Round of 16,2020-03-10,Valencia,Atalanta,Spain,Italy,3,4,,,Estadio de Mestalla,Atalanta,3-4,39.3260685,-4.8379791,Spain
Round of 16,2020-03-11,Liverpool,Atlético Madrid,England,Spain,2,3,,,Anfield,Atlético Madrid,2-3,53.4309164,-2.9609314,"Anfield, England"
Round of 16,2020-03-11,Paris S-G,Dortmund,France,Germany,2,0,,,Parc des Princes,Paris S-G,2-0,48.8413634,2.2530693,"Parc des Princes, France"
Round of 16,2020-08-07,Manchester City,Real Madrid,England,Spain,2,1,,,Etihad Stadium,Manchester City,2-1,53.4831448,-2.2005273,"Etihad Stadium, England"
Round of 16,2020-08-07,Juventus,Lyon,Italy,France,2,1,,,Allianz Stadium,Juventus,2-1,45.1095759,7.6421338,"Allianz Stadium, Italy"
Round of 16,2020-08-08,Bayern Munich,Chelsea,Germany,England,4,1,,,Allianz Arena,Bayern Munich,4-1,48.2187901,11.6236227,"Allianz Arena, Germany"
Round of 16,2020-08-08,Barcelona,Napoli,Spain,Italy,3,1,,,Camp Nou,Barcelona,3-1,41.3808046,2.1158872,"Camp Nou, Spain"
Quarter-finals,2020-08-12,Atalanta,Paris S-G,Italy,France,1,2,,,Estádio do Sport Lisboa e Benfica (Neutral Site),Paris S-G,1-2,38.7526893,-9.1846899,Estádio do Sport Lisboa e Benfica 
Quarter-finals,2020-08-13,RB Leipzig,Atlético Madrid,Germany,Spain,2,1,,,Estádio José Alvalade (Neutral Site),RB Leipzig,2-1,38.7612164,-9.1607831,Estádio José Alvalade 
Quarter-finals,2020-08-14,Barcelona,Bayern Munich,Spain,Germany,2,8,,,Estádio do Sport Lisboa e Benfica (Neutral Site),Bayern Munich,2-8,38.7526893,-9.1846899,Estádio do Sport Lisboa e Benfica 
Quarter-finals,2020-08-15,Manchester City,Lyon,England,France,1,3,,,Estádio José Alvalade (Neutral Site),Lyon,1-3,38.7612164,-9.1607831,Estádio José Alvalade 
Semi-finals,2020-08-18,RB Leipzig,Paris S-G,Germany,France,0,3,,,Estádio do Sport Lisboa e Benfica (Neutral Site),Paris S-G,0-3,38.7526893,-9.1846899,Estádio do Sport Lisboa e Benfica 
Semi-finals,2020-08-19,Lyon,Bayern Munich,France,Germany,0,3,,,Estádio José Alvalade (Neutral Site),Bayern Munich,0-3,38.7612164,-9.1607831,Estádio José Alvalade 
Final,2020-08-23,Paris S-G,Bayern Munich,France,Germany,0,1,,,Estádio do Sport Lisboa e Benfica (Neutral Site),Bayern Munich,0-1,38.7526893,-9.1846899,Estádio do Sport Lisboa e Benfica 
