round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
First group stage,2001-09-11,Liverpool,Boavista,England,Portugal,1,1,,,Anfield,,1-1,53.4309164,-2.9609314,"Anfield, England"
First group stage,2001-09-11,Roma,Real Madrid,Italy,Spain,1,2,,,Stadio Olimpico,Real Madrid,1-2,41.9339424,12.4547705,"Stadio Olimpico, Italy"
First group stage,2001-09-11,Dynamo Kyiv,Dortmund,Ukraine,Germany,2,2,,,NSK Olimpiyskyi,,2-2,49.4871968,31.2718321,Ukraine
First group stage,2001-09-11,Nantes,PSV Eindhoven,France,Netherlands,4,1,,,Stade de la Beaujoire,Nantes,4-1,47.256005,-1.5247552,"Stade de la Beaujoire, France"
First group stage,2001-09-11,Mallorca,Arsenal,Spain,England,1,0,,,Ono Estadi,Mallorca,1-0,39.3260685,-4.8379791,Spain
First group stage,2001-09-11,Loko Moscow,Anderlecht,Russia,Belgium,1,1,,,Dinamo,,1-1,55.7897397,37.558208,"Dinamo, Russia"
First group stage,2001-09-11,Galatasaray,Lazio,Turkey,Italy,1,0,,,Ali Sami Yen Stadyumu,Galatasaray,1-0,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
First group stage,2001-09-11,Schalke 04,Panathinaikos,Germany,Greece,0,2,,,Parkstadion,Panathinaikos,0-2,51.5592587,7.0675771,"Parkstadion, Germany"
First group stage,2001-09-18,Lyon,Leverkusen,France,Germany,0,1,,,Stade de Gerland,Leverkusen,0-1,45.7237762,4.8322542,"Stade de Gerland, France"
First group stage,2001-09-18,Fenerbahçe,Barcelona,Turkey,Spain,0,3,,,Şükrü Saracoğlu,Barcelona,0-3,40.9875807,29.0369773,"Şükrü Saracoğlu, Turkey"
First group stage,2001-09-18,Manchester Utd,Lille,England,France,1,0,,,Old Trafford,Manchester Utd,1-0,53.4631095,-2.2913865,"Old Trafford, England"
First group stage,2001-09-18,Spartak Moscow,Feyenoord,Russia,Netherlands,2,2,,,Stadion Luzhniki,,2-2,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
First group stage,2001-09-18,La Coruña,Olympiacos,Spain,Greece,2,2,,,Estadio Municipal de Riazor,,2-2,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
First group stage,2001-09-18,Bayern Munich,Sparta Prague,Germany,Czech Republic,0,0,,,Olympiastadion,,0-0,52.5145846,13.2398144,"Olympiastadion, Germany"
First group stage,2001-09-18,Juventus,Celtic,Italy,Scotland,3,2,,,Delle Alpi,Juventus,3-2,46.2617049,10.59038,"Delle Alpi, Italy"
First group stage,2001-09-18,Rosenborg,Porto,Norway,Portugal,1,2,,,Lerkendal Stadion,Porto,1-2,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
