round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2017-09-12,Benfica,CSKA Moscow,Portugal,Russia,1,2,,,Estádio do Sport Lisboa e Benfica,CSKA Moscow,1-2,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2017-09-12,Manchester Utd,Basel,England,Switzerland,3,0,,,Old Trafford,Manchester Utd,3-0,53.4631095,-2.2913865,"Old Trafford, England"
Group stage,2017-09-12,Chelsea,Qarabağ,England,Azerbaijan,6,0,,,Stamford Bridge,Chelsea,6-0,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2017-09-12,Celtic,Paris S-G,Scotland,France,0,5,,,Celtic Park,Paris S-G,0-5,55.8501815,-4.2068227,"Celtic Park, Scotland"
Group stage,2017-09-12,Barcelona,Juventus,Spain,Italy,3,0,,,Camp Nou,Barcelona,3-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2017-09-12,Bayern Munich,Anderlecht,Germany,Belgium,3,0,,,Allianz Arena,Bayern Munich,3-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2017-09-12,Roma,Atlético Madrid,Italy,Spain,0,0,,,Stadio Olimpico,,0-0,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Group stage,2017-09-12,Olympiacos,Sporting CP,Greece,Portugal,2,3,,,Stadio Georgios Karaiskáki,Sporting CP,2-3,38.9953683,21.9877132,Greece
Group stage,2017-09-13,Tottenham,Dortmund,England,Germany,3,1,,,Wembley Stadium,Tottenham,3-1,51.5560695,-0.2796034,"Wembley Stadium, England"
Group stage,2017-09-13,Liverpool,Sevilla,England,Spain,2,2,,,Anfield,,2-2,53.4309164,-2.9609314,"Anfield, England"
Group stage,2017-09-13,Porto,Beşiktaş,Portugal,Turkey,1,3,,,Estádio Do Dragão,Beşiktaş,1-3,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2017-09-13,NK Maribor,Spartak Moscow,Slovenia,Russia,1,1,,,Ljudski vrt,,1-1,46.427748,15.8758298,"Ljudski vrt, Slovenia"
Group stage,2017-09-13,Feyenoord,Manchester City,Netherlands,England,0,4,,,Stadion Feijenoord,Manchester City,0-4,51.8938646,4.5232281,"Stadion Feijenoord, Netherlands"
Group stage,2017-09-13,Real Madrid,APOEL FC,Spain,Cyprus,3,0,,,Estadio Santiago Bernabéu,Real Madrid,3-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2017-09-13,RB Leipzig,Monaco,Germany,France,1,1,,,Red Bull Arena,,1-1,51.3457079,12.3482361,"Red Bull Arena, Germany"
Group stage,2017-09-13,Shakhtar,Napoli,Ukraine,Italy,2,1,,,L'viv Arena,Shakhtar,2-1,49.4871968,31.2718321,Ukraine
Group stage,2017-09-26,Manchester City,Shakhtar,England,Ukraine,2,0,,,Academy Stadium,Manchester City,2-0,53.4812663,-2.1928127,"Academy Stadium, England"
Group stage,2017-09-26,Monaco,Porto,France,Portugal,0,3,,,Stade Louis II,Porto,0-3,46.603354,1.8883335,France
Group stage,2017-09-26,Sevilla,NK Maribor,Spain,Slovenia,3,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,3-0,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2017-09-26,Dortmund,Real Madrid,Germany,Spain,1,3,,,Signal Iduna Park,Real Madrid,1-3,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2017-09-26,Napoli,Feyenoord,Italy,Netherlands,3,1,,,Stadio San Paolo,Napoli,3-1,45.4357485,8.5958371,"Stadio San Paolo, Italy"
Group stage,2017-09-26,Beşiktaş,RB Leipzig,Turkey,Germany,2,0,,,Vodafone Arena,Beşiktaş,2-0,39.294076,35.2316631,Turkey
Group stage,2017-09-26,Spartak Moscow,Liverpool,Russia,England,1,1,,,Otkrytie Arena,,1-1,55.8175885,37.4406099,"Otkrytie Arena, Russia"
Group stage,2017-09-26,APOEL FC,Tottenham,Cyprus,England,0,3,,,Neo GSP,Tottenham,0-3,34.9174159,32.8899027,Cyprus
Group stage,2017-09-28,CSKA Moscow,Manchester Utd,Russia,England,1,4,,,Stadion CSKA,Manchester Utd,1-4,55.7909504,37.5392186,"Stadion CSKA, Russia"
Group stage,2017-09-27,Sporting CP,Barcelona,Portugal,Spain,0,1,,,Estádio José Alvalade,Barcelona,0-1,38.7612164,-9.1607831,"Estádio José Alvalade, Portugal"
Group stage,2017-09-27,Qarabağ,Roma,Azerbaijan,Italy,1,2,,,Bakı Olimpiya Stadionu,Roma,1-2,40.429982,49.919531,"Bakı Olimpiya Stadionu, Azerbaijan"
Group stage,2017-09-27,Paris S-G,Bayern Munich,France,Germany,3,0,,,Parc des Princes,Paris S-G,3-0,48.8413634,2.2530693,"Parc des Princes, France"
