round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,1994-09-14,Manchester Utd,Göteborg,England,Sweden,4,2,,,Old Trafford,Manchester Utd,4-2,53.4631095,-2.2913865,"Old Trafford, England"
Group stage,1994-09-14,Dynamo Kyiv,Spartak Moscow,Ukraine,Russia,3,2,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,3-2,49.4871968,31.2718321,Ukraine
Group stage,1994-09-14,Barcelona,Galatasaray,Spain,Turkey,2,1,,,Camp Nou,Barcelona,2-1,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,1994-09-14,Paris S-G,Bayern Munich,France,Germany,2,0,,,Parc des Princes,Paris S-G,2-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,1994-09-14,Anderlecht,Steaua,Belgium,Romania,0,0,,,Constant Vanden Stock Stadium,,0-0,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Group stage,1994-09-14,Ajax,Milan,Netherlands,Italy,2,0,,,Olympisch,Ajax,2-0,52.3434439,4.8540543,"Olympisch, Netherlands"
Group stage,1994-09-14,Austria Salzburg,AEK Athens,Austria,Greece,0,0,,,Ernst-Happel-Stadion,,0-0,48.2071894,16.4209171,"Ernst-Happel-Stadion, Austria"
Group stage,1994-09-14,Hajduk Split,Benfica,Croatia,Portugal,0,0,,,Stadion Poljud,,0-0,43.5195411,16.4319187,"Stadion Poljud, Croatia"
Group stage,1994-09-28,Bayern Munich,Dynamo Kyiv,Germany,Ukraine,1,0,,,Olympiastadion,Bayern Munich,1-0,52.5145846,13.2398144,"Olympiastadion, Germany"
Group stage,1994-09-28,Milan,Austria Salzburg,Italy,Austria,3,0,,,Stadio San Siro,Milan,3-0,45.4782003,9.123964,"Stadio San Siro, Italy"
Group stage,1994-09-28,Benfica,Anderlecht,Portugal,Belgium,3,1,,,Estádio do SL Benfica,Benfica,3-1,39.6621648,-8.1353519,Portugal
