round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2018-09-18,Barcelona,PSV Eindhoven,Spain,Netherlands,4,0,,,Camp Nou,Barcelona,4-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2018-09-18,Inter,Tottenham,Italy,England,2,1,,,Stadio Giuseppe Meazza,Inter,2-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2018-09-18,Liverpool,Paris S-G,England,France,3,2,,,Anfield,Liverpool,3-2,53.4309164,-2.9609314,"Anfield, England"
Group stage,2018-09-18,Red Star,Napoli,Serbia,Italy,0,0,,,Stadion Rajko Mitić,,0-0,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
Group stage,2018-09-18,Schalke 04,Porto,Germany,Portugal,1,1,,,Veltins-Arena,,1-1,51.5545938,7.0676001,"Veltins-Arena, Germany"
Group stage,2018-09-18,Monaco,Atlético Madrid,France,Spain,1,2,,,Stade Louis II,Atlético Madrid,1-2,46.603354,1.8883335,France
Group stage,2018-09-18,Club Brugge,Dortmund,Belgium,Germany,0,1,,,Jan Breydelstadion,Dortmund,0-1,51.1933461,3.1805853,"Jan Breydelstadion, Belgium"
Group stage,2018-09-18,Galatasaray,Loko Moscow,Turkey,Russia,3,0,,,Türk Telekom Arena,Galatasaray,3-0,39.294076,35.2316631,Turkey
Group stage,2018-09-19,Ajax,AEK Athens,Netherlands,Greece,3,0,,,Johan Cruyff ArenA,Ajax,3-0,52.2434979,5.6343227,Netherlands
Group stage,2018-09-19,Shakhtar,Hoffenheim,Ukraine,Germany,2,2,,,Oblasny SportKomplex Metalist,,2-2,49.4871968,31.2718321,Ukraine
Group stage,2018-09-19,Benfica,Bayern Munich,Portugal,Germany,0,2,,,Estádio do Sport Lisboa e Benfica,Bayern Munich,0-2,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2018-09-19,Manchester City,Lyon,England,France,1,2,,,Etihad Stadium,Lyon,1-2,53.4831448,-2.2005273,"Etihad Stadium, England"
