round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
First group stage,2000-09-26,PSV Eindhoven,Manchester Utd,Netherlands,England,3,1,,,PSV Stadion,PSV Eindhoven,3-1,51.4412669,5.468626,"PSV Stadion, Netherlands"
First group stage,2000-09-26,Leeds United,Beşiktaş,England,Turkey,6,0,,,Elland Road,Leeds United,6-0,51.4587449,-0.0542608,"Elland Road, England"
First group stage,2000-09-26,Juventus,La Coruña,Italy,Spain,0,0,,,Delle Alpi,,0-0,46.2617049,10.59038,"Delle Alpi, Italy"
First group stage,2000-09-26,Barcelona,Milan,Spain,Italy,0,2,,,Camp Nou,Milan,0-2,41.3808046,2.1158872,"Camp Nou, Spain"
First group stage,2000-09-26,Dynamo Kyiv,Anderlecht,Ukraine,Belgium,4,0,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,4-0,49.4871968,31.2718321,Ukraine
First group stage,2000-09-26,Paris S-G,Bayern Munich,France,Germany,1,0,,,Parc des Princes,Paris S-G,1-0,48.8413634,2.2530693,"Parc des Princes, France"
First group stage,2000-09-26,Hamburger SV,Panathinaikos,Germany,Greece,0,1,,,Hamburg Arena,Panathinaikos,0-1,53.5894001,9.8991078,"Hamburg Arena, Germany"
First group stage,2000-09-27,Spartak Moscow,Sporting CP,Russia,Portugal,3,1,,,Stadion Luzhniki,Spartak Moscow,3-1,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
First group stage,2000-09-27,Leverkusen,Real Madrid,Germany,Spain,2,3,,,BayArena,Real Madrid,2-3,51.0381439,7.0030964,"BayArena, Germany"
First group stage,2000-09-27,Valencia,Lyon,Spain,France,1,0,,,Estadi de Mestalla,Valencia,1-0,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
First group stage,2000-09-27,Arsenal,Lazio,England,Italy,2,0,,,Highbury,Arsenal,2-0,51.5457996,-0.1027127,"Highbury, England"
First group stage,2000-09-27,Sparta Prague,Shakhtar Donetsk,Czech Republic,Ukraine,3,2,,,Stadion Letná,Sparta Prague,3-2,50.0997126,14.4158918,"Stadion Letná, Czech Republic"
First group stage,2000-09-27,Galatasaray,Rangers,Turkey,Scotland,3,2,,,Ali Sami Yen Stadyumu,Galatasaray,3-2,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
First group stage,2000-09-27,Olympiacos,Heerenveen,Greece,Netherlands,2,0,,,OAKA Spiros Louis,Olympiacos,2-0,38.9953683,21.9877132,Greece
First group stage,2000-09-27,Monaco,Sturm Graz,France,Austria,5,0,,,Stade Louis II,Monaco,5-0,46.603354,1.8883335,France
First group stage,2000-10-17,Heerenveen,Olympiacos,Netherlands,Greece,1,0,,,Abe Lenstra,Heerenveen,1-0,52.9586734,5.9361675,"Abe Lenstra, Netherlands"
First group stage,2000-10-17,Real Madrid,Leverkusen,Spain,Germany,5,3,,,Estadio Santiago Bernabéu,Real Madrid,5-3,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
First group stage,2000-10-17,Shakhtar Donetsk,Sparta Prague,Ukraine,Czech Republic,2,1,,,Shakhter,Shakhtar Donetsk,2-1,49.4871968,31.2718321,Ukraine
First group stage,2000-10-17,Lazio,Arsenal,Italy,England,1,1,,,Stadio Olimpico,,1-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
First group stage,2000-10-17,Sturm Graz,Monaco,Austria,France,2,0,,,Stadion Graz Liebenau,Sturm Graz,2-0,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
First group stage,2000-10-17,Rangers,Galatasaray,Scotland,Turkey,0,0,,,Ibrox Stadium,,0-0,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
First group stage,2000-10-17,Sporting CP,Spartak Moscow,Portugal,Russia,0,3,,,José Alvalade (old),Spartak Moscow,0-3,39.6621648,-8.1353519,Portugal
First group stage,2000-10-17,Lyon,Valencia,France,Spain,1,2,,,Stade de Gerland,Valencia,1-2,45.7237762,4.8322542,"Stade de Gerland, France"
First group stage,2000-10-18,Manchester Utd,PSV Eindhoven,England,Netherlands,3,1,,,Old Trafford,Manchester Utd,3-1,53.4631095,-2.2913865,"Old Trafford, England"
First group stage,2000-10-18,Panathinaikos,Hamburger SV,Greece,Germany,0,0,,,OAKA Spiros Louis,,0-0,38.9953683,21.9877132,Greece
First group stage,2000-10-18,La Coruña,Juventus,Spain,Italy,1,1,,,Estadio Municipal de Riazor,,1-1,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
First group stage,2000-10-18,Anderlecht,Dynamo Kyiv,Belgium,Ukraine,4,2,,,Constant Vanden Stock Stadium,Anderlecht,4-2,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
First group stage,2000-10-18,Helsingborg,Rosenborg,Sweden,Norway,2,0,,,Olympia,Helsingborg,2-0,56.0499907,12.7077617,"Olympia, Sweden"
First group stage,2000-10-18,Beşiktaş,Leeds United,Turkey,England,0,0,,,BJK İnönü Stadyumu,,0-0,39.294076,35.2316631,Turkey
First group stage,2000-10-18,Bayern Munich,Paris S-G,Germany,France,2,0,,,Olympiastadion,Bayern Munich,2-0,52.5145846,13.2398144,"Olympiastadion, Germany"
First group stage,2000-10-18,Milan,Barcelona,Italy,Spain,3,3,,,Stadio Giuseppe Meazza,,3-3,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
First group stage,2000-10-24,Anderlecht,Manchester Utd,Belgium,England,2,1,,,Constant Vanden Stock Stadium,Anderlecht,2-1,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
First group stage,2000-10-24,Beşiktaş,Milan,Turkey,Italy,0,2,,,BJK İnönü Stadyumu,Milan,0-2,39.294076,35.2316631,Turkey
First group stage,2000-10-24,Bayern Munich,Helsingborg,Germany,Sweden,0,0,,,Olympiastadion,,0-0,52.5145846,13.2398144,"Olympiastadion, Germany"
First group stage,2000-10-24,Dynamo Kyiv,PSV Eindhoven,Ukraine,Netherlands,0,1,,,Stadion Dynamo im. Valeriy Lobanovskiy,PSV Eindhoven,0-1,49.4871968,31.2718321,Ukraine
First group stage,2000-10-24,La Coruña,Panathinaikos,Spain,Greece,1,0,,,Estadio Municipal de Riazor,La Coruña,1-0,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
First group stage,2000-10-24,Leeds United,Barcelona,England,Spain,1,1,,,Elland Road,,1-1,51.4587449,-0.0542608,"Elland Road, England"
First group stage,2000-10-24,Paris S-G,Rosenborg,France,Norway,7,2,,,Parc des Princes,Paris S-G,7-2,48.8413634,2.2530693,"Parc des Princes, France"
First group stage,2000-10-24,Juventus,Hamburger SV,Italy,Germany,1,3,,,Delle Alpi,Hamburger SV,1-3,46.2617049,10.59038,"Delle Alpi, Italy"
First group stage,2000-10-25,Lazio,Shakhtar Donetsk,Italy,Ukraine,5,1,,,Stadio Olimpico,Lazio,5-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
First group stage,2000-10-25,Real Madrid,Sporting CP,Spain,Portugal,4,0,,,Estadio Santiago Bernabéu,Real Madrid,4-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
First group stage,2000-10-25,Olympiacos,Valencia,Greece,Spain,1,0,,,OAKA Spiros Louis,Olympiacos,1-0,38.9953683,21.9877132,Greece
First group stage,2000-10-25,Monaco,Galatasaray,France,Turkey,4,2,,,Stade Louis II,Monaco,4-2,46.603354,1.8883335,France
First group stage,2000-10-25,Arsenal,Sparta Prague,England,Czech Republic,4,2,,,Highbury,Arsenal,4-2,51.5457996,-0.1027127,"Highbury, England"
First group stage,2000-10-25,Sturm Graz,Rangers,Austria,Scotland,2,0,,,Stadion Graz Liebenau,Sturm Graz,2-0,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
First group stage,2000-10-25,Heerenveen,Lyon,Netherlands,France,0,2,,,Abe Lenstra,Lyon,0-2,52.9586734,5.9361675,"Abe Lenstra, Netherlands"
First group stage,2000-10-25,Leverkusen,Spartak Moscow,Germany,Russia,1,0,,,BayArena,Leverkusen,1-0,51.0381439,7.0030964,"BayArena, Germany"
First group stage,2000-11-07,Galatasaray,Sturm Graz,Turkey,Austria,2,2,,,Ali Sami Yen Stadyumu,,2-2,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
First group stage,2000-11-07,Lyon,Olympiacos,France,Greece,1,0,,,Stade de Gerland,Lyon,1-0,45.7237762,4.8322542,"Stade de Gerland, France"
First group stage,2000-11-07,Rangers,Monaco,Scotland,France,2,2,,,Ibrox Stadium,,2-2,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
First group stage,2000-11-07,Valencia,Heerenveen,Spain,Netherlands,1,1,,,Estadi de Mestalla,,1-1,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
First group stage,2000-11-07,Shakhtar Donetsk,Arsenal,Ukraine,England,3,0,,,Shakhter,Shakhtar Donetsk,3-0,49.4871968,31.2718321,Ukraine
First group stage,2000-11-07,Sparta Prague,Lazio,Czech Republic,Italy,0,1,,,Stadion Letná,Lazio,0-1,50.0997126,14.4158918,"Stadion Letná, Czech Republic"
First group stage,2000-11-07,Sporting CP,Leverkusen,Portugal,Germany,0,0,,,José Alvalade (old),,0-0,39.6621648,-8.1353519,Portugal
First group stage,2000-11-07,Spartak Moscow,Real Madrid,Russia,Spain,1,0,,,Stadion Luzhniki,Spartak Moscow,1-0,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
First group stage,2000-11-08,Hamburger SV,La Coruña,Germany,Spain,1,1,,,Hamburg Arena,,1-1,53.5894001,9.8991078,"Hamburg Arena, Germany"
First group stage,2000-11-08,Rosenborg,Bayern Munich,Norway,Germany,1,1,,,Lerkendal Stadion,,1-1,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
First group stage,2000-11-08,Barcelona,Beşiktaş,Spain,Turkey,5,0,,,Camp Nou,Barcelona,5-0,41.3808046,2.1158872,"Camp Nou, Spain"
First group stage,2000-11-08,Milan,Leeds United,Italy,England,1,1,,,Stadio Giuseppe Meazza,,1-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
First group stage,2000-11-08,Manchester Utd,Dynamo Kyiv,England,Ukraine,1,0,,,Old Trafford,Manchester Utd,1-0,53.4631095,-2.2913865,"Old Trafford, England"
First group stage,2000-11-08,PSV Eindhoven,Anderlecht,Netherlands,Belgium,2,3,,,PSV Stadion,Anderlecht,2-3,51.4412669,5.468626,"PSV Stadion, Netherlands"
First group stage,2000-11-08,Panathinaikos,Juventus,Greece,Italy,3,1,,,OAKA Spiros Louis,Panathinaikos,3-1,38.9953683,21.9877132,Greece
First group stage,2000-11-08,Helsingborg,Paris S-G,Sweden,France,1,1,,,Olympia,,1-1,56.0499907,12.7077617,"Olympia, Sweden"
Second group stage,2000-11-21,Paris S-G,La Coruña,France,Spain,1,3,,,Parc des Princes,La Coruña,1-3,48.8413634,2.2530693,"Parc des Princes, France"
Second group stage,2000-11-21,Valencia,Sturm Graz,Spain,Austria,2,0,,,Estadi de Mestalla,Valencia,2-0,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
Second group stage,2000-11-21,Manchester Utd,Panathinaikos,England,Greece,3,1,,,Old Trafford,Manchester Utd,3-1,53.4631095,-2.2913865,"Old Trafford, England"
Second group stage,2000-11-21,Milan,Galatasaray,Italy,Turkey,2,2,,,Stadio Giuseppe Meazza,,2-2,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Second group stage,2000-11-22,Bayern Munich,Lyon,Germany,France,1,0,,,Olympiastadion,Bayern Munich,1-0,52.5145846,13.2398144,"Olympiastadion, Germany"
Second group stage,2000-11-22,Anderlecht,Lazio,Belgium,Italy,1,0,,,Constant Vanden Stock Stadium,Anderlecht,1-0,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Second group stage,2000-11-22,Leeds United,Real Madrid,England,Spain,0,2,,,Elland Road,Real Madrid,0-2,51.4587449,-0.0542608,"Elland Road, England"
Second group stage,2000-11-22,Spartak Moscow,Arsenal,Russia,England,4,1,,,Stadion Luzhniki,Spartak Moscow,4-1,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
Second group stage,2000-12-05,Lazio,Leeds United,Italy,England,0,1,,,Stadio Olimpico,Leeds United,0-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Second group stage,2000-12-05,Real Madrid,Anderlecht,Spain,Belgium,4,1,,,Estadio Santiago Bernabéu,Real Madrid,4-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Second group stage,2000-12-05,Lyon,Spartak Moscow,France,Russia,3,0,,,Stade de Gerland,Lyon,3-0,45.7237762,4.8322542,"Stade de Gerland, France"
Second group stage,2000-12-05,Arsenal,Bayern Munich,England,Germany,2,2,,,Highbury,,2-2,51.5457996,-0.1027127,"Highbury, England"
Second group stage,2000-12-06,La Coruña,Milan,Spain,Italy,0,1,,,Estadio Municipal de Riazor,Milan,0-1,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
Second group stage,2000-12-06,Panathinaikos,Valencia,Greece,Spain,0,0,,,OAKA Spiros Louis,,0-0,38.9953683,21.9877132,Greece
Second group stage,2000-12-06,Galatasaray,Paris S-G,Turkey,France,1,0,,,Ali Sami Yen Stadyumu,Galatasaray,1-0,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
Second group stage,2000-12-06,Sturm Graz,Manchester Utd,Austria,England,0,2,,,Stadion Graz Liebenau,Manchester Utd,0-2,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
Second group stage,2001-02-13,Real Madrid,Lazio,Spain,Italy,3,2,,,Estadio Santiago Bernabéu,Real Madrid,3-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Second group stage,2001-02-13,Bayern Munich,Spartak Moscow,Germany,Russia,1,0,,,Olympiastadion,Bayern Munich,1-0,52.5145846,13.2398144,"Olympiastadion, Germany"
Second group stage,2001-02-13,Leeds United,Anderlecht,England,Belgium,2,1,,,Elland Road,Leeds United,2-1,51.4587449,-0.0542608,"Elland Road, England"
Second group stage,2001-02-13,Lyon,Arsenal,France,England,0,1,,,Stade de Gerland,Arsenal,0-1,45.7237762,4.8322542,"Stade de Gerland, France"
Second group stage,2001-02-14,Milan,Paris S-G,Italy,France,1,1,,,Stadio Giuseppe Meazza,,1-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Second group stage,2001-02-14,Valencia,Manchester Utd,Spain,England,0,0,,,Estadi de Mestalla,,0-0,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
Second group stage,2001-02-14,Galatasaray,La Coruña,Turkey,Spain,1,0,,,Ali Sami Yen Stadyumu,Galatasaray,1-0,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
Second group stage,2001-02-14,Sturm Graz,Panathinaikos,Austria,Greece,2,0,,,Stadion Graz Liebenau,Sturm Graz,2-0,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
Second group stage,2001-02-20,Manchester Utd,Valencia,England,Spain,1,1,,,Old Trafford,,1-1,53.4631095,-2.2913865,"Old Trafford, England"
Second group stage,2001-02-20,La Coruña,Galatasaray,Spain,Turkey,2,0,,,Estadio Municipal de Riazor,La Coruña,2-0,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
Second group stage,2001-02-20,Panathinaikos,Sturm Graz,Greece,Austria,1,2,,,OAKA Spiros Louis,Sturm Graz,1-2,38.9953683,21.9877132,Greece
Second group stage,2001-02-20,Paris S-G,Milan,France,Italy,1,1,,,Parc des Princes,,1-1,48.8413634,2.2530693,"Parc des Princes, France"
Second group stage,2001-02-21,Arsenal,Lyon,England,France,1,1,,,Highbury,,1-1,51.5457996,-0.1027127,"Highbury, England"
Second group stage,2001-02-21,Anderlecht,Leeds United,Belgium,England,1,4,,,Constant Vanden Stock Stadium,Leeds United,1-4,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Second group stage,2001-02-21,Spartak Moscow,Bayern Munich,Russia,Germany,0,3,,,Stadion Luzhniki,Bayern Munich,0-3,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
Second group stage,2001-02-21,Lazio,Real Madrid,Italy,Spain,2,2,,,Stadio Olimpico,,2-2,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Second group stage,2001-03-06,Real Madrid,Leeds United,Spain,England,3,2,,,Estadio Santiago Bernabéu,Real Madrid,3-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Second group stage,2001-03-06,Lyon,Bayern Munich,France,Germany,3,0,,,Stade de Gerland,Lyon,3-0,45.7237762,4.8322542,"Stade de Gerland, France"
Second group stage,2001-03-06,Arsenal,Spartak Moscow,England,Russia,1,0,,,Highbury,Arsenal,1-0,51.5457996,-0.1027127,"Highbury, England"
Second group stage,2001-03-06,Lazio,Anderlecht,Italy,Belgium,2,1,,,Stadio Olimpico,Lazio,2-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Second group stage,2001-03-07,Sturm Graz,Valencia,Austria,Spain,0,5,,,Stadion Graz Liebenau,Valencia,0-5,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
Second group stage,2001-03-07,La Coruña,Paris S-G,Spain,France,4,3,,,Estadio Municipal de Riazor,La Coruña,4-3,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
Second group stage,2001-03-07,Panathinaikos,Manchester Utd,Greece,England,1,1,,,OAKA Spiros Louis,,1-1,38.9953683,21.9877132,Greece
Second group stage,2001-03-07,Galatasaray,Milan,Turkey,Italy,2,0,,,Ali Sami Yen Stadyumu,Galatasaray,2-0,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
Second group stage,2001-03-13,Manchester Utd,Sturm Graz,England,Austria,3,0,,,Old Trafford,Manchester Utd,3-0,53.4631095,-2.2913865,"Old Trafford, England"
Second group stage,2001-03-13,Paris S-G,Galatasaray,France,Turkey,2,0,,,Parc des Princes,Paris S-G,2-0,48.8413634,2.2530693,"Parc des Princes, France"
Second group stage,2001-03-13,Valencia,Panathinaikos,Spain,Greece,2,1,,,Estadi de Mestalla,Valencia,2-1,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
Second group stage,2001-03-13,Milan,La Coruña,Italy,Spain,1,1,,,Stadio Giuseppe Meazza,,1-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Second group stage,2001-03-14,Leeds United,Lazio,England,Italy,3,3,,,Elland Road,,3-3,51.4587449,-0.0542608,"Elland Road, England"
Second group stage,2001-03-14,Anderlecht,Real Madrid,Belgium,Spain,2,0,,,Constant Vanden Stock Stadium,Anderlecht,2-0,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Second group stage,2001-03-14,Bayern Munich,Arsenal,Germany,England,1,0,,,Olympiastadion,Bayern Munich,1-0,52.5145846,13.2398144,"Olympiastadion, Germany"
Second group stage,2001-03-14,Spartak Moscow,Lyon,Russia,France,1,1,,,Stadion Luzhniki,,1-1,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
Quarter-finals,2001-04-03,Manchester Utd,Bayern Munich,England,Germany,0,1,,,Old Trafford,Bayern Munich,0-1,53.4631095,-2.2913865,"Old Trafford, England"
Quarter-finals,2001-04-03,Galatasaray,Real Madrid,Turkey,Spain,3,2,,,Ali Sami Yen Stadyumu,Galatasaray,3-2,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
Quarter-finals,2001-04-04,Arsenal,Valencia,England,Spain,2,1,,,Highbury,Arsenal,2-1,51.5457996,-0.1027127,"Highbury, England"
Quarter-finals,2001-04-04,Leeds United,La Coruña,England,Spain,3,0,,,Elland Road,Leeds United,3-0,51.4587449,-0.0542608,"Elland Road, England"
Quarter-finals,2001-04-17,Valencia,Arsenal,Spain,England,1,0,,,Estadi de Mestalla,Valencia,1-0,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
Quarter-finals,2001-04-17,La Coruña,Leeds United,Spain,England,2,0,,,Estadio Municipal de Riazor,La Coruña,2-0,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
Quarter-finals,2001-04-18,Bayern Munich,Manchester Utd,Germany,England,2,1,,,Olympiastadion,Bayern Munich,2-1,52.5145846,13.2398144,"Olympiastadion, Germany"
Quarter-finals,2001-04-18,Real Madrid,Galatasaray,Spain,Turkey,3,0,,,Estadio Santiago Bernabéu,Real Madrid,3-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Semi-finals,2001-05-01,Real Madrid,Bayern Munich,Spain,Germany,0,1,,,Estadio Santiago Bernabéu,Bayern Munich,0-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Semi-finals,2001-05-02,Leeds United,Valencia,England,Spain,0,0,,,Elland Road,,0-0,51.4587449,-0.0542608,"Elland Road, England"
Semi-finals,2001-05-08,Valencia,Leeds United,Spain,England,3,0,,,Estadi de Mestalla,Valencia,3-0,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
Semi-finals,2001-05-09,Bayern Munich,Real Madrid,Germany,Spain,2,1,,,Olympiastadion,Bayern Munich,2-1,52.5145846,13.2398144,"Olympiastadion, Germany"
Final,2001-05-23,Bayern Munich,Valencia,Germany,Spain,1,1,,,Stadio Giuseppe Meazza (Neutral Site),,1-1,45.4782003,9.123964,Stadio Giuseppe Meazza 
