round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
First group stage,2000-09-12,Galatasaray,Monaco,Turkey,France,3,2,,,Ali Sami Yen Stadyumu,Galatasaray,3-2,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
First group stage,2000-09-12,Shakhtar Donetsk,Lazio,Ukraine,Italy,0,3,,,Shakhter,Lazio,0-3,49.4871968,31.2718321,Ukraine
First group stage,2000-09-12,Rangers,Sturm Graz,Scotland,Austria,5,0,,,Ibrox Stadium,Rangers,5-0,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
First group stage,2000-09-12,Spartak Moscow,Leverkusen,Russia,Germany,2,0,,,Stadion Luzhniki,Spartak Moscow,2-0,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
First group stage,2000-09-12,Lyon,Heerenveen,France,Netherlands,3,1,,,Stade de Gerland,Lyon,3-1,45.7237762,4.8322542,"Stade de Gerland, France"
First group stage,2000-09-12,Valencia,Olympiacos,Spain,Greece,2,1,,,Estadi de Mestalla,Valencia,2-1,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
First group stage,2000-09-12,Sporting CP,Real Madrid,Portugal,Spain,2,2,,,José Alvalade (old),,2-2,39.6621648,-8.1353519,Portugal
First group stage,2000-09-12,Sparta Prague,Arsenal,Czech Republic,England,0,1,,,Generali Arena,Arsenal,0-1,50.0997126,14.4158918,"Generali Arena, Czech Republic"
First group stage,2000-09-13,Manchester Utd,Anderlecht,England,Belgium,5,1,,,Old Trafford,Manchester Utd,5-1,53.4631095,-2.2913865,"Old Trafford, England"
First group stage,2000-09-13,Panathinaikos,La Coruña,Greece,Spain,1,1,,,OAKA Spiros Louis,,1-1,38.9953683,21.9877132,Greece
First group stage,2000-09-13,Rosenborg,Paris S-G,Norway,France,3,1,,,Lerkendal Stadion,Rosenborg,3-1,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
First group stage,2000-09-13,Milan,Beşiktaş,Italy,Turkey,4,1,,,Stadio Giuseppe Meazza,Milan,4-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
First group stage,2000-09-13,Barcelona,Leeds United,Spain,England,4,0,,,Camp Nou,Barcelona,4-0,41.3808046,2.1158872,"Camp Nou, Spain"
First group stage,2000-09-13,Hamburger SV,Juventus,Germany,Italy,4,4,,,Hamburg Arena,,4-4,53.5894001,9.8991078,"Hamburg Arena, Germany"
First group stage,2000-09-13,Helsingborg,Bayern Munich,Sweden,Germany,1,3,,,Olympia,Bayern Munich,1-3,56.0499907,12.7077617,"Olympia, Sweden"
First group stage,2000-09-13,PSV Eindhoven,Dynamo Kyiv,Netherlands,Ukraine,2,1,,,PSV Stadion,PSV Eindhoven,2-1,51.4412669,5.468626,"PSV Stadion, Netherlands"
First group stage,2000-09-19,La Coruña,Hamburger SV,Spain,Germany,2,1,,,Estadio Municipal de Riazor,La Coruña,2-1,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
First group stage,2000-09-19,Leeds United,Milan,England,Italy,1,0,,,Elland Road,Leeds United,1-0,51.4587449,-0.0542608,"Elland Road, England"
First group stage,2000-09-19,Beşiktaş,Barcelona,Turkey,Spain,3,0,,,BJK İnönü Stadyumu,Beşiktaş,3-0,39.294076,35.2316631,Turkey
First group stage,2000-09-19,Anderlecht,PSV Eindhoven,Belgium,Netherlands,1,0,,,Constant Vanden Stock Stadium,Anderlecht,1-0,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
First group stage,2000-09-19,Paris S-G,Helsingborg,France,Sweden,4,1,,,Parc des Princes,Paris S-G,4-1,48.8413634,2.2530693,"Parc des Princes, France"
First group stage,2000-09-19,Bayern Munich,Rosenborg,Germany,Norway,3,1,,,Olympiastadion,Bayern Munich,3-1,52.5145846,13.2398144,"Olympiastadion, Germany"
First group stage,2000-09-19,Dynamo Kyiv,Manchester Utd,Ukraine,England,0,0,,,Stadion Dynamo im. Valeriy Lobanovskiy,,0-0,49.4871968,31.2718321,Ukraine
First group stage,2000-09-19,Juventus,Panathinaikos,Italy,Greece,2,1,,,Delle Alpi,Juventus,2-1,46.2617049,10.59038,"Delle Alpi, Italy"
First group stage,2000-09-20,Lazio,Sparta Prague,Italy,Czech Republic,3,0,,,Stadio Olimpico,Lazio,3-0,41.9339424,12.4547705,"Stadio Olimpico, Italy"
First group stage,2000-09-20,Olympiacos,Lyon,Greece,France,2,1,,,OAKA Spiros Louis,Olympiacos,2-1,38.9953683,21.9877132,Greece
First group stage,2000-09-20,Real Madrid,Spartak Moscow,Spain,Russia,1,0,,,Estadio Santiago Bernabéu,Real Madrid,1-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
First group stage,2000-09-20,Sturm Graz,Galatasaray,Austria,Turkey,3,0,,,Stadion Graz Liebenau,Sturm Graz,3-0,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
First group stage,2000-09-20,Heerenveen,Valencia,Netherlands,Spain,0,1,,,Abe Lenstra,Valencia,0-1,52.9586734,5.9361675,"Abe Lenstra, Netherlands"
First group stage,2000-09-20,Leverkusen,Sporting CP,Germany,Portugal,3,2,,,BayArena,Leverkusen,3-2,51.0381439,7.0030964,"BayArena, Germany"
First group stage,2000-09-20,Arsenal,Shakhtar Donetsk,England,Ukraine,3,2,,,Highbury,Arsenal,3-2,51.5457996,-0.1027127,"Highbury, England"
First group stage,2000-09-20,Monaco,Rangers,France,Scotland,0,1,,,Stade Louis II,Rangers,0-1,46.603354,1.8883335,France
First group stage,2000-09-26,Rosenborg,Helsingborg,Norway,Sweden,6,1,,,Lerkendal Stadion,Rosenborg,6-1,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
