round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2020-10-20,Dynamo Kyiv,Juventus,Ukraine,Italy,0,2,,,NSK Olimpijs'kyj,Juventus,0-2,49.4871968,31.2718321,Ukraine
Group stage,2020-10-20,Zenit,Club Brugge,Russia,Belgium,1,2,,,Gazprom Arena,Club Brugge,1-2,59.9723766,30.2210608,"Gazprom Arena, Russia"
Group stage,2020-10-20,Chelsea,Sevilla,England,Spain,0,0,,,Stamford Bridge,,0-0,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2020-10-20,RB Leipzig,Başakşehir,Germany,Turkey,2,0,,,Red Bull Arena,RB Leipzig,2-0,51.3457079,12.3482361,"Red Bull Arena, Germany"
Group stage,2020-10-20,Barcelona,Ferencváros,Spain,Hungary,5,1,,,Camp Nou,Barcelona,5-1,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2020-10-20,Lazio,Dortmund,Italy,Germany,3,1,,,Stadio Olimpico,Lazio,3-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Group stage,2020-10-20,Paris S-G,Manchester Utd,France,England,1,2,,,Parc des Princes,Manchester Utd,1-2,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2020-10-20,Rennes,Krasnodar,France,Russia,1,1,,,Roazhon Park,,1-1,48.1075655,-1.7126543,"Roazhon Park, France"
Group stage,2020-10-21,RB Salzburg,Loko Moscow,Austria,Russia,2,2,,,Red Bull Arena,,2-2,47.8163956,12.9982439,"Red Bull Arena, Austria"
Group stage,2020-10-21,Real Madrid,Shakhtar,Spain,Ukraine,2,3,,,Estadio Alfredo Di Stéfano,Shakhtar,2-3,40.4769374,-3.6150611,"Estadio Alfredo Di Stéfano, Spain"
Group stage,2020-10-21,Manchester City,Porto,England,Portugal,3,1,,,Etihad Stadium,Manchester City,3-1,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2020-10-21,Inter,Gladbach,Italy,Germany,2,2,,,Stadio Giuseppe Meazza,,2-2,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2020-10-21,Bayern Munich,Atlético Madrid,Germany,Spain,4,0,,,Allianz Arena,Bayern Munich,4-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2020-10-21,Ajax,Liverpool,Netherlands,England,0,1,,,Johan Cruyff ArenA,Liverpool,0-1,52.2434979,5.6343227,Netherlands
Group stage,2020-10-21,Midtjylland,Atalanta,Denmark,Italy,0,4,,,MCH Arena,Atalanta,0-4,56.1167905,8.9517849,"MCH Arena, Denmark"
Group stage,2020-10-21,Olympiacos,Marseille,Greece,France,1,0,,,Stadio Georgios Karaiskáki,Olympiacos,1-0,38.9953683,21.9877132,Greece
Group stage,2020-10-27,Shakhtar,Inter,Ukraine,Italy,0,0,,,Oblasny SportKomplex Metalist,,0-0,49.4871968,31.2718321,Ukraine
Group stage,2020-10-27,Porto,Olympiacos,Portugal,Greece,2,0,,,Estádio Do Dragão,Porto,2-0,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2020-10-27,Liverpool,Midtjylland,England,Denmark,2,0,,,Anfield,Liverpool,2-0,53.4309164,-2.9609314,"Anfield, England"
Group stage,2020-10-27,Loko Moscow,Bayern Munich,Russia,Germany,1,2,,,RZD Arena,Bayern Munich,1-2,55.8035807,37.7412162,"RZD Arena, Russia"
