round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2010-09-14,Manchester Utd,Rangers,England,Scotland,0,0,,,Old Trafford,,0-0,53.4631095,-2.2913865,"Old Trafford, England"
Group stage,2010-09-14,Werder Bremen,Tottenham,Germany,England,2,2,,,Weserstadion,,2-2,53.0664479,8.8376718,"Weserstadion, Germany"
Group stage,2010-09-14,Benfica,Hapoel Tel Aviv,Portugal,Israel,2,0,,,Estádio do Sport Lisboa e Benfica,Benfica,2-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2010-09-14,Bursaspor,Valencia,Turkey,Spain,0,4,,,Bursa Atatürk,Valencia,0-4,40.3305763,27.996343,"Bursa Atatürk, Turkey"
Group stage,2010-09-14,FC Copenhagen,Rubin Kazan,Denmark,Russia,1,0,,,Telia Parken,FC Copenhagen,1-0,55.670249,10.3333283,Denmark
Group stage,2010-09-14,Barcelona,Panathinaikos,Spain,Greece,5,1,,,Camp Nou,Barcelona,5-1,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2010-09-14,Twente,Inter,Netherlands,Italy,2,2,,,FC Twente Stadion,,2-2,52.2434979,5.6343227,Netherlands
Group stage,2010-09-14,Lyon,Schalke 04,France,Germany,1,0,,,Stade de Gerland,Lyon,1-0,45.7237762,4.8322542,"Stade de Gerland, France"
Group stage,2010-09-15,Marseille,Spartak Moscow,France,Russia,0,1,,,Stade Vélodrome,Spartak Moscow,0-1,43.269835,5.3959117,"Stade Vélodrome, France"
Group stage,2010-09-15,Bayern Munich,Roma,Germany,Italy,2,0,,,Fußball Arena München,Bayern Munich,2-0,48.2187901,11.6236227,"Fußball Arena München, Germany"
Group stage,2010-09-15,MŠK Žilina,Chelsea,Slovakia,England,1,4,,,Štadión MŠK Žilina,Chelsea,1-4,49.2291569,18.7455178,"Štadión MŠK Žilina, Slovakia"
Group stage,2010-09-15,Milan,Auxerre,Italy,France,2,0,,,Stadio Giuseppe Meazza,Milan,2-0,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2010-09-15,Shakhtar,Partizan,Ukraine,Serbia,1,0,,,Donbass Arena,Shakhtar,1-0,48.0211038,37.8090531,"Donbass Arena, Ukraine"
Group stage,2010-09-15,Arsenal,Braga,England,Portugal,6,0,,,Arsenal Stadium,Arsenal,6-0,52.5310214,-1.2649062,England
Group stage,2010-09-15,Real Madrid,Ajax,Spain,Netherlands,2,0,,,Estadio Santiago Bernabéu,Real Madrid,2-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
