round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
First group stage,1999-09-14,Feyenoord,Dortmund,Netherlands,Germany,1,1,,,Feijenoord Stadion,,1-1,51.8938646,4.5232281,"Feijenoord Stadion, Netherlands"
First group stage,1999-09-14,Boavista,Rosenborg,Portugal,Norway,0,3,,,Bessa XXI,Rosenborg,0-3,41.1621977,-8.6426013,"Bessa XXI, Portugal"
First group stage,1999-09-14,Dynamo Kyiv,NK Maribor,Ukraine,Slovenia,0,1,,,Stadion Dynamo im. Valeriy Lobanovskiy,NK Maribor,0-1,49.4871968,31.2718321,Ukraine
First group stage,1999-09-14,Manchester Utd,Croatia Zagreb,England,Croatia,0,0,,,Old Trafford,,0-0,53.4631095,-2.2913865,"Old Trafford, England"
First group stage,1999-09-14,Fiorentina,Arsenal,Italy,England,0,0,,,Stadio Artemio Franchi,,0-0,43.3216868,11.326179,"Stadio Artemio Franchi, Italy"
First group stage,1999-09-14,Leverkusen,Lazio,Germany,Italy,1,1,,,BayArena,,1-1,51.0381439,7.0030964,"BayArena, Germany"
First group stage,1999-09-14,AIK Stockholm,Barcelona,Sweden,Spain,1,2,,,Råsundastadion,Barcelona,1-2,59.6749712,14.5208584,Sweden
First group stage,1999-09-14,Marseille,Sturm Graz,France,Austria,2,0,,,Stade Vélodrome,Marseille,2-0,43.269835,5.3959117,"Stade Vélodrome, France"
First group stage,1999-09-15,Willem II,Spartak Moscow,Netherlands,Russia,1,3,,,Willem II,Spartak Moscow,1-3,51.5426917,5.0668066,"Willem II, Netherlands"
First group stage,1999-09-15,Chelsea,Milan,England,Italy,0,0,,,Stamford Bridge,,0-0,51.4816869,-0.1910336,"Stamford Bridge, England"
First group stage,1999-09-15,Olympiacos,Real Madrid,Greece,Spain,3,3,,,OAKA Spiros Louis,,3-3,38.9953683,21.9877132,Greece
First group stage,1999-09-15,Sparta Prague,Bordeaux,Czech Republic,France,0,0,,,Stadion Letná,,0-0,50.0997126,14.4158918,"Stadion Letná, Czech Republic"
First group stage,1999-09-15,Valencia,Rangers,Spain,Scotland,2,0,,,Estadi de Mestalla,Valencia,2-0,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
First group stage,1999-09-15,Bayern Munich,PSV,Germany,Netherlands,2,1,,,Olympiastadion,Bayern Munich,2-1,52.5145846,13.2398144,"Olympiastadion, Germany"
First group stage,1999-09-15,Molde,Porto,Norway,Portugal,0,1,,,Molde Stadion,Porto,0-1,62.7334015,7.1480721,"Molde Stadion, Norway"
First group stage,1999-09-15,Galatasaray,Hertha BSC,Turkey,Germany,2,2,,,Ali Sami Yen Stadyumu,,2-2,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
First group stage,1999-09-21,Rangers,Bayern Munich,Scotland,Germany,1,1,,,Ibrox Stadium,,1-1,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
First group stage,1999-09-21,PSV,Valencia,Netherlands,Spain,1,1,,,PSV Stadion,,1-1,51.4412669,5.468626,"PSV Stadion, Netherlands"
First group stage,1999-09-21,Milan,Galatasaray,Italy,Turkey,2,1,,,Stadio Giuseppe Meazza,Milan,2-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
First group stage,1999-09-21,Real Madrid,Molde,Spain,Norway,4,1,,,Estadio Santiago Bernabéu,Real Madrid,4-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
First group stage,1999-09-21,Bordeaux,Willem II,France,Netherlands,3,2,,,Stade Chaban-Delmas,Bordeaux,3-2,44.829308,-0.5982638,"Stade Chaban-Delmas, France"
First group stage,1999-09-21,Spartak Moscow,Sparta Prague,Russia,Czech Republic,1,1,,,Stadion Luzhniki,,1-1,55.7157445,37.5537673,"Stadion Luzhniki, Russia"
First group stage,1999-09-21,Hertha BSC,Chelsea,Germany,England,2,1,,,Olympiastadion,Hertha BSC,2-1,52.5145846,13.2398144,"Olympiastadion, Germany"
First group stage,1999-09-21,Porto,Olympiacos,Portugal,Greece,2,0,,,Estádio das Antas,Porto,2-0,41.1618235,-8.5837492,"Estádio das Antas, Portugal"
First group stage,1999-09-22,Lazio,Dynamo Kyiv,Italy,Ukraine,2,1,,,Stadio Olimpico,Lazio,2-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
First group stage,1999-09-22,Croatia Zagreb,Marseille,Croatia,France,1,2,,,Stadion Maksimir,Marseille,1-2,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
First group stage,1999-09-22,NK Maribor,Leverkusen,Slovenia,Germany,0,2,,,Stadion Ljudski vrt,Leverkusen,0-2,46.5627473,15.6406433,"Stadion Ljudski vrt, Slovenia"
First group stage,1999-09-22,Barcelona,Fiorentina,Spain,Italy,4,2,,,Camp Nou,Barcelona,4-2,41.3808046,2.1158872,"Camp Nou, Spain"
First group stage,1999-09-22,Dortmund,Boavista,Germany,Portugal,3,1,,,BVB Stadion Dortmund,Dortmund,3-1,51.4924922,7.4518549,"BVB Stadion Dortmund, Germany"
First group stage,1999-09-22,Arsenal,AIK Stockholm,England,Sweden,3,1,,,Wembley,Arsenal,3-1,51.5560695,-0.2796034,"Wembley, England"
First group stage,1999-09-22,Sturm Graz,Manchester Utd,Austria,England,0,3,,,Stadion Graz Liebenau,Manchester Utd,0-3,47.0463666,15.454008,"Stadion Graz Liebenau, Austria"
