round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2015-09-15,Manchester City,Juventus,England,Italy,1,2,,,Etihad Stadium,Juventus,1-2,53.4831448,-2.2005273,"Etihad Stadium, England"
Group stage,2015-09-15,Benfica,FC Astana,Portugal,Kazakhstan,2,0,,,Estádio do Sport Lisboa e Benfica,Benfica,2-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2015-09-15,PSV Eindhoven,Manchester Utd,Netherlands,England,2,1,,,Philips Stadion,PSV Eindhoven,2-1,51.4417077,5.4674257,"Philips Stadion, Netherlands"
Group stage,2015-09-15,Sevilla,Gladbach,Spain,Germany,3,0,,,Estadio Ramón Sánchez Pizjuán,Sevilla,3-0,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2015-09-15,Real Madrid,Shakhtar,Spain,Ukraine,4,0,,,Estadio Santiago Bernabéu,Real Madrid,4-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2015-09-15,Wolfsburg,CSKA Moscow,Germany,Russia,1,0,,,Volkswagen Arena,Wolfsburg,1-0,52.4328584,10.803104,"Volkswagen Arena, Germany"
Group stage,2015-09-15,Paris S-G,Malmö,France,Sweden,2,0,,,Parc des Princes,Paris S-G,2-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2015-09-15,Galatasaray,Atlético Madrid,Turkey,Spain,0,2,,,Türk Telekom Arena,Atlético Madrid,0-2,39.294076,35.2316631,Turkey
Group stage,2015-09-16,Chelsea,Maccabi Tel Aviv,England,Israel,4,0,,,Stamford Bridge,Chelsea,4-0,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2015-09-16,Gent,Lyon,Belgium,France,1,1,,,GHELAMCO-arena,,1-1,51.0160755,3.7325263,"GHELAMCO-arena, Belgium"
Group stage,2015-09-16,Leverkusen,BATE Borisov,Germany,Belarus,4,1,,,BayArena,Leverkusen,4-1,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2015-09-16,Dinamo Zagreb,Arsenal,Croatia,England,2,1,,,Stadion Maksimir,Dinamo Zagreb,2-1,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2015-09-16,Roma,Barcelona,Italy,Spain,1,1,,,Stadio Olimpico,,1-1,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Group stage,2015-09-16,Valencia,Zenit,Spain,Russia,2,3,,,Estadio de Mestalla,Zenit,2-3,39.3260685,-4.8379791,Spain
Group stage,2015-09-16,Dynamo Kyiv,Porto,Ukraine,Portugal,2,2,,,NSK Olimpijs'kyj,,2-2,49.4871968,31.2718321,Ukraine
Group stage,2015-09-16,Olympiacos,Bayern Munich,Greece,Germany,0,3,,,Stadio Georgios Karaiskáki,Bayern Munich,0-3,38.9953683,21.9877132,Greece
Group stage,2015-09-29,Arsenal,Olympiacos,England,Greece,2,3,,,Emirates Stadium,Olympiacos,2-3,51.5550404,-0.1083997,"Emirates Stadium, England"
Group stage,2015-09-29,Porto,Chelsea,Portugal,England,2,1,,,Estádio Do Dragão,Porto,2-1,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2015-09-29,Bayern Munich,Dinamo Zagreb,Germany,Croatia,5,0,,,Allianz Arena,Bayern Munich,5-0,48.2187901,11.6236227,"Allianz Arena, Germany"
Group stage,2015-09-29,Barcelona,Leverkusen,Spain,Germany,2,1,,,Camp Nou,Barcelona,2-1,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2015-09-29,Lyon,Valencia,France,Spain,0,1,,,Stade de Gerland,Valencia,0-1,45.7237762,4.8322542,"Stade de Gerland, France"
Group stage,2015-09-29,BATE Borisov,Roma,Belarus,Italy,3,2,,,Borisov Arena,BATE Borisov,3-2,54.1928313,28.4767187,"Borisov Arena, Belarus"
Group stage,2015-09-29,Zenit,Gent,Russia,Belgium,2,1,,,Stadion Petrovskij,Zenit,2-1,59.9519439,30.286251,"Stadion Petrovskij, Russia"
Group stage,2015-09-29,Maccabi Tel Aviv,Dynamo Kyiv,Israel,Ukraine,0,2,,,Sammy Ofer Stadium,Dynamo Kyiv,0-2,32.78459,34.962626,"Sammy Ofer Stadium, Israel"
Group stage,2015-09-30,Manchester Utd,Wolfsburg,England,Germany,2,1,,,Old Trafford,Manchester Utd,2-1,53.4631095,-2.2913865,"Old Trafford, England"
Group stage,2015-09-30,Gladbach,Manchester City,Germany,England,1,2,,,Stadion im Borussia-Park,Manchester City,1-2,51.174625,6.3854094,"Stadion im Borussia-Park, Germany"
Group stage,2015-09-30,Malmö,Real Madrid,Sweden,Spain,0,2,,,Swedbank Stadion,Real Madrid,0-2,55.5837345,12.987735,"Swedbank Stadion, Sweden"
Group stage,2015-09-30,Juventus,Sevilla,Italy,Spain,2,0,,,Allianz Stadium,Juventus,2-0,45.1095759,7.6421338,"Allianz Stadium, Italy"
Group stage,2015-09-30,Atlético Madrid,Benfica,Spain,Portugal,1,2,,,Estadio Vicente Calderón,Benfica,1-2,39.3260685,-4.8379791,Spain
Group stage,2015-09-30,Shakhtar,Paris S-G,Ukraine,France,0,3,,,L'viv Arena,Paris S-G,0-3,49.4871968,31.2718321,Ukraine
Group stage,2015-09-30,CSKA Moscow,PSV Eindhoven,Russia,Netherlands,3,2,,,Arena Khimki,CSKA Moscow,3-2,55.8854007,37.4541815,"Arena Khimki, Russia"
Group stage,2015-09-30,FC Astana,Galatasaray,Kazakhstan,Turkey,2,2,,,Astana Arena,,2-2,51.1081739,71.402786,"Astana Arena, Kazakhstan"
Group stage,2015-10-20,Porto,Maccabi Tel Aviv,Portugal,Israel,2,0,,,Estádio Do Dragão,Porto,2-0,41.1618235,-8.5837492,"Estádio Do Dragão, Portugal"
Group stage,2015-10-20,Arsenal,Bayern Munich,England,Germany,2,0,,,Emirates Stadium,Arsenal,2-0,51.5550404,-0.1083997,"Emirates Stadium, England"
Group stage,2015-10-20,Leverkusen,Roma,Germany,Italy,4,4,,,BayArena,,4-4,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2015-10-20,Valencia,Gent,Spain,Belgium,2,1,,,Estadio de Mestalla,Valencia,2-1,39.3260685,-4.8379791,Spain
Group stage,2015-10-20,Dinamo Zagreb,Olympiacos,Croatia,Greece,0,1,,,Stadion Maksimir,Olympiacos,0-1,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2015-10-20,BATE Borisov,Barcelona,Belarus,Spain,0,2,,,Borisov Arena,Barcelona,0-2,54.1928313,28.4767187,"Borisov Arena, Belarus"
Group stage,2015-10-20,Dynamo Kyiv,Chelsea,Ukraine,England,0,0,,,NSK Olimpijs'kyj,,0-0,49.4871968,31.2718321,Ukraine
