round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2011-09-13,Genk,Valencia,Belgium,Spain,0,0,,,KRC Genk Arena,,0-0,50.6402809,4.6667145,Belgium
Group stage,2011-09-13,APOEL FC,Zenit,Cyprus,Russia,2,1,,,GSP Stadium,APOEL FC,2-1,35.1145495,33.3636882,"GSP Stadium, Cyprus"
Group stage,2011-09-13,Barcelona,Milan,Spain,Italy,2,2,,,Camp Nou,,2-2,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2011-09-13,Olympiacos,Marseille,Greece,France,0,1,,,Stadio Georgios Karaiskakis,Marseille,0-1,37.9464689,23.6644117,"Stadio Georgios Karaiskakis, Greece"
Group stage,2011-09-13,Chelsea,Leverkusen,England,Germany,2,0,,,Stamford Bridge,Chelsea,2-0,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2011-09-13,Dortmund,Arsenal,Germany,England,1,1,,,BVB Stadion Dortmund,,1-1,51.4924922,7.4518549,"BVB Stadion Dortmund, Germany"
Group stage,2011-09-13,Porto,Shakhtar,Portugal,Ukraine,2,1,,,Estádio do Dragão,Porto,2-1,41.1618235,-8.5837492,"Estádio do Dragão, Portugal"
Group stage,2011-09-13,Viktoria Plzeň,BATE Borisov,Czech Republic,Belarus,1,1,,,Stadion Eden,,1-1,50.0675695,14.4715052,"Stadion Eden, Czech Republic"
Group stage,2011-09-14,Basel,Oțelul Galați,Switzerland,Romania,2,1,,,St. Jakob,Basel,2-1,47.5419657,7.6178533,"St. Jakob, Switzerland"
Group stage,2011-09-14,Lille,CSKA Moscow,France,Russia,2,2,,,Stadium Lille Métropole,,2-2,50.6311492,3.1375115,"Stadium Lille Métropole, France"
Group stage,2011-09-14,Inter,Trabzonspor,Italy,Turkey,0,1,,,Stadio Giuseppe Meazza,Trabzonspor,0-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2011-09-14,Manchester City,Napoli,England,Italy,1,1,,,City of Manchester Stadium,,1-1,53.4831448,-2.2005273,"City of Manchester Stadium, England"
