round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
First round,1990-09-18,Odense,Real Madrid,Denmark,Spain,1,4,,,Atletikstadion,Real Madrid,1-4,55.3712665,10.4315593,"Atletikstadion, Denmark"
First round,1990-09-19,KA,CSKA Sofia,Iceland,Bulgaria,1,0,,,Akureyrarvöllur,KA,1-0,65.6858733,-18.0950013,"Akureyrarvöllur, Iceland"
First round,1990-09-19,Marseille,Dinamo Tirana,France,Albania,5,1,,,Stade Vélodrome,Marseille,5-1,43.269835,5.3959117,"Stade Vélodrome, France"
First round,1990-09-19,Dinamo București,St Patrick's,Romania,Republic of Ireland,4,0,,,Dinamo,Dinamo București,4-0,44.4550761,26.102311,"Dinamo, Romania"
First round,1990-09-19,Valletta FC,Rangers,Malta,Scotland,0,4,,,National Stadium,Rangers,0-4,35.8948336,14.4152373,"National Stadium, Malta"
First round,1990-09-19,Porto,Portadown FC,Portugal,Northern Ireland,5,0,,,O Bonfim,Porto,5-0,41.1495889,-8.5894433,"O Bonfim, Portugal"
First round,1990-09-19,Lillestrøm,Club Brugge,Norway,Belgium,1,1,,,Åråsen,,1-1,58.0835472,7.6147528,"Åråsen, Norway"
First round,1990-09-19,FC Tirol Innsbruck,Lahti,Austria,Finland,5,0,,,Tivoli,FC Tirol Innsbruck,5-0,47.2598551,11.4064845,"Tivoli, Austria"
First round,1990-09-19,Malmö,Beşiktaş,Sweden,Turkey,3,2,,,Malmö Stadion,Malmö,3-2,55.5858549,12.9908709,"Malmö Stadion, Sweden"
First round,1990-09-19,Lech Poznań,Panathinaikos,Poland,Greece,3,0,,,Stadion Miejski,Lech Poznań,3-0,53.1059626,23.1492847,"Stadion Miejski, Poland"
First round,1990-09-19,Sparta Prague,Spartak Moscow,Czech Republic,Russia,0,2,,,Generali Arena,Spartak Moscow,0-2,50.0997126,14.4158918,"Generali Arena, Czech Republic"
First round,1990-09-19,Union Luxembourg,Dresden,Luxembourg,Germany,1,3,,,Achille Hammerel,Dresden,1-3,49.8158683,6.1296751,Luxembourg
First round,1990-09-19,APOEL FC,Bayern Munich,Cyprus,Germany,2,3,,,Makarion,Bayern Munich,2-3,34.9174159,32.8899027,Cyprus
First round,1990-09-19,Red Star,Grasshopper,Serbia,Switzerland,1,1,,,Stadion Rajko Mitić,,1-1,44.7832203,20.4646751,"Stadion Rajko Mitić, Serbia"
First round,1990-09-19,Napoli,Újpest,Italy,Hungary,3,0,,,Stadio San Paolo,Napoli,3-0,45.4357485,8.5958371,"Stadio San Paolo, Italy"
First round,1990-10-02,Real Madrid,Odense,Spain,Denmark,6,0,,,Estadio Santiago Bernabéu,Real Madrid,6-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
First round,1990-10-03,Dresden,Union Luxembourg,Germany,Luxembourg,3,0,,,Rudolf-Harbig,Dresden,3-0,52.3741692,14.0663856,"Rudolf-Harbig, Germany"
First round,1990-10-03,Bayern Munich,APOEL FC,Germany,Cyprus,4,0,,,Olympiastadion,Bayern Munich,4-0,52.5145846,13.2398144,"Olympiastadion, Germany"
First round,1990-10-03,Újpest,Napoli,Hungary,Italy,0,2,,,Ferenc Szusza Stadion,Napoli,0-2,47.5748698,19.0834947,"Ferenc Szusza Stadion, Hungary"
First round,1990-10-03,Beşiktaş,Malmö,Turkey,Sweden,2,2,,,BJK İnönü Stadyumu,,2-2,39.294076,35.2316631,Turkey
First round,1990-10-03,CSKA Sofia,KA,Bulgaria,Iceland,3,0,,,Bulgarska Armia Stadion,CSKA Sofia,3-0,42.6073975,25.4856617,Bulgaria
First round,1990-10-03,Portadown FC,Porto,Northern Ireland,Portugal,1,8,,,Shamrock Park,Porto,1-8,54.4132086,-6.457832,"Shamrock Park, Northern Ireland"
First round,1990-10-03,Grasshopper,Red Star,Switzerland,Serbia,1,4,,,Hardturm,Red Star,1-4,47.3940376,8.5137558,"Hardturm, Switzerland"
First round,1990-10-03,Lahti,FC Tirol Innsbruck,Finland,Austria,1,2,,,Keskusurheilukenttä,FC Tirol Innsbruck,1-2,62.6014386,29.7441083,"Keskusurheilukenttä, Finland"
First round,1990-10-03,St Patrick's,Dinamo București,Republic of Ireland,Romania,1,1,,,Tolka Park,,1-1,53.367557,-6.2519815,"Tolka Park, Republic of Ireland"
