round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,1995-09-13,Dortmund,Juventus,Germany,Italy,1,3,,,BVB Stadion Dortmund,Juventus,1-3,51.4924922,7.4518549,"BVB Stadion Dortmund, Germany"
Group stage,1995-09-13,Blackburn,Spartak Moscow,England,Russia,0,1,,,Ewood Park,Spartak Moscow,0-1,53.7285283,-2.4892251,"Ewood Park, England"
Group stage,1995-09-13,Legia Warsaw,Rosenborg,Poland,Norway,3,1,,,Stadion Wojska Polskiego,Legia Warsaw,3-1,52.220252,21.0407266,"Stadion Wojska Polskiego, Poland"
Group stage,1995-09-13,Ajax,Real Madrid,Netherlands,Spain,1,0,,,Olympisch,Ajax,1-0,52.3434439,4.8540543,"Olympisch, Netherlands"
Group stage,1995-09-13,Grasshopper,Ferencváros,Switzerland,Hungary,0,3,,,Hardturm,Ferencváros,0-3,47.3940376,8.5137558,"Hardturm, Switzerland"
Group stage,1995-09-13,Steaua,Rangers,Romania,Scotland,1,0,,,Stadionul Steaua,Steaua,1-0,44.4130837,26.0403045,"Stadionul Steaua, Romania"
Group stage,1995-09-13,Nantes,Porto,France,Portugal,0,0,,,La Beaujoire,,0-0,47.25976,-1.5304259,"La Beaujoire, France"
Group stage,1995-09-27,Spartak Moscow,Legia Warsaw,Russia,Poland,2,1,,,Luzhniki Stadium,Spartak Moscow,2-1,55.7157445,37.5537673,"Luzhniki Stadium, Russia"
Group stage,1995-09-27,Juventus,Steaua,Italy,Romania,3,0,,,Delle Alpi,Juventus,3-0,46.2617049,10.59038,"Delle Alpi, Italy"
Group stage,1995-09-27,Rangers,Dortmund,Scotland,Germany,2,2,,,Ibrox Stadium,,2-2,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
Group stage,1995-09-27,Panathinaikos,Nantes,Greece,France,3,1,,,OACA Spyros Louis,Panathinaikos,3-1,38.9953683,21.9877132,Greece
Group stage,1995-09-27,Ferencváros,Ajax,Hungary,Netherlands,1,5,,,Ferencváros Stadion,Ajax,1-5,47.1817585,19.5060937,Hungary
Group stage,1995-09-27,Rosenborg,Blackburn,Norway,England,2,1,,,Lerkendal Stadion,Rosenborg,2-1,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
Group stage,1995-09-27,Real Madrid,Grasshopper,Spain,Switzerland,2,0,,,Estadio Santiago Bernabéu,Real Madrid,2-0,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,1995-09-27,Porto,Aalborg,Portugal,Denmark,2,0,,,As Antas,Porto,2-0,41.4050336,-8.5167111,"As Antas, Portugal"
Group stage,1995-10-18,Porto,Panathinaikos,Portugal,Greece,0,1,,,As Antas,Panathinaikos,0-1,41.4050336,-8.5167111,"As Antas, Portugal"
Group stage,1995-10-18,Juventus,Rangers,Italy,Scotland,4,1,,,Delle Alpi,Juventus,4-1,46.2617049,10.59038,"Delle Alpi, Italy"
Group stage,1995-10-18,Ajax,Grasshopper,Netherlands,Switzerland,3,0,,,Olympisch,Ajax,3-0,52.3434439,4.8540543,"Olympisch, Netherlands"
Group stage,1995-10-18,Dortmund,Steaua,Germany,Romania,1,0,,,BVB Stadion Dortmund,Dortmund,1-0,51.4924922,7.4518549,"BVB Stadion Dortmund, Germany"
Group stage,1995-10-18,Rosenborg,Spartak Moscow,Norway,Russia,2,4,,,Lerkendal Stadion,Spartak Moscow,2-4,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
Group stage,1995-10-18,Legia Warsaw,Blackburn,Poland,England,1,0,,,Stadion Wojska Polskiego,Legia Warsaw,1-0,52.220252,21.0407266,"Stadion Wojska Polskiego, Poland"
Group stage,1995-10-18,Nantes,Aalborg,France,Denmark,3,1,,,La Beaujoire,Nantes,3-1,47.25976,-1.5304259,"La Beaujoire, France"
Group stage,1995-10-18,Real Madrid,Ferencváros,Spain,Hungary,6,1,,,Estadio Santiago Bernabéu,Real Madrid,6-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,1995-10-25,Aalborg,Panathinaikos,Denmark,Greece,2,1,,,Aalborg Stadion,Aalborg,2-1,57.0520353,9.8985993,"Aalborg Stadion, Denmark"
Group stage,1995-11-01,Aalborg,Nantes,Denmark,France,0,2,,,Aalborg Stadion,Nantes,0-2,57.0520353,9.8985993,"Aalborg Stadion, Denmark"
Group stage,1995-11-01,Grasshopper,Ajax,Switzerland,Netherlands,0,0,,,Hardturm,,0-0,47.3940376,8.5137558,"Hardturm, Switzerland"
Group stage,1995-11-01,Spartak Moscow,Rosenborg,Russia,Norway,4,1,,,Luzhniki Stadium,Spartak Moscow,4-1,55.7157445,37.5537673,"Luzhniki Stadium, Russia"
Group stage,1995-11-01,Steaua,Dortmund,Romania,Germany,0,0,,,Stadionul Steaua,,0-0,44.4130837,26.0403045,"Stadionul Steaua, Romania"
Group stage,1995-11-01,Blackburn,Legia Warsaw,England,Poland,0,0,,,Ewood Park,,0-0,53.7285283,-2.4892251,"Ewood Park, England"
Group stage,1995-11-01,Ferencváros,Real Madrid,Hungary,Spain,1,1,,,Ferencváros Stadion,,1-1,47.1817585,19.5060937,Hungary
Group stage,1995-11-01,Rangers,Juventus,Scotland,Italy,0,4,,,Ibrox Stadium,Juventus,0-4,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
Group stage,1995-11-01,Panathinaikos,Porto,Greece,Portugal,0,0,,,OACA Spyros Louis,,0-0,38.9953683,21.9877132,Greece
Group stage,1995-11-22,Panathinaikos,Aalborg,Greece,Denmark,2,0,,,OACA Spyros Louis,Panathinaikos,2-0,38.9953683,21.9877132,Greece
Group stage,1995-11-22,Spartak Moscow,Blackburn,Russia,England,3,0,,,Luzhniki Stadium,Spartak Moscow,3-0,55.7157445,37.5537673,"Luzhniki Stadium, Russia"
Group stage,1995-11-22,Rosenborg,Legia Warsaw,Norway,Poland,4,0,,,Lerkendal Stadion,Rosenborg,4-0,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
Group stage,1995-11-22,Juventus,Dortmund,Italy,Germany,1,2,,,Delle Alpi,Dortmund,1-2,46.2617049,10.59038,"Delle Alpi, Italy"
Group stage,1995-11-22,Porto,Nantes,Portugal,France,2,2,,,As Antas,,2-2,41.4050336,-8.5167111,"As Antas, Portugal"
Group stage,1995-11-22,Rangers,Steaua,Scotland,Romania,1,1,,,Ibrox Stadium,,1-1,55.8532206,-4.3093239,"Ibrox Stadium, Scotland"
Group stage,1995-11-22,Real Madrid,Ajax,Spain,Netherlands,0,2,,,Estadio Santiago Bernabéu,Ajax,0-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,1995-11-22,Ferencváros,Grasshopper,Hungary,Switzerland,3,3,,,Ferencváros Stadion,,3-3,47.1817585,19.5060937,Hungary
Group stage,1995-12-06,Dortmund,Rangers,Germany,Scotland,2,2,,,BVB Stadion Dortmund,,2-2,51.4924922,7.4518549,"BVB Stadion Dortmund, Germany"
Group stage,1995-12-06,Aalborg,Porto,Denmark,Portugal,2,2,,,Aalborg Stadion,,2-2,57.0520353,9.8985993,"Aalborg Stadion, Denmark"
Group stage,1995-12-06,Blackburn,Rosenborg,England,Norway,4,1,,,Ewood Park,Blackburn,4-1,53.7285283,-2.4892251,"Ewood Park, England"
Group stage,1995-12-06,Nantes,Panathinaikos,France,Greece,0,0,,,La Beaujoire,,0-0,47.25976,-1.5304259,"La Beaujoire, France"
Group stage,1995-12-06,Grasshopper,Real Madrid,Switzerland,Spain,0,2,,,Hardturm,Real Madrid,0-2,47.3940376,8.5137558,"Hardturm, Switzerland"
Group stage,1995-12-06,Steaua,Juventus,Romania,Italy,0,0,,,Stadionul Steaua,,0-0,44.4130837,26.0403045,"Stadionul Steaua, Romania"
Group stage,1995-12-06,Ajax,Ferencváros,Netherlands,Hungary,4,0,,,Olympisch,Ajax,4-0,52.3434439,4.8540543,"Olympisch, Netherlands"
Group stage,1995-12-06,Legia Warsaw,Spartak Moscow,Poland,Russia,0,1,,,Stadion Wojska Polskiego,Spartak Moscow,0-1,52.220252,21.0407266,"Stadion Wojska Polskiego, Poland"
