round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2022-09-06,Dinamo Zagreb,Chelsea,Croatia,England,1,0,,,Stadion Maksimir,Dinamo Zagreb,1-0,45.8186879,16.0179376,"Stadion Maksimir, Croatia"
Group stage,2022-09-06,Dortmund,FC Copenhagen,Germany,Denmark,3,0,,,Signal Iduna Park,Dortmund,3-0,51.4924922,7.4518549,"Signal Iduna Park, Germany"
Group stage,2022-09-06,Benfica,Maccabi Haifa,Portugal,Israel,2,0,,,Estádio do Sport Lisboa e Benfica,Benfica,2-0,38.7526893,-9.1846899,"Estádio do Sport Lisboa e Benfica, Portugal"
Group stage,2022-09-06,Celtic,Real Madrid,Scotland,Spain,0,3,,,Celtic Park,Real Madrid,0-3,55.8501815,-4.2068227,"Celtic Park, Scotland"
Group stage,2022-09-06,Paris S-G,Juventus,France,Italy,2,1,,,Parc des Princes,Paris S-G,2-1,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2022-09-06,RB Leipzig,Shakhtar,Germany,Ukraine,1,4,,,Red Bull Arena,Shakhtar,1-4,51.3457079,12.3482361,"Red Bull Arena, Germany"
Group stage,2022-09-06,Sevilla,Manchester City,Spain,England,0,4,,,Estadio Ramón Sánchez Pizjuán,Manchester City,0-4,37.3840876,-5.9706309,"Estadio Ramón Sánchez Pizjuán, Spain"
Group stage,2022-09-06,RB Salzburg,Milan,Austria,Italy,1,1,,,Red Bull Arena,,1-1,47.8163956,12.9982439,"Red Bull Arena, Austria"
Group stage,2022-09-07,Ajax,Rangers,Netherlands,Scotland,4,0,,,Johan Cruyff ArenA,Ajax,4-0,52.2434979,5.6343227,Netherlands
Group stage,2022-09-07,Eint Frankfurt,Sporting CP,Germany,Portugal,0,3,,,Deutsche Bank Park,Sporting CP,0-3,50.0686103,8.6454154,"Deutsche Bank Park, Germany"
Group stage,2022-09-07,Tottenham,Marseille,England,France,2,0,,,Tottenham Hotspur Stadium,Tottenham,2-0,51.604157,-0.0662604,"Tottenham Hotspur Stadium, England"
Group stage,2022-09-07,Napoli,Liverpool,Italy,England,4,1,,,Stadio Diego Armando Maradona,Napoli,4-1,40.8279773,14.192889,"Stadio Diego Armando Maradona, Italy"
Group stage,2022-09-07,Atlético Madrid,Porto,Spain,Portugal,2,1,,,Estadio Cívitas Metropolitano,Atlético Madrid,2-1,39.3260685,-4.8379791,Spain
